
epoch 0,  actor_loss: 180.1147,  critic_loss: 46.9203, cost_time: 3.8170, best_solution: 0,od: 3.1214, eqity: 4.5257,rad: 17.6635
epoch 1,  actor_loss: -413.2354,  critic_loss: 209.0754, cost_time: 2.9077, best_solution: [3.82351016998291],od: 3.4634, eqity: 4.6688,rad: 17.3219
epoch 2,  actor_loss: -93.9257,  critic_loss: 46.0102, cost_time: 3.0212, best_solution: [4.066128730773926],od: 3.3001, eqity: 4.0889,rad: 16.3518
epoch 3,  actor_loss: 327.8499,  critic_loss: 115.0786, cost_time: 2.8139, best_solution: [4.066128730773926],od: 3.1207, eqity: 3.6167,rad: 18.8183
epoch 4,  actor_loss: 182.6484,  critic_loss: 42.4826, cost_time: 2.9138, best_solution: [4.066128730773926],od: 2.2863, eqity: 3.7696,rad: 18.4946
epoch 5,  actor_loss: -29.7599,  critic_loss: 23.6275, cost_time: 2.7113, best_solution: [4.066128730773926],od: 2.8510, eqity: 4.0139,rad: 17.4509
epoch 6,  actor_loss: -9.4468,  critic_loss: 18.6913, cost_time: 2.8088, best_solution: [4.066128730773926],od: 2.0331, eqity: 3.3708,rad: 12.1193
epoch 7,  actor_loss: 59.3070,  critic_loss: 14.2352, cost_time: 2.7407, best_solution: [4.066128730773926],od: 1.8771, eqity: 3.3456,rad: 15.2137
epoch 8,  actor_loss: 92.8015,  critic_loss: 17.8835, cost_time: 2.8188, best_solution: [4.066128730773926],od: 2.8572, eqity: 3.9692,rad: 17.7104
epoch 9,  actor_loss: 68.2360,  critic_loss: 18.5904, cost_time: 2.7811, best_solution: [4.066128730773926],od: 1.6813, eqity: 3.1280,rad: 15.0235
epoch 10,  actor_loss: -101.7322,  critic_loss: 37.4640, cost_time: 2.9277, best_solution: [4.066128730773926],od: 2.0745, eqity: 3.0562,rad: 14.4145
epoch 11,  actor_loss: -129.8585,  critic_loss: 40.9770, cost_time: 2.6685, best_solution: [4.066128730773926],od: 3.0544, eqity: 3.1172,rad: 23.0319
epoch 12,  actor_loss: -48.8951,  critic_loss: 29.1819, cost_time: 3.1334, best_solution: [4.066128730773926],od: 3.3523, eqity: 4.3739,rad: 18.6403
epoch 13,  actor_loss: 6.7134,  critic_loss: 13.6116, cost_time: 3.0700, best_solution: [4.066128730773926],od: 2.7508, eqity: 3.7172,rad: 20.0137
epoch 14,  actor_loss: 160.7664,  critic_loss: 29.0373, cost_time: 3.0456, best_solution: [4.066128730773926],od: 2.6372, eqity: 3.8462,rad: 16.1739
epoch 15,  actor_loss: 99.0921,  critic_loss: 22.6131, cost_time: 3.1586, best_solution: [4.066128730773926],od: 2.8294, eqity: 3.9519,rad: 17.4143
epoch 16,  actor_loss: 142.6344,  critic_loss: 39.8873, cost_time: 3.0055, best_solution: [4.066128730773926],od: 3.5686, eqity: 5.0383,rad: 18.8986
epoch 17,  actor_loss: 133.9138,  critic_loss: 35.3569, cost_time: 3.3041, best_solution: [4.303472995758057],od: 4.7860, eqity: 5.3120,rad: 22.7677
epoch 18,  actor_loss: 90.1722,  critic_loss: 26.2663, cost_time: 3.1917, best_solution: [5.049004554748535],od: 4.5492, eqity: 5.2046,rad: 22.0340
epoch 19,  actor_loss: -55.2246,  critic_loss: 21.8979, cost_time: 3.0070, best_solution: [5.049004554748535],od: 2.6862, eqity: 4.1683,rad: 17.0905
epoch 20,  actor_loss: -33.2696,  critic_loss: 27.8714, cost_time: 3.0281, best_solution: [5.049004554748535],od: 3.7763, eqity: 4.1021,rad: 21.0182
epoch 21,  actor_loss: -77.6080,  critic_loss: 27.6112, cost_time: 3.1548, best_solution: [5.049004554748535],od: 4.3237, eqity: 5.0471,rad: 21.7312
epoch 22,  actor_loss: 28.2543,  critic_loss: 31.3554, cost_time: 2.9501, best_solution: [5.049004554748535],od: 3.9227, eqity: 4.5799,rad: 17.4188
epoch 23,  actor_loss: 22.7200,  critic_loss: 24.8647, cost_time: 2.9726, best_solution: [5.049004554748535],od: 2.7023, eqity: 3.8745,rad: 13.2523
