
epoch 0,  actor_loss: 204.7397,  critic_loss: 53.2481, cost_time: 20.2230, best_solution: 0,od: 3.2161, eqity: 3.8278,rad: 22.0183
epoch 1,  actor_loss: -56.4114,  critic_loss: 20.1944, cost_time: 19.1394, best_solution: [3.5219650268554688],od: 1.2821, eqity: 2.9436,rad: 9.5290
epoch 2,  actor_loss: 111.6677,  critic_loss: 19.9106, cost_time: 18.7655, best_solution: [3.5219650268554688],od: 1.3672, eqity: 2.8097,rad: 11.0087
epoch 3,  actor_loss: 63.6454,  critic_loss: 26.3411, cost_time: 17.1211, best_solution: [3.5219650268554688],od: 2.3240, eqity: 3.7596,rad: 15.4605
epoch 4,  actor_loss: -146.9606,  critic_loss: 46.9331, cost_time: 15.8925, best_solution: [3.5219650268554688],od: 2.9498, eqity: 4.2200,rad: 17.1761
epoch 5,  actor_loss: -157.6215,  critic_loss: 55.9230, cost_time: 11.1908, best_solution: [3.584895372390747],od: 1.2017, eqity: 2.3729,rad: 11.8077
epoch 6,  actor_loss: -2.7302,  critic_loss: 24.6702, cost_time: 11.8923, best_solution: [3.584895372390747],od: 2.0950, eqity: 3.8031,rad: 14.9620
epoch 7,  actor_loss: 103.6086,  critic_loss: 30.8864, cost_time: 11.3336, best_solution: [3.584895372390747],od: 2.6627, eqity: 4.2230,rad: 17.8849
epoch 8,  actor_loss: 51.5591,  critic_loss: 21.5818, cost_time: 10.9955, best_solution: [3.584895372390747],od: 3.1726, eqity: 4.4109,rad: 16.6121
epoch 9,  actor_loss: -20.4528,  critic_loss: 14.8984, cost_time: 9.8700, best_solution: [3.7917675971984863],od: 2.3222, eqity: 4.1840,rad: 16.7421
epoch 10,  actor_loss: -1.2130,  critic_loss: 20.9914, cost_time: 2.9928, best_solution: [3.7917675971984863],od: 1.4044, eqity: 2.9356,rad: 10.7085
epoch 11,  actor_loss: 77.1260,  critic_loss: 24.5260, cost_time: 2.9867, best_solution: [3.7917675971984863],od: 2.7450, eqity: 4.0839,rad: 15.2413
epoch 12,  actor_loss: 68.1152,  critic_loss: 20.2022, cost_time: 9.4804, best_solution: [3.7917675971984863],od: 2.0703, eqity: 3.3374,rad: 15.8509
epoch 13,  actor_loss: 69.8917,  critic_loss: 29.1485, cost_time: 10.7499, best_solution: [3.7917675971984863],od: 2.4351, eqity: 3.8336,rad: 15.3838
epoch 14,  actor_loss: -137.6997,  critic_loss: 40.4841, cost_time: 21.1477, best_solution: [3.7917675971984863],od: 2.6293, eqity: 3.9494,rad: 15.3749
epoch 15,  actor_loss: -155.1173,  critic_loss: 65.2396, cost_time: 18.7117, best_solution: [3.7917675971984863],od: 1.4969, eqity: 3.1600,rad: 13.7125
epoch 16,  actor_loss: -108.7591,  critic_loss: 51.6875, cost_time: 18.2177, best_solution: [3.7917675971984863],od: 2.1202, eqity: 3.5385,rad: 12.1125
epoch 17,  actor_loss: -42.3530,  critic_loss: 29.6786, cost_time: 19.1869, best_solution: [3.7917675971984863],od: 2.1819, eqity: 3.1086,rad: 14.0496
epoch 18,  actor_loss: 98.8922,  critic_loss: 32.6467, cost_time: 19.6920, best_solution: [3.7917675971984863],od: 3.8738, eqity: 5.7373,rad: 20.6666
