
epoch 0,  actor_loss: 113.8800,  critic_loss: 19.7197, cost_time: 3.5388, best_solution: 0,od: 1.8952, eqity: 3.2484,rad: 15.7653
epoch 1,  actor_loss: -250.0576,  critic_loss: 104.6095, cost_time: 2.5920, best_solution: [2.571781873703003],od: 3.3310, eqity: 4.1032,rad: 18.8986
epoch 2,  actor_loss: -70.0849,  critic_loss: 21.7914, cost_time: 2.5663, best_solution: [3.7170660495758057],od: 2.7618, eqity: 3.8564,rad: 15.6384
epoch 3,  actor_loss: 157.4007,  critic_loss: 38.0395, cost_time: 2.6652, best_solution: [3.7170660495758057],od: 1.8543, eqity: 2.9106,rad: 15.5506
epoch 4,  actor_loss: 213.7570,  critic_loss: 45.9559, cost_time: 2.8149, best_solution: [3.7170660495758057],od: 3.3816, eqity: 4.7776,rad: 17.1440
epoch 5,  actor_loss: 0.1779,  critic_loss: 8.9684, cost_time: 2.6974, best_solution: [4.079644203186035],od: 2.1765, eqity: 2.8937,rad: 16.5683
epoch 6,  actor_loss: 84.9839,  critic_loss: 21.0161, cost_time: 2.5505, best_solution: [4.079644203186035],od: 2.1846, eqity: 2.9044,rad: 14.9807
epoch 7,  actor_loss: -6.2384,  critic_loss: 15.8272, cost_time: 2.5371, best_solution: [4.079644203186035],od: 3.6565, eqity: 3.7577,rad: 18.5560
epoch 8,  actor_loss: 5.9787,  critic_loss: 12.3944, cost_time: 2.8123, best_solution: [4.079644203186035],od: 2.1952, eqity: 3.7692,rad: 17.6267
epoch 9,  actor_loss: 107.8499,  critic_loss: 20.1189, cost_time: 2.8213, best_solution: [4.079644203186035],od: 2.4131, eqity: 3.4253,rad: 16.5597
epoch 10,  actor_loss: 93.9771,  critic_loss: 19.3263, cost_time: 2.7904, best_solution: [4.079644203186035],od: 2.6858, eqity: 4.1155,rad: 18.2385
epoch 11,  actor_loss: -50.2591,  critic_loss: 25.9747, cost_time: 2.8452, best_solution: [4.079644203186035],od: 3.3126, eqity: 4.5628,rad: 18.9442
epoch 12,  actor_loss: -22.2370,  critic_loss: 28.3943, cost_time: 2.7535, best_solution: [4.079644203186035],od: 3.3025, eqity: 3.9836,rad: 19.7761
epoch 13,  actor_loss: 91.1960,  critic_loss: 23.3845, cost_time: 2.8688, best_solution: [4.079644203186035],od: 1.9464, eqity: 3.4600,rad: 12.7358
epoch 14,  actor_loss: 73.7658,  critic_loss: 23.6588, cost_time: 2.8628, best_solution: [4.079644203186035],od: 3.4274, eqity: 4.2653,rad: 17.9473
epoch 15,  actor_loss: -55.7197,  critic_loss: 19.2489, cost_time: 2.8672, best_solution: [4.079644203186035],od: 3.0422, eqity: 3.9658,rad: 18.2363
epoch 16,  actor_loss: 20.4886,  critic_loss: 22.1324, cost_time: 3.1016, best_solution: [4.079644203186035],od: 2.6966, eqity: 3.1137,rad: 16.2595
epoch 17,  actor_loss: 76.5626,  critic_loss: 17.0791, cost_time: 2.8954, best_solution: [4.079644203186035],od: 2.6919, eqity: 4.3002,rad: 17.2276
epoch 18,  actor_loss: 70.0589,  critic_loss: 27.2871, cost_time: 2.9284, best_solution: [4.079644203186035],od: 3.1695, eqity: 3.9399,rad: 18.5915
epoch 19,  actor_loss: 29.8774,  critic_loss: 20.7904, cost_time: 2.7770, best_solution: [4.079644203186035],od: 3.4710, eqity: 4.1259,rad: 18.2937
epoch 20,  actor_loss: 10.0417,  critic_loss: 17.2898, cost_time: 2.6362, best_solution: [4.079644203186035],od: 2.1580, eqity: 4.0188,rad: 16.1257
epoch 21,  actor_loss: 86.1597,  critic_loss: 21.2533, cost_time: 3.0929, best_solution: [4.079644203186035],od: 3.9573, eqity: 4.9974,rad: 23.0908
epoch 22,  actor_loss: 62.5369,  critic_loss: 16.0740, cost_time: 2.8123, best_solution: [4.477329254150391],od: 3.3104, eqity: 4.6911,rad: 23.6971
epoch 23,  actor_loss: -26.9739,  critic_loss: 15.2164, cost_time: 2.8298, best_solution: [4.477329254150391],od: 1.9800, eqity: 3.8884,rad: 12.7800
epoch 24,  actor_loss: 31.7961,  critic_loss: 20.5370, cost_time: 2.7411, best_solution: [4.477329254150391],od: 1.6753, eqity: 3.2291,rad: 12.4729
epoch 25,  actor_loss: 76.1864,  critic_loss: 19.1480, cost_time: 3.0569, best_solution: [4.477329254150391],od: 3.6184, eqity: 4.8701,rad: 16.7789
epoch 26,  actor_loss: 25.6276,  critic_loss: 11.3048, cost_time: 2.9989, best_solution: [4.477329254150391],od: 3.9090, eqity: 4.5310,rad: 24.4547
epoch 27,  actor_loss: 63.1727,  critic_loss: 23.5064, cost_time: 2.9320, best_solution: [4.477329254150391],od: 3.6679, eqity: 5.7926,rad: 17.8037
epoch 28,  actor_loss: -60.5286,  critic_loss: 27.0482, cost_time: 2.8080, best_solution: [4.730295658111572],od: 2.9858, eqity: 3.9058,rad: 18.5958
epoch 29,  actor_loss: -9.8864,  critic_loss: 26.1272, cost_time: 2.9713, best_solution: [4.730295658111572],od: 5.6650, eqity: 7.3724,rad: 25.6091
epoch 30,  actor_loss: -45.9787,  critic_loss: 25.0203, cost_time: 2.8887, best_solution: [6.518697261810303],od: 3.0144, eqity: 3.8875,rad: 17.6190
epoch 31,  actor_loss: 32.7065,  critic_loss: 30.5631, cost_time: 2.8766, best_solution: [6.518697261810303],od: 4.6362, eqity: 5.0420,rad: 21.8660
epoch 32,  actor_loss: 59.3005,  critic_loss: 26.5533, cost_time: 3.1082, best_solution: [6.518697261810303],od: 5.0483, eqity: 6.6623,rad: 22.3487
epoch 33,  actor_loss: -15.1858,  critic_loss: 12.1302, cost_time: 2.9328, best_solution: [6.518697261810303],od: 3.2929, eqity: 4.6540,rad: 22.0716
epoch 34,  actor_loss: 71.7028,  critic_loss: 27.1509, cost_time: 2.9197, best_solution: [6.518697261810303],od: 4.5397, eqity: 6.5295,rad: 22.9736
epoch 35,  actor_loss: -11.4912,  critic_loss: 23.3898, cost_time: 2.8031, best_solution: [6.518697261810303],od: 3.9356, eqity: 4.7256,rad: 23.5261
epoch 36,  actor_loss: 43.3662,  critic_loss: 16.4523, cost_time: 3.3618, best_solution: [6.518697261810303],od: 3.1333, eqity: 4.4652,rad: 17.6700
epoch 37,  actor_loss: -63.9347,  critic_loss: 22.9559, cost_time: 2.8273, best_solution: [6.518697261810303],od: 2.6789, eqity: 4.2196,rad: 15.4605
epoch 38,  actor_loss: -17.9257,  critic_loss: 20.2898, cost_time: 2.8834, best_solution: [6.518697261810303],od: 4.2418, eqity: 4.4882,rad: 23.0870
epoch 39,  actor_loss: 13.7092,  critic_loss: 19.5999, cost_time: 2.7519, best_solution: [6.518697261810303],od: 3.2228, eqity: 4.4892,rad: 16.4741
epoch 40,  actor_loss: 97.2559,  critic_loss: 24.1826, cost_time: 2.9738, best_solution: [6.518697261810303],od: 3.1388, eqity: 4.5740,rad: 22.8607
epoch 41,  actor_loss: 144.6900,  critic_loss: 41.7019, cost_time: 3.2320, best_solution: [6.518697261810303],od: 4.4736, eqity: 6.4620,rad: 17.0537
epoch 42,  actor_loss: 121.2894,  critic_loss: 31.5160, cost_time: 2.8700, best_solution: [6.518697261810303],od: 2.7418, eqity: 4.5106,rad: 16.2640
epoch 43,  actor_loss: 113.4765,  critic_loss: 21.3115, cost_time: 3.2263, best_solution: [6.518697261810303],od: 3.3588, eqity: 5.1273,rad: 21.2306
epoch 44,  actor_loss: 125.2183,  critic_loss: 40.3375, cost_time: 3.1049, best_solution: [6.518697261810303],od: 4.3071, eqity: 7.1473,rad: 18.5014
epoch 45,  actor_loss: -11.5712,  critic_loss: 29.8537, cost_time: 3.2604, best_solution: [6.518697261810303],od: 3.7183, eqity: 4.6482,rad: 18.5502
epoch 46,  actor_loss: -12.6107,  critic_loss: 46.3953, cost_time: 3.0766, best_solution: [6.518697261810303],od: 3.0862, eqity: 3.9133,rad: 19.7318
epoch 47,  actor_loss: -12.8010,  critic_loss: 40.0767, cost_time: 3.2821, best_solution: [6.518697261810303],od: 6.2188, eqity: 8.0219,rad: 22.2564
epoch 48,  actor_loss: 13.6923,  critic_loss: 36.5159, cost_time: 3.1912, best_solution: [7.120307922363281],od: 4.2271, eqity: 5.4016,rad: 18.8663
epoch 49,  actor_loss: 70.5659,  critic_loss: 35.6185, cost_time: 3.3125, best_solution: [7.120307922363281],od: 3.2979, eqity: 4.9300,rad: 18.0239
epoch 50,  actor_loss: 63.2016,  critic_loss: 29.0960, cost_time: 3.1196, best_solution: [7.120307922363281],od: 4.5100, eqity: 5.8822,rad: 20.2238
epoch 51,  actor_loss: 98.0489,  critic_loss: 30.9967, cost_time: 3.2752, best_solution: [7.120307922363281],od: 6.6038, eqity: 7.6103,rad: 26.9664
epoch 52,  actor_loss: -48.6077,  critic_loss: 26.0612, cost_time: 3.0136, best_solution: [7.120307922363281],od: 3.5696, eqity: 4.4765,rad: 18.6839
epoch 53,  actor_loss: 31.8362,  critic_loss: 26.6377, cost_time: 3.2466, best_solution: [7.120307922363281],od: 5.8995, eqity: 6.7195,rad: 22.9710
epoch 54,  actor_loss: 13.8919,  critic_loss: 33.8875, cost_time: 3.2430, best_solution: [7.120307922363281],od: 3.8411, eqity: 4.6446,rad: 16.4787
epoch 55,  actor_loss: 164.9113,  critic_loss: 47.4267, cost_time: 3.0990, best_solution: [7.120307922363281],od: 5.3952, eqity: 6.4257,rad: 20.8310
epoch 56,  actor_loss: 177.5198,  critic_loss: 45.8444, cost_time: 3.4129, best_solution: [7.120307922363281],od: 4.8714, eqity: 5.7513,rad: 21.0666
epoch 57,  actor_loss: 87.7267,  critic_loss: 33.7861, cost_time: 3.2678, best_solution: [7.120307922363281],od: 4.7604, eqity: 6.5522,rad: 20.7238
epoch 58,  actor_loss: -23.0329,  critic_loss: 40.8909, cost_time: 2.9052, best_solution: [7.120307922363281],od: 4.1795, eqity: 5.5035,rad: 19.1178
epoch 59,  actor_loss: 14.3161,  critic_loss: 48.6436, cost_time: 2.9803, best_solution: [7.120307922363281],od: 2.8312, eqity: 4.2978,rad: 12.9594
epoch 60,  actor_loss: 1.9802,  critic_loss: 36.2728, cost_time: 3.1995, best_solution: [7.120307922363281],od: 4.1806, eqity: 5.2592,rad: 21.5910
epoch 61,  actor_loss: 194.3670,  critic_loss: 59.8726, cost_time: 3.4390, best_solution: [7.120307922363281],od: 7.0921, eqity: 7.9743,rad: 24.7727
epoch 62,  actor_loss: 157.7840,  critic_loss: 58.2132, cost_time: 3.3337, best_solution: [7.533210277557373],od: 6.7032, eqity: 7.8608,rad: 22.2975
epoch 63,  actor_loss: 214.8469,  critic_loss: 56.8031, cost_time: 3.4504, best_solution: [7.533210277557373],od: 6.9750, eqity: 7.9909,rad: 25.7748
epoch 64,  actor_loss: 55.1250,  critic_loss: 38.3230, cost_time: 3.3341, best_solution: [7.533210277557373],od: 6.8987, eqity: 8.0240,rad: 25.1583
epoch 65,  actor_loss: 45.7805,  critic_loss: 40.2393, cost_time: 3.4687, best_solution: [7.533210277557373],od: 7.1153, eqity: 7.4531,rad: 24.8099
epoch 66,  actor_loss: -92.4895,  critic_loss: 43.2707, cost_time: 3.2881, best_solution: [7.533210277557373],od: 6.0067, eqity: 7.6661,rad: 22.2511
epoch 67,  actor_loss: -58.0081,  critic_loss: 48.2218, cost_time: 3.3544, best_solution: [7.533210277557373],od: 5.9317, eqity: 8.5845,rad: 21.6834
