
epoch 0,  actor_loss: -9.2236,  critic_loss: 4.3823, cost_time: 4.0983, best_solution: 0,od: 1.4885, eqity: 3.2574,rad: 11.8077
epoch 1,  actor_loss: 298.1124,  critic_loss: 91.3445, cost_time: 2.8755, best_solution: [1.4884682893753052],od: 3.2602, eqity: 4.2114,rad: 19.3378
epoch 2,  actor_loss: 107.0777,  critic_loss: 31.5959, cost_time: 2.9523, best_solution: [3.260190486907959],od: 4.0934, eqity: 5.1796,rad: 22.6992
epoch 3,  actor_loss: -273.7717,  critic_loss: 128.6423, cost_time: 2.6421, best_solution: [4.093395709991455],od: 2.7931, eqity: 3.2555,rad: 19.0124
epoch 4,  actor_loss: -292.2176,  critic_loss: 113.9860, cost_time: 2.7414, best_solution: [4.093395709991455],od: 2.4712, eqity: 3.4045,rad: 18.9820
epoch 5,  actor_loss: -70.1967,  critic_loss: 26.5608, cost_time: 3.0215, best_solution: [4.093395709991455],od: 3.4880, eqity: 4.5408,rad: 25.2045
epoch 6,  actor_loss: 139.8056,  critic_loss: 21.5226, cost_time: 2.8551, best_solution: [4.093395709991455],od: 2.6884, eqity: 4.3217,rad: 16.2595
epoch 7,  actor_loss: 199.7904,  critic_loss: 42.4258, cost_time: 2.8670, best_solution: [4.093395709991455],od: 3.7252, eqity: 4.6826,rad: 24.4108
epoch 8,  actor_loss: 130.7108,  critic_loss: 25.0422, cost_time: 3.3842, best_solution: [4.093395709991455],od: 3.5215, eqity: 5.1946,rad: 19.8726
epoch 9,  actor_loss: -33.0318,  critic_loss: 11.4078, cost_time: 2.6009, best_solution: [4.093395709991455],od: 1.9238, eqity: 3.3159,rad: 16.6499
epoch 10,  actor_loss: 11.9215,  critic_loss: 22.6545, cost_time: 2.2723, best_solution: [4.093395709991455],od: 2.7859, eqity: 3.1811,rad: 18.6326
epoch 11,  actor_loss: 123.3870,  critic_loss: 34.9084, cost_time: 3.2790, best_solution: [4.093395709991455],od: 4.3920, eqity: 5.0769,rad: 19.2517
epoch 12,  actor_loss: 7.1994,  critic_loss: 6.8427, cost_time: 2.9031, best_solution: [4.39198112487793],od: 1.8550, eqity: 3.2940,rad: 13.9206
epoch 13,  actor_loss: 71.2234,  critic_loss: 11.5209, cost_time: 3.2554, best_solution: [4.39198112487793],od: 2.5108, eqity: 4.1343,rad: 16.4673
epoch 14,  actor_loss: 155.1667,  critic_loss: 38.3345, cost_time: 3.0893, best_solution: [4.39198112487793],od: 4.3470, eqity: 4.9841,rad: 22.0738
epoch 15,  actor_loss: 54.3946,  critic_loss: 16.8267, cost_time: 3.0407, best_solution: [4.39198112487793],od: 2.7256, eqity: 3.8062,rad: 17.2732
epoch 16,  actor_loss: 32.9471,  critic_loss: 19.5952, cost_time: 2.9022, best_solution: [4.39198112487793],od: 3.5088, eqity: 4.5389,rad: 20.2337
epoch 17,  actor_loss: 37.7534,  critic_loss: 21.5490, cost_time: 3.1014, best_solution: [4.39198112487793],od: 3.8703, eqity: 5.4332,rad: 20.7044
epoch 18,  actor_loss: 36.5222,  critic_loss: 19.4515, cost_time: 2.8284, best_solution: [4.39198112487793],od: 3.1126, eqity: 4.0875,rad: 17.4021
epoch 19,  actor_loss: 148.9255,  critic_loss: 37.1259, cost_time: 3.0804, best_solution: [4.39198112487793],od: 4.7305, eqity: 5.4252,rad: 24.2827
epoch 20,  actor_loss: 40.6228,  critic_loss: 5.3656, cost_time: 3.1808, best_solution: [4.730483531951904],od: 2.0655, eqity: 3.8936,rad: 17.7489
epoch 21,  actor_loss: 84.6679,  critic_loss: 29.0347, cost_time: 2.8597, best_solution: [4.730483531951904],od: 2.9718, eqity: 4.0103,rad: 16.7956
epoch 22,  actor_loss: 44.9855,  critic_loss: 17.5363, cost_time: 3.1001, best_solution: [4.730483531951904],od: 3.0464, eqity: 4.6107,rad: 16.9615
epoch 23,  actor_loss: -13.5758,  critic_loss: 14.2330, cost_time: 3.0783, best_solution: [4.730483531951904],od: 3.2343, eqity: 4.5412,rad: 17.9751
epoch 24,  actor_loss: -13.1041,  critic_loss: 26.1867, cost_time: 3.2122, best_solution: [4.730483531951904],od: 3.4348, eqity: 4.9302,rad: 16.0769
epoch 25,  actor_loss: -53.2529,  critic_loss: 17.3035, cost_time: 2.9430, best_solution: [4.730483531951904],od: 2.2923, eqity: 2.9702,rad: 16.3885
epoch 26,  actor_loss: 6.3845,  critic_loss: 23.1179, cost_time: 2.5290, best_solution: [4.730483531951904],od: 2.6659, eqity: 3.7218,rad: 16.4741
epoch 27,  actor_loss: 50.3225,  critic_loss: 19.3343, cost_time: 3.2271, best_solution: [4.730483531951904],od: 3.2106, eqity: 4.3845,rad: 18.5870
epoch 28,  actor_loss: 62.9831,  critic_loss: 12.0911, cost_time: 3.4262, best_solution: [4.730483531951904],od: 3.3272, eqity: 5.3003,rad: 22.3163
epoch 29,  actor_loss: 109.3472,  critic_loss: 24.5297, cost_time: 3.2449, best_solution: [4.730483531951904],od: 4.5648, eqity: 5.7427,rad: 21.9027
epoch 30,  actor_loss: 82.2936,  critic_loss: 27.2503, cost_time: 2.9335, best_solution: [4.730483531951904],od: 4.3607, eqity: 5.0146,rad: 17.8042
epoch 31,  actor_loss: 1.8801,  critic_loss: 18.0283, cost_time: 3.1144, best_solution: [4.730483531951904],od: 3.1692, eqity: 5.0614,rad: 17.7663
epoch 32,  actor_loss: -39.3652,  critic_loss: 12.0079, cost_time: 3.1108, best_solution: [4.730483531951904],od: 2.4902, eqity: 3.4357,rad: 17.7926
epoch 33,  actor_loss: 22.6426,  critic_loss: 22.7686, cost_time: 3.0283, best_solution: [4.730483531951904],od: 3.6187, eqity: 4.9272,rad: 18.4186
epoch 34,  actor_loss: 61.6714,  critic_loss: 21.9311, cost_time: 3.1426, best_solution: [4.730483531951904],od: 3.9753, eqity: 5.3979,rad: 21.2794
epoch 35,  actor_loss: 93.1690,  critic_loss: 26.3473, cost_time: 3.2779, best_solution: [4.730483531951904],od: 4.5396, eqity: 5.6289,rad: 23.6195
epoch 36,  actor_loss: 48.2060,  critic_loss: 16.4747, cost_time: 2.9771, best_solution: [4.730483531951904],od: 3.7462, eqity: 4.8668,rad: 20.3560
epoch 37,  actor_loss: 31.0823,  critic_loss: 15.4969, cost_time: 3.1428, best_solution: [4.730483531951904],od: 4.0812, eqity: 5.3534,rad: 22.6903
epoch 38,  actor_loss: -45.1468,  critic_loss: 20.0739, cost_time: 3.0732, best_solution: [4.730483531951904],od: 2.6470, eqity: 3.6741,rad: 17.2731
epoch 39,  actor_loss: 35.5103,  critic_loss: 25.0266, cost_time: 3.2403, best_solution: [4.730483531951904],od: 5.0812, eqity: 6.5882,rad: 23.5785
