
epoch 0,  actor_loss: 31.4098,  critic_loss: 7.5496, cost_time: 2.6761, best_solution: 0,od: 2.5830, eqity: 3.6408,rad: 19.1966
epoch 1,  actor_loss: -466.0211,  critic_loss: 300.1806, cost_time: 1.4856, best_solution: [2.5830252170562744],od: 2.1330, eqity: 3.4970,rad: 17.4877
epoch 2,  actor_loss: -241.3339,  critic_loss: 100.4431, cost_time: 1.4397, best_solution: [2.5830252170562744],od: 3.2329, eqity: 3.7199,rad: 15.4258
epoch 3,  actor_loss: 79.7785,  critic_loss: 17.6218, cost_time: 1.6311, best_solution: [3.232856273651123],od: 4.1834, eqity: 4.6773,rad: 24.2995
epoch 4,  actor_loss: -5.4590,  critic_loss: 12.8202, cost_time: 1.5601, best_solution: [4.1834492683410645],od: 2.4138, eqity: 3.8389,rad: 14.6750
epoch 5,  actor_loss: 55.9002,  critic_loss: 10.1308, cost_time: 1.5409, best_solution: [4.1834492683410645],od: 2.1641, eqity: 3.4824,rad: 15.8209
epoch 6,  actor_loss: 115.9856,  critic_loss: 27.5687, cost_time: 1.5822, best_solution: [4.1834492683410645],od: 3.8638, eqity: 4.4954,rad: 21.8172
epoch 7,  actor_loss: -24.0668,  critic_loss: 14.0915, cost_time: 1.4672, best_solution: [4.1834492683410645],od: 2.7288, eqity: 3.8037,rad: 17.8781
epoch 8,  actor_loss: -37.7679,  critic_loss: 14.3650, cost_time: 1.4830, best_solution: [4.1834492683410645],od: 2.6070, eqity: 3.6399,rad: 18.7806
epoch 9,  actor_loss: 48.5012,  critic_loss: 11.6045, cost_time: 1.5719, best_solution: [4.1834492683410645],od: 3.7106, eqity: 4.4425,rad: 23.3367
epoch 10,  actor_loss: 25.8258,  critic_loss: 17.8390, cost_time: 1.4188, best_solution: [4.1834492683410645],od: 3.1721, eqity: 3.6724,rad: 16.5529
epoch 11,  actor_loss: 48.1841,  critic_loss: 14.3858, cost_time: 1.5793, best_solution: [4.1834492683410645],od: 2.9850, eqity: 3.6961,rad: 22.3299
epoch 12,  actor_loss: 44.8651,  critic_loss: 17.4281, cost_time: 1.4969, best_solution: [4.1834492683410645],od: 3.1483, eqity: 3.7752,rad: 17.9794
epoch 13,  actor_loss: -11.3418,  critic_loss: 13.2308, cost_time: 1.4865, best_solution: [4.1834492683410645],od: 2.6929, eqity: 3.6272,rad: 13.0030
