
epoch 0,  actor_loss: 177.9902,  critic_loss: 43.0646, cost_time: 9.5321, best_solution: 0,od: 2.4386, eqity: 3.5322,rad: 19.0325
epoch 1,  actor_loss: 13.3015,  critic_loss: 12.9239, cost_time: 7.2658, best_solution: [2.9854273796081543],od: 2.0550, eqity: 3.8414,rad: 14.3224
epoch 2,  actor_loss: 221.0131,  critic_loss: 57.5241, cost_time: 8.0067, best_solution: [2.9854273796081543],od: 2.4525, eqity: 3.9558,rad: 16.3564
epoch 3,  actor_loss: 110.4691,  critic_loss: 20.6727, cost_time: 7.0413, best_solution: [3.2041845321655273],od: 1.2751, eqity: 2.5667,rad: 12.4196
epoch 4,  actor_loss: -3.5946,  critic_loss: 17.7664, cost_time: 8.0624, best_solution: [3.2041845321655273],od: 2.9363, eqity: 4.0511,rad: 16.6720
epoch 5,  actor_loss: -3.5974,  critic_loss: 16.3564, cost_time: 7.9439, best_solution: [3.4936814308166504],od: 2.8670, eqity: 4.5538,rad: 15.1489
epoch 6,  actor_loss: 67.4160,  critic_loss: 18.3721, cost_time: 7.6543, best_solution: [3.7104177474975586],od: 2.5348, eqity: 4.8357,rad: 16.0448
epoch 7,  actor_loss: 51.1689,  critic_loss: 21.3664, cost_time: 7.4587, best_solution: [3.7104177474975586],od: 2.7334, eqity: 4.0771,rad: 22.2511
epoch 8,  actor_loss: -69.6185,  critic_loss: 24.6392, cost_time: 8.0407, best_solution: [3.7104177474975586],od: 3.0783, eqity: 4.3383,rad: 19.5638
epoch 9,  actor_loss: -41.8690,  critic_loss: 24.1271, cost_time: 8.4150, best_solution: [3.7104177474975586],od: 3.7477, eqity: 5.9088,rad: 18.4946
epoch 10,  actor_loss: -51.2477,  critic_loss: 15.8944, cost_time: 7.6449, best_solution: [4.828275680541992],od: 2.4466, eqity: 3.9872,rad: 14.3634
epoch 11,  actor_loss: 90.6527,  critic_loss: 30.6656, cost_time: 7.9204, best_solution: [4.828275680541992],od: 3.7828, eqity: 5.0498,rad: 18.2754
epoch 12,  actor_loss: 117.5983,  critic_loss: 29.2529, cost_time: 8.0554, best_solution: [4.828275680541992],od: 2.3351, eqity: 3.9376,rad: 12.7312
epoch 13,  actor_loss: 70.9485,  critic_loss: 19.1491, cost_time: 7.6969, best_solution: [4.828275680541992],od: 2.2417, eqity: 3.4340,rad: 16.3984
epoch 14,  actor_loss: -14.3376,  critic_loss: 22.4800, cost_time: 7.6331, best_solution: [4.828275680541992],od: 1.8054, eqity: 3.1888,rad: 12.4242
epoch 15,  actor_loss: -8.2028,  critic_loss: 24.7631, cost_time: 8.0037, best_solution: [4.828275680541992],od: 3.0419, eqity: 3.8210,rad: 18.6905
epoch 16,  actor_loss: 59.1478,  critic_loss: 29.9378, cost_time: 8.1078, best_solution: [4.828275680541992],od: 2.4701, eqity: 4.4938,rad: 12.1193
epoch 17,  actor_loss: 22.4004,  critic_loss: 23.3524, cost_time: 7.8342, best_solution: [4.828275680541992],od: 1.8964, eqity: 4.6110,rad: 12.7312
epoch 18,  actor_loss: -32.8024,  critic_loss: 20.6821, cost_time: 7.5654, best_solution: [4.828275680541992],od: 3.5007, eqity: 4.2450,rad: 20.3599
epoch 19,  actor_loss: 119.6721,  critic_loss: 31.5686, cost_time: 8.1537, best_solution: [4.828275680541992],od: 2.0185, eqity: 3.4132,rad: 12.7447
epoch 20,  actor_loss: 106.8539,  critic_loss: 32.6979, cost_time: 7.4794, best_solution: [4.828275680541992],od: 3.5727, eqity: 5.0495,rad: 17.8939
epoch 21,  actor_loss: 73.7847,  critic_loss: 26.4782, cost_time: 7.6660, best_solution: [4.828275680541992],od: 2.8576, eqity: 3.7232,rad: 16.2964
epoch 22,  actor_loss: 71.3944,  critic_loss: 31.1383, cost_time: 7.9887, best_solution: [4.828275680541992],od: 4.3791, eqity: 6.0231,rad: 18.7811
epoch 23,  actor_loss: -14.0038,  critic_loss: 27.2781, cost_time: 7.5637, best_solution: [5.201141834259033],od: 3.1451, eqity: 4.5823,rad: 15.3352
epoch 24,  actor_loss: -40.1225,  critic_loss: 35.0609, cost_time: 8.1105, best_solution: [5.201141834259033],od: 2.5510, eqity: 4.4142,rad: 11.7632
epoch 25,  actor_loss: -52.2891,  critic_loss: 33.5189, cost_time: 7.9310, best_solution: [5.201141834259033],od: 2.8095, eqity: 4.5032,rad: 15.7400
epoch 26,  actor_loss: 19.4440,  critic_loss: 31.4327, cost_time: 7.6199, best_solution: [5.201141834259033],od: 2.3952, eqity: 3.9268,rad: 13.6641
epoch 27,  actor_loss: 40.3401,  critic_loss: 32.9637, cost_time: 7.3621, best_solution: [5.201141834259033],od: 3.2450, eqity: 4.6445,rad: 14.2322
epoch 28,  actor_loss: 77.3560,  critic_loss: 22.1108, cost_time: 8.4098, best_solution: [5.201141834259033],od: 3.1268, eqity: 4.3406,rad: 17.5847
epoch 29,  actor_loss: 125.0336,  critic_loss: 46.4491, cost_time: 8.1875, best_solution: [5.201141834259033],od: 5.4308, eqity: 6.5507,rad: 19.6976
epoch 30,  actor_loss: 16.1459,  critic_loss: 19.4739, cost_time: 7.3143, best_solution: [5.990741729736328],od: 2.0458, eqity: 4.1070,rad: 13.5712
epoch 31,  actor_loss: 43.4784,  critic_loss: 22.3455, cost_time: 8.1192, best_solution: [5.990741729736328],od: 3.4183, eqity: 4.8065,rad: 18.8586
epoch 32,  actor_loss: 78.8641,  critic_loss: 27.4347, cost_time: 8.4235, best_solution: [5.990741729736328],od: 4.6065, eqity: 7.0570,rad: 21.0670
