
epoch 0,  actor_loss: 106.8181,  critic_loss: 21.6595, cost_time: 4.0635, best_solution: 0,od: 2.9240, eqity: 4.3367,rad: 19.7463
epoch 1,  actor_loss: -376.4431,  critic_loss: 177.9094, cost_time: 2.8565, best_solution: [2.9239840507507324],od: 1.7354, eqity: 3.2039,rad: 13.1818
epoch 2,  actor_loss: -192.1488,  critic_loss: 66.0310, cost_time: 2.8412, best_solution: [2.9239840507507324],od: 3.5954, eqity: 5.1774,rad: 19.7413
epoch 3,  actor_loss: -16.8523,  critic_loss: 7.6462, cost_time: 2.7571, best_solution: [3.5954394340515137],od: 2.2040, eqity: 3.8554,rad: 19.3346
epoch 4,  actor_loss: 310.0732,  critic_loss: 98.2065, cost_time: 2.5144, best_solution: [3.5954394340515137],od: 3.9968, eqity: 4.3002,rad: 21.9895
epoch 5,  actor_loss: 245.9418,  critic_loss: 68.3679, cost_time: 2.6205, best_solution: [3.996821880340576],od: 3.1075, eqity: 3.9107,rad: 17.5365
epoch 6,  actor_loss: 150.9000,  critic_loss: 35.7377, cost_time: 2.7067, best_solution: [3.996821880340576],od: 3.2507, eqity: 3.6785,rad: 17.4899
epoch 7,  actor_loss: 68.8271,  critic_loss: 23.2104, cost_time: 2.6562, best_solution: [3.996821880340576],od: 3.3979, eqity: 4.2598,rad: 19.8776
epoch 8,  actor_loss: -70.2726,  critic_loss: 21.7429, cost_time: 2.5956, best_solution: [3.996821880340576],od: 2.6767, eqity: 4.1988,rad: 17.3101
epoch 9,  actor_loss: -83.7902,  critic_loss: 30.1455, cost_time: 2.8685, best_solution: [3.996821880340576],od: 3.2025, eqity: 5.1688,rad: 14.9777
epoch 10,  actor_loss: -7.4084,  critic_loss: 29.6162, cost_time: 2.6853, best_solution: [3.996821880340576],od: 3.8542, eqity: 4.4857,rad: 19.6506
epoch 11,  actor_loss: 30.0227,  critic_loss: 13.4821, cost_time: 2.6911, best_solution: [3.996821880340576],od: 3.0696, eqity: 5.2028,rad: 15.2090
epoch 12,  actor_loss: 119.6625,  critic_loss: 22.1382, cost_time: 3.0025, best_solution: [3.996821880340576],od: 3.6247, eqity: 4.8491,rad: 19.5308
epoch 13,  actor_loss: 48.4331,  critic_loss: 12.2798, cost_time: 2.5559, best_solution: [3.996821880340576],od: 2.0861, eqity: 3.5848,rad: 19.0675
epoch 14,  actor_loss: 35.1288,  critic_loss: 11.8863, cost_time: 2.8062, best_solution: [3.996821880340576],od: 2.5644, eqity: 4.6920,rad: 16.4458
epoch 15,  actor_loss: -10.8685,  critic_loss: 12.4500, cost_time: 2.6046, best_solution: [3.996821880340576],od: 2.4903, eqity: 3.7337,rad: 16.5225
epoch 16,  actor_loss: 33.1539,  critic_loss: 20.4067, cost_time: 2.6662, best_solution: [3.996821880340576],od: 3.6809, eqity: 4.6697,rad: 18.8134
epoch 17,  actor_loss: 43.8127,  critic_loss: 11.5255, cost_time: 2.9848, best_solution: [3.996821880340576],od: 3.5430, eqity: 5.3023,rad: 19.6394
epoch 18,  actor_loss: 8.3107,  critic_loss: 16.2140, cost_time: 2.6621, best_solution: [3.996821880340576],od: 2.5300, eqity: 4.0072,rad: 16.3934
epoch 19,  actor_loss: 116.6950,  critic_loss: 37.4058, cost_time: 2.9271, best_solution: [3.996821880340576],od: 4.3624, eqity: 5.0020,rad: 22.7339
epoch 20,  actor_loss: 68.4297,  critic_loss: 21.3012, cost_time: 2.7418, best_solution: [4.362418174743652],od: 3.5011, eqity: 4.1494,rad: 21.0046
epoch 21,  actor_loss: 49.8111,  critic_loss: 21.3615, cost_time: 2.9887, best_solution: [4.362418174743652],od: 4.0348, eqity: 5.9789,rad: 23.9445
epoch 22,  actor_loss: -49.9603,  critic_loss: 15.3358, cost_time: 2.5745, best_solution: [4.362418174743652],od: 2.5686, eqity: 4.1689,rad: 16.7956
epoch 23,  actor_loss: -55.8342,  critic_loss: 17.0031, cost_time: 2.7076, best_solution: [4.362418174743652],od: 2.8438, eqity: 3.3689,rad: 18.3210
epoch 24,  actor_loss: 32.4904,  critic_loss: 23.3207, cost_time: 2.6810, best_solution: [4.362418174743652],od: 5.1263, eqity: 6.0052,rad: 26.8424
epoch 25,  actor_loss: -13.9269,  critic_loss: 11.8308, cost_time: 2.9954, best_solution: [5.126291751861572],od: 3.1886, eqity: 4.8774,rad: 21.6735
epoch 26,  actor_loss: 52.5071,  critic_loss: 18.6086, cost_time: 2.7439, best_solution: [5.126291751861572],od: 3.9183, eqity: 5.4790,rad: 23.6185
epoch 27,  actor_loss: 72.2960,  critic_loss: 18.9723, cost_time: 2.7081, best_solution: [5.126291751861572],od: 3.9417, eqity: 4.8215,rad: 23.2328
epoch 28,  actor_loss: 24.8741,  critic_loss: 12.2673, cost_time: 2.6664, best_solution: [5.126291751861572],od: 3.8721, eqity: 4.5470,rad: 25.6058
epoch 29,  actor_loss: 65.9606,  critic_loss: 20.4528, cost_time: 2.5703, best_solution: [5.126291751861572],od: 4.1348, eqity: 4.5063,rad: 20.8822
epoch 30,  actor_loss: 22.1033,  critic_loss: 12.9013, cost_time: 2.5010, best_solution: [5.126291751861572],od: 3.6847, eqity: 4.4938,rad: 22.4859
