
epoch 0,  actor_loss: 19.9406,  critic_loss: 5.9297, cost_time: 10.4238, best_solution: 0,od: 1.9248, eqity: 3.6355,rad: 15.2390
epoch 1,  actor_loss: -338.5405,  critic_loss: 198.2676, cost_time: 9.0036, best_solution: [1.9247654676437378],od: 2.3940, eqity: 2.8991,rad: 14.8052
epoch 2,  actor_loss: -93.8010,  critic_loss: 32.0910, cost_time: 9.0717, best_solution: [2.394035577774048],od: 2.1866, eqity: 3.4196,rad: 16.8713
epoch 3,  actor_loss: 265.5788,  critic_loss: 70.0999, cost_time: 9.3197, best_solution: [2.394035577774048],od: 2.9725, eqity: 4.2001,rad: 17.7993
epoch 4,  actor_loss: 174.7304,  critic_loss: 31.4100, cost_time: 10.6136, best_solution: [2.9724698066711426],od: 2.9937, eqity: 4.3425,rad: 17.5334
epoch 5,  actor_loss: -157.6979,  critic_loss: 44.5614, cost_time: 15.1773, best_solution: [2.9937024116516113],od: 2.4645, eqity: 3.7706,rad: 17.0445
epoch 6,  actor_loss: -145.9490,  critic_loss: 37.9328, cost_time: 17.2844, best_solution: [2.9937024116516113],od: 2.8996, eqity: 4.4379,rad: 19.3834
epoch 7,  actor_loss: -19.9390,  critic_loss: 15.0745, cost_time: 16.6838, best_solution: [2.9937024116516113],od: 2.4707, eqity: 3.5871,rad: 13.7494
epoch 8,  actor_loss: 143.4258,  critic_loss: 30.4645, cost_time: 15.1466, best_solution: [2.9937024116516113],od: 3.2483, eqity: 3.7178,rad: 17.6777
epoch 9,  actor_loss: 162.4587,  critic_loss: 28.4516, cost_time: 16.5839, best_solution: [3.2483069896698],od: 3.1467, eqity: 4.0210,rad: 23.0041
epoch 10,  actor_loss: 137.6399,  critic_loss: 26.8414, cost_time: 14.8354, best_solution: [3.2483069896698],od: 3.3711, eqity: 4.4159,rad: 18.4097
epoch 11,  actor_loss: -3.0153,  critic_loss: 10.9699, cost_time: 10.9238, best_solution: [3.371124505996704],od: 3.0227, eqity: 4.3008,rad: 17.8849
epoch 12,  actor_loss: -11.5909,  critic_loss: 11.4212, cost_time: 16.8080, best_solution: [3.371124505996704],od: 3.2576, eqity: 4.8272,rad: 24.3623
