
epoch 0,  actor_loss: 146.4743,  critic_loss: 27.8127, cost_time: 17.8970, best_solution: 0,od: 2.9422, eqity: 3.9614,rad: 16.9133
epoch 1,  actor_loss: -60.8688,  critic_loss: 23.7754, cost_time: 17.3933, best_solution: [2.9421541690826416],od: 2.7211, eqity: 3.5232,rad: 15.8509
epoch 2,  actor_loss: 121.5600,  critic_loss: 27.5957, cost_time: 17.9757, best_solution: [2.9421541690826416],od: 3.9731, eqity: 4.3793,rad: 22.1195
epoch 3,  actor_loss: 13.1634,  critic_loss: 11.0612, cost_time: 15.1690, best_solution: [3.973055839538574],od: 3.0149, eqity: 3.7849,rad: 20.7158
epoch 4,  actor_loss: 60.4077,  critic_loss: 20.3516, cost_time: 15.6580, best_solution: [3.973055839538574],od: 2.8439, eqity: 3.4513,rad: 17.2317
epoch 5,  actor_loss: -6.2492,  critic_loss: 7.0729, cost_time: 14.4690, best_solution: [3.973055839538574],od: 1.9601, eqity: 2.9598,rad: 14.8486
epoch 6,  actor_loss: 57.0753,  critic_loss: 12.6850, cost_time: 10.3178, best_solution: [3.973055839538574],od: 2.8513, eqity: 3.9783,rad: 17.9472
epoch 7,  actor_loss: 20.4654,  critic_loss: 8.9242, cost_time: 15.5377, best_solution: [3.973055839538574],od: 2.3153, eqity: 3.1397,rad: 15.2022
epoch 8,  actor_loss: 66.1286,  critic_loss: 18.6658, cost_time: 17.2233, best_solution: [3.973055839538574],od: 2.8544, eqity: 3.2250,rad: 18.7250
epoch 9,  actor_loss: 56.9954,  critic_loss: 11.8220, cost_time: 17.1714, best_solution: [3.973055839538574],od: 2.8679, eqity: 3.6303,rad: 14.8486
epoch 10,  actor_loss: 8.7591,  critic_loss: 12.3126, cost_time: 15.6213, best_solution: [3.973055839538574],od: 2.4546, eqity: 3.2567,rad: 13.8760
epoch 11,  actor_loss: 42.6895,  critic_loss: 16.5281, cost_time: 15.3728, best_solution: [3.973055839538574],od: 3.3814, eqity: 4.3334,rad: 20.1368
epoch 12,  actor_loss: -24.9410,  critic_loss: 15.1376, cost_time: 15.0517, best_solution: [3.973055839538574],od: 2.5413, eqity: 3.2304,rad: 18.4946
epoch 13,  actor_loss: 6.1545,  critic_loss: 17.1955, cost_time: 15.0765, best_solution: [3.973055839538574],od: 3.3822, eqity: 4.0512,rad: 21.3764
epoch 14,  actor_loss: 19.9758,  critic_loss: 12.2607, cost_time: 16.3607, best_solution: [3.973055839538574],od: 3.1770, eqity: 4.0603,rad: 22.2316
epoch 15,  actor_loss: 49.4363,  critic_loss: 12.7398, cost_time: 15.8826, best_solution: [3.973055839538574],od: 3.2410, eqity: 4.3596,rad: 21.3162
epoch 16,  actor_loss: 108.6514,  critic_loss: 23.0857, cost_time: 17.4283, best_solution: [3.973055839538574],od: 4.1203, eqity: 4.9796,rad: 20.3146
epoch 17,  actor_loss: 82.4810,  critic_loss: 15.0370, cost_time: 14.1346, best_solution: [4.120294570922852],od: 3.7965, eqity: 3.7529,rad: 25.8536
epoch 18,  actor_loss: 72.6032,  critic_loss: 23.3573, cost_time: 12.0406, best_solution: [4.120294570922852],od: 3.8360, eqity: 4.0282,rad: 18.8618
epoch 19,  actor_loss: -34.8641,  critic_loss: 11.0290, cost_time: 15.2808, best_solution: [4.120294570922852],od: 2.0810, eqity: 3.9036,rad: 15.1534
