epoch 0,  actor_loss: 197.5249,  critic_loss: 42.2363, cost_time: 2.6115, best_solution: 0,od: 2.4421, eqity: 3.8906,rad: 15.6430
epoch 1,  actor_loss: -121.5937,  critic_loss: 35.8026, cost_time: 1.3754, best_solution: [3.8906428813934326],od: 2.1650, eqity: 2.6947,rad: 18.3723
epoch 2,  actor_loss: 125.6764,  critic_loss: 22.1106, cost_time: 1.4546, best_solution: [3.8906428813934326],od: 2.3406, eqity: 3.7719,rad: 16.4673
epoch 3,  actor_loss: 60.7618,  critic_loss: 11.2022, cost_time: 1.5971, best_solution: [3.8906428813934326],od: 3.2108, eqity: 3.8865,rad: 20.0512
epoch 4,  actor_loss: -82.0317,  critic_loss: 28.0528, cost_time: 1.4015, best_solution: [3.8906428813934326],od: 3.4140, eqity: 4.5448,rad: 19.6908
epoch 5,  actor_loss: -107.3280,  critic_loss: 30.1335, cost_time: 1.4172, best_solution: [4.5448126792907715],od: 2.1462, eqity: 3.9838,rad: 15.5061
epoch 6,  actor_loss: 24.0520,  critic_loss: 12.3837, cost_time: 1.5033, best_solution: [4.5448126792907715],od: 2.4687, eqity: 3.3513,rad: 16.7023
epoch 7,  actor_loss: 290.8442,  critic_loss: 77.0379, cost_time: 1.5354, best_solution: [4.5448126792907715],od: 2.1938, eqity: 4.0426,rad: 18.6690
epoch 8,  actor_loss: 377.2756,  critic_loss: 119.5948, cost_time: 1.6080, best_solution: [4.5448126792907715],od: 3.7647, eqity: 4.7020,rad: 22.2931
epoch 9,  actor_loss: 233.1486,  critic_loss: 54.3699, cost_time: 1.5947, best_solution: [4.702030658721924],od: 2.5825, eqity: 3.8799,rad: 16.2215
epoch 10,  actor_loss: 79.7793,  critic_loss: 14.0258, cost_time: 1.4805, best_solution: [4.702030658721924],od: 3.1617, eqity: 3.5657,rad: 19.0020
epoch 11,  actor_loss: -45.4257,  critic_loss: 21.1332, cost_time: 1.5965, best_solution: [4.702030658721924],od: 2.5533, eqity: 4.2448,rad: 15.7767
epoch 12,  actor_loss: -107.0096,  critic_loss: 33.4264, cost_time: 1.2997, best_solution: [4.702030658721924],od: 1.5483, eqity: 1.9889,rad: 15.0168
epoch 13,  actor_loss: -25.6632,  critic_loss: 15.1620, cost_time: 1.4337, best_solution: [4.702030658721924],od: 2.8074, eqity: 3.6483,rad: 17.3620
epoch 14,  actor_loss: 49.9057,  critic_loss: 10.4256, cost_time: 1.4801, best_solution: [4.702030658721924],od: 2.2467, eqity: 4.0944,rad: 21.1451
epoch 15,  actor_loss: 58.3128,  critic_loss: 16.1725, cost_time: 1.4333, best_solution: [4.702030658721924],od: 2.2993, eqity: 3.7254,rad: 17.2249
epoch 16,  actor_loss: 60.6414,  critic_loss: 10.0030, cost_time: 1.4267, best_solution: [4.702030658721924],od: 3.3708, eqity: 4.4058,rad: 19.4690
epoch 17,  actor_loss: 11.3671,  critic_loss: 11.8999, cost_time: 1.5202, best_solution: [4.702030658721924],od: 3.4609, eqity: 4.1401,rad: 23.5335
epoch 18,  actor_loss: 41.4652,  critic_loss: 15.1781, cost_time: 1.6479, best_solution: [4.702030658721924],od: 3.3044, eqity: 5.0441,rad: 20.2590
epoch 19,  actor_loss: -15.2185,  critic_loss: 8.7837, cost_time: 1.6412, best_solution: [5.044135570526123],od: 3.8033, eqity: 5.0591,rad: 21.7135
epoch 20,  actor_loss: -30.7699,  critic_loss: 17.8769, cost_time: 1.4951, best_solution: [5.059115409851074],od: 2.6448, eqity: 3.8711,rad: 18.1529
epoch 21,  actor_loss: 14.9713,  critic_loss: 12.9958, cost_time: 1.5466, best_solution: [5.059115409851074],od: 3.0880, eqity: 4.7315,rad: 20.7966
epoch 22,  actor_loss: 69.0305,  critic_loss: 17.1350, cost_time: 1.4361, best_solution: [5.059115409851074],od: 3.7620, eqity: 4.3637,rad: 20.4552
epoch 23,  actor_loss: 114.4662,  critic_loss: 20.8735, cost_time: 1.4784, best_solution: [5.059115409851074],od: 5.0483, eqity: 5.6064,rad: 26.0052
epoch 24,  actor_loss: 86.2994,  critic_loss: 21.8409, cost_time: 1.5568, best_solution: [5.606359481811523],od: 4.0269, eqity: 5.4199,rad: 18.3881
epoch 25,  actor_loss: 19.0093,  critic_loss: 14.5525, cost_time: 1.5077, best_solution: [5.606359481811523],od: 3.0549, eqity: 4.4965,rad: 20.2290
epoch 26,  actor_loss: -7.6733,  critic_loss: 14.6904, cost_time: 1.4670, best_solution: [5.606359481811523],od: 3.1491, eqity: 3.8575,rad: 18.9625
epoch 27,  actor_loss: 54.0309,  critic_loss: 22.4349, cost_time: 1.4771, best_solution: [5.606359481811523],od: 3.1288, eqity: 4.8079,rad: 18.1042
epoch 28,  actor_loss: 73.8788,  critic_loss: 17.4697, cost_time: 1.5688, best_solution: [5.606359481811523],od: 4.2079, eqity: 5.6049,rad: 23.5261
epoch 29,  actor_loss: 44.8282,  critic_loss: 13.8212, cost_time: 1.5822, best_solution: [5.606359481811523],od: 3.2501, eqity: 5.6008,rad: 17.3321
epoch 30,  actor_loss: -4.8611,  critic_loss: 18.7696, cost_time: 1.5418, best_solution: [5.606359481811523],od: 3.1507, eqity: 5.1396,rad: 20.3996
epoch 31,  actor_loss: -18.0437,  critic_loss: 17.2075, cost_time: 1.5995, best_solution: [5.606359481811523],od: 3.3687, eqity: 5.5889,rad: 20.0434
epoch 32,  actor_loss: -9.5381,  critic_loss: 16.1308, cost_time: 1.4004, best_solution: [5.606359481811523],od: 4.8617, eqity: 5.3039,rad: 25.2485
epoch 33,  actor_loss: -6.4145,  critic_loss: 16.7202, cost_time: 1.5259, best_solution: [5.606359481811523],od: 2.9514, eqity: 4.7624,rad: 17.2245
epoch 34,  actor_loss: 17.5155,  critic_loss: 12.9784, cost_time: 1.4705, best_solution: [5.606359481811523],od: 3.1561, eqity: 4.6144,rad: 21.4543
epoch 35,  actor_loss: 86.0670,  critic_loss: 18.6374, cost_time: 1.4370, best_solution: [5.606359481811523],od: 3.4701, eqity: 5.3722,rad: 19.2890
epoch 36,  actor_loss: 86.1001,  critic_loss: 16.3825, cost_time: 1.4223, best_solution: [5.606359481811523],od: 3.2492, eqity: 4.9849,rad: 16.8012
epoch 37,  actor_loss: 97.0648,  critic_loss: 20.7964, cost_time: 1.4987, best_solution: [5.606359481811523],od: 2.8912, eqity: 5.1093,rad: 18.5802
epoch 38,  actor_loss: 85.9902,  critic_loss: 16.1815, cost_time: 1.3908, best_solution: [5.606359481811523],od: 3.0810, eqity: 5.0125,rad: 21.6143
epoch 39,  actor_loss: 100.2931,  critic_loss: 19.8065, cost_time: 1.5410, best_solution: [5.606359481811523],od: 4.2082, eqity: 6.0277,rad: 23.3225
epoch 40,  actor_loss: 66.5042,  critic_loss: 20.0131, cost_time: 1.5295, best_solution: [6.027730464935303],od: 3.9699, eqity: 5.8651,rad: 22.5167
epoch 41,  actor_loss: 51.5355,  critic_loss: 28.4692, cost_time: 1.5034, best_solution: [6.027730464935303],od: 4.9450, eqity: 6.4216,rad: 24.6731
epoch 42,  actor_loss: -73.8404,  critic_loss: 20.2039, cost_time: 1.4654, best_solution: [6.421642780303955],od: 4.4388, eqity: 5.7798,rad: 24.6259
epoch 43,  actor_loss: -108.0411,  critic_loss: 27.4707, cost_time: 1.5700, best_solution: [6.421642780303955],od: 4.0435, eqity: 6.3003,rad: 23.5627
epoch 44,  actor_loss: -138.8372,  critic_loss: 35.9922, cost_time: 1.5607, best_solution: [6.421642780303955],od: 3.1758, eqity: 5.5970,rad: 21.4987
epoch 45,  actor_loss: -113.6654,  critic_loss: 25.1447, cost_time: 1.6585, best_solution: [6.421642780303955],od: 4.5782, eqity: 6.2195,rad: 23.7487
epoch 46,  actor_loss: -46.6136,  critic_loss: 29.3620, cost_time: 1.5577, best_solution: [6.421642780303955],od: 3.9826, eqity: 6.2853,rad: 20.1802
epoch 47,  actor_loss: 0.3942,  critic_loss: 24.7830, cost_time: 1.5940, best_solution: [6.421642780303955],od: 3.6942, eqity: 5.4644,rad: 17.8849
epoch 48,  actor_loss: 114.0300,  critic_loss: 18.2376, cost_time: 1.5366, best_solution: [6.421642780303955],od: 3.2822, eqity: 5.9273,rad: 24.1913
