
epoch 0,  actor_loss: 140.2251,  critic_loss: 26.0788, cost_time: 2.6367, best_solution: 0,od: 1.9390, eqity: 3.3537,rad: 16.9615
epoch 1,  actor_loss: -104.4453,  critic_loss: 35.3249, cost_time: 1.5253, best_solution: [3.3537330627441406],od: 1.6304, eqity: 3.7788,rad: 15.0633
epoch 2,  actor_loss: -10.9916,  critic_loss: 16.1851, cost_time: 1.5331, best_solution: [3.7787890434265137],od: 3.0023, eqity: 3.3603,rad: 15.0633
epoch 3,  actor_loss: 117.7147,  critic_loss: 23.9781, cost_time: 1.4788, best_solution: [3.7787890434265137],od: 2.0209, eqity: 3.8153,rad: 15.4650
epoch 4,  actor_loss: 90.1338,  critic_loss: 13.3288, cost_time: 1.4123, best_solution: [3.8152546882629395],od: 2.1506, eqity: 3.3891,rad: 11.7221
epoch 5,  actor_loss: 54.5083,  critic_loss: 15.2833, cost_time: 1.5483, best_solution: [3.8152546882629395],od: 3.1897, eqity: 3.8382,rad: 17.5733
epoch 6,  actor_loss: -24.0627,  critic_loss: 16.9661, cost_time: 1.5939, best_solution: [3.838240385055542],od: 2.9535, eqity: 4.0476,rad: 17.7993
epoch 7,  actor_loss: -46.7536,  critic_loss: 15.5553, cost_time: 1.6129, best_solution: [4.047574996948242],od: 2.4458, eqity: 3.3016,rad: 18.6258
epoch 8,  actor_loss: 2.1329,  critic_loss: 12.6144, cost_time: 1.5932, best_solution: [4.047574996948242],od: 2.5976, eqity: 3.6942,rad: 19.0811
epoch 9,  actor_loss: 87.7290,  critic_loss: 17.6201, cost_time: 1.4888, best_solution: [4.047574996948242],od: 2.3942, eqity: 4.3637,rad: 15.4650
epoch 10,  actor_loss: 92.6640,  critic_loss: 15.7481, cost_time: 1.6741, best_solution: [4.363739490509033],od: 3.4364, eqity: 4.6645,rad: 21.5538
epoch 11,  actor_loss: 111.4939,  critic_loss: 20.7916, cost_time: 1.5564, best_solution: [4.664511680603027],od: 4.4371, eqity: 5.3749,rad: 21.6279
epoch 12,  actor_loss: 25.5763,  critic_loss: 14.8687, cost_time: 1.6538, best_solution: [5.374946594238281],od: 2.7024, eqity: 4.3054,rad: 22.7727
