
epoch 0,  actor_loss: 80.8722,  critic_loss: 14.9509, cost_time: 4.2518, best_solution: 0,od: 2.3056, eqity: 3.3012,rad: 14.7196
epoch 1,  actor_loss: -542.2276,  critic_loss: 342.4950, cost_time: 3.0479, best_solution: [3.3012197017669678],od: 3.4154, eqity: 4.5269,rad: 19.7816
epoch 2,  actor_loss: -264.9938,  critic_loss: 110.2924, cost_time: 2.5132, best_solution: [4.526917934417725],od: 2.4412, eqity: 3.4419,rad: 19.2822
epoch 3,  actor_loss: 13.0380,  critic_loss: 12.2917, cost_time: 2.7852, best_solution: [4.526917934417725],od: 1.6718, eqity: 3.1205,rad: 13.3408
epoch 4,  actor_loss: 251.6959,  critic_loss: 61.4526, cost_time: 2.8051, best_solution: [4.526917934417725],od: 3.0763, eqity: 3.9802,rad: 17.5801
epoch 5,  actor_loss: 239.4273,  critic_loss: 51.9441, cost_time: 2.8627, best_solution: [4.526917934417725],od: 3.6503, eqity: 4.3028,rad: 21.8542
epoch 6,  actor_loss: 78.7745,  critic_loss: 13.0706, cost_time: 2.5613, best_solution: [4.526917934417725],od: 2.2791, eqity: 3.3598,rad: 14.3178
epoch 7,  actor_loss: -39.9353,  critic_loss: 25.9421, cost_time: 2.4983, best_solution: [4.526917934417725],od: 2.4647, eqity: 3.9248,rad: 17.4877
epoch 8,  actor_loss: -80.2588,  critic_loss: 22.6161, cost_time: 2.8344, best_solution: [4.526917934417725],od: 2.6977, eqity: 3.7635,rad: 17.4443
epoch 9,  actor_loss: -13.3549,  critic_loss: 14.3540, cost_time: 2.6269, best_solution: [4.526917934417725],od: 2.0082, eqity: 2.7492,rad: 13.1672
epoch 10,  actor_loss: 167.1862,  critic_loss: 31.8757, cost_time: 2.7851, best_solution: [4.526917934417725],od: 2.2116, eqity: 3.1423,rad: 16.3015
epoch 11,  actor_loss: 327.2649,  critic_loss: 88.3227, cost_time: 2.8233, best_solution: [4.526917934417725],od: 3.7012, eqity: 5.4829,rad: 18.9474
epoch 12,  actor_loss: 163.2767,  critic_loss: 36.1510, cost_time: 2.5837, best_solution: [5.482905864715576],od: 2.3751, eqity: 3.1681,rad: 15.9148
epoch 13,  actor_loss: 92.8704,  critic_loss: 18.7173, cost_time: 2.6553, best_solution: [5.482905864715576],od: 1.6136, eqity: 3.2785,rad: 12.6388
epoch 14,  actor_loss: -13.8672,  critic_loss: 12.9062, cost_time: 2.7137, best_solution: [5.482905864715576],od: 1.6039, eqity: 3.4024,rad: 15.4650
epoch 15,  actor_loss: -51.3879,  critic_loss: 20.7173, cost_time: 2.7081, best_solution: [5.482905864715576],od: 2.1695, eqity: 3.1197,rad: 12.4242
epoch 16,  actor_loss: -19.2503,  critic_loss: 16.4176, cost_time: 2.6230, best_solution: [5.482905864715576],od: 2.6836, eqity: 3.5888,rad: 17.9819
epoch 17,  actor_loss: 63.1466,  critic_loss: 18.5919, cost_time: 2.8740, best_solution: [5.482905864715576],od: 2.8465, eqity: 4.7295,rad: 17.3219
epoch 18,  actor_loss: 7.3073,  critic_loss: 10.9068, cost_time: 2.5179, best_solution: [5.482905864715576],od: 2.3695, eqity: 3.2863,rad: 17.1761
epoch 19,  actor_loss: 88.2788,  critic_loss: 18.4536, cost_time: 2.6084, best_solution: [5.482905864715576],od: 3.0599, eqity: 4.3860,rad: 17.8849
epoch 20,  actor_loss: 69.7477,  critic_loss: 14.6147, cost_time: 2.7724, best_solution: [5.482905864715576],od: 2.6352, eqity: 4.0826,rad: 15.1972
epoch 21,  actor_loss: 70.7557,  critic_loss: 17.1354, cost_time: 2.9848, best_solution: [5.482905864715576],od: 2.8307, eqity: 4.6958,rad: 18.9031
epoch 22,  actor_loss: 20.2847,  critic_loss: 13.0141, cost_time: 2.9579, best_solution: [5.482905864715576],od: 3.1830, eqity: 4.6709,rad: 21.5476
epoch 23,  actor_loss: -5.4331,  critic_loss: 17.7669, cost_time: 2.8373, best_solution: [5.482905864715576],od: 2.5246, eqity: 4.2385,rad: 17.8878
epoch 24,  actor_loss: 4.0426,  critic_loss: 15.3158, cost_time: 2.8736, best_solution: [5.482905864715576],od: 3.3255, eqity: 4.4194,rad: 22.3782
epoch 25,  actor_loss: 83.6657,  critic_loss: 18.5813, cost_time: 2.8886, best_solution: [5.482905864715576],od: 3.5080, eqity: 5.7835,rad: 20.0011
epoch 26,  actor_loss: 39.7979,  critic_loss: 17.2769, cost_time: 2.8801, best_solution: [5.783488750457764],od: 3.6849, eqity: 4.1447,rad: 22.3787
epoch 27,  actor_loss: 54.6874,  critic_loss: 25.5499, cost_time: 3.0001, best_solution: [5.783488750457764],od: 3.3197, eqity: 4.8496,rad: 19.4782
