
epoch 0,  actor_loss: -29.6365,  critic_loss: 10.8434, cost_time: 2.0335, best_solution: 0,od: 1.8290, eqity: 3.1335,rad: 14.7584
epoch 1,  actor_loss: 228.4038,  critic_loss: 57.5644, cost_time: 1.6283, best_solution: [1.8289724588394165],od: 2.4634, eqity: 3.6393,rad: 16.7789
epoch 2,  actor_loss: 52.0206,  critic_loss: 11.2148, cost_time: 1.5012, best_solution: [2.4634318351745605],od: 2.4560, eqity: 3.3816,rad: 17.9269
epoch 3,  actor_loss: -148.5591,  critic_loss: 32.4436, cost_time: 1.7371, best_solution: [2.4634318351745605],od: 2.6060, eqity: 3.9389,rad: 17.4021
epoch 4,  actor_loss: -92.4508,  critic_loss: 36.1315, cost_time: 1.6741, best_solution: [2.606034994125366],od: 3.2822, eqity: 3.8056,rad: 19.0502
epoch 5,  actor_loss: 35.7474,  critic_loss: 17.4526, cost_time: 1.8100, best_solution: [3.282215118408203],od: 3.4607, eqity: 4.1633,rad: 21.6766
epoch 6,  actor_loss: 218.2559,  critic_loss: 52.8987, cost_time: 1.5854, best_solution: [3.4607348442077637],od: 2.9306, eqity: 3.9234,rad: 21.1451
epoch 7,  actor_loss: 292.4369,  critic_loss: 78.8157, cost_time: 1.7332, best_solution: [3.4607348442077637],od: 3.3212, eqity: 5.0398,rad: 19.3746
epoch 8,  actor_loss: 204.1157,  critic_loss: 53.3458, cost_time: 1.5595, best_solution: [3.4607348442077637],od: 3.1391, eqity: 3.3130,rad: 21.0114
epoch 9,  actor_loss: 106.9070,  critic_loss: 22.6756, cost_time: 1.8034, best_solution: [3.4607348442077637],od: 3.4254, eqity: 4.4868,rad: 18.0763
epoch 10,  actor_loss: -11.9239,  critic_loss: 15.3683, cost_time: 1.6959, best_solution: [3.4607348442077637],od: 3.1719, eqity: 3.7817,rad: 19.9174
epoch 11,  actor_loss: -5.9872,  critic_loss: 17.1527, cost_time: 1.6121, best_solution: [3.4607348442077637],od: 3.7350, eqity: 4.0876,rad: 21.6488
epoch 12,  actor_loss: 5.0924,  critic_loss: 12.3287, cost_time: 1.5243, best_solution: [3.7350497245788574],od: 2.7116, eqity: 3.6182,rad: 15.2022
epoch 13,  actor_loss: 220.8462,  critic_loss: 47.3413, cost_time: 1.9302, best_solution: [3.7350497245788574],od: 4.7775, eqity: 6.1663,rad: 24.4550
epoch 14,  actor_loss: 162.5597,  critic_loss: 40.4339, cost_time: 1.6987, best_solution: [4.777508735656738],od: 3.2248, eqity: 3.6486,rad: 18.1547
epoch 15,  actor_loss: 184.9950,  critic_loss: 47.7796, cost_time: 1.9710, best_solution: [4.777508735656738],od: 4.6583, eqity: 4.8576,rad: 20.0502
epoch 16,  actor_loss: 20.3353,  critic_loss: 13.4768, cost_time: 1.9031, best_solution: [4.777508735656738],od: 2.8230, eqity: 3.6772,rad: 16.8645
epoch 17,  actor_loss: 73.6607,  critic_loss: 29.9432, cost_time: 1.8807, best_solution: [4.777508735656738],od: 3.8743, eqity: 4.8276,rad: 20.1404
epoch 18,  actor_loss: 61.1515,  critic_loss: 34.1410, cost_time: 1.8679, best_solution: [4.777508735656738],od: 5.1091, eqity: 5.6015,rad: 23.9667
epoch 19,  actor_loss: -118.0283,  critic_loss: 32.3388, cost_time: 1.6932, best_solution: [5.109058380126953],od: 2.4567, eqity: 3.5770,rad: 15.0633
epoch 20,  actor_loss: -125.1296,  critic_loss: 32.0075, cost_time: 1.6117, best_solution: [5.109058380126953],od: 2.6178, eqity: 3.5703,rad: 17.4877
epoch 21,  actor_loss: -26.4644,  critic_loss: 22.7160, cost_time: 2.0244, best_solution: [5.109058380126953],od: 4.4687, eqity: 5.1303,rad: 26.9596
epoch 22,  actor_loss: -0.1240,  critic_loss: 14.0751, cost_time: 1.6565, best_solution: [5.109058380126953],od: 3.0196, eqity: 4.3876,rad: 16.7909
epoch 23,  actor_loss: 169.0725,  critic_loss: 44.4591, cost_time: 1.7990, best_solution: [5.109058380126953],od: 3.8926, eqity: 4.7250,rad: 21.0234
epoch 24,  actor_loss: 239.4954,  critic_loss: 54.6151, cost_time: 1.8990, best_solution: [5.109058380126953],od: 4.7221, eqity: 5.7409,rad: 25.5644
epoch 25,  actor_loss: 175.6363,  critic_loss: 40.8465, cost_time: 1.7692, best_solution: [5.109058380126953],od: 3.7773, eqity: 4.9006,rad: 21.2794
epoch 26,  actor_loss: 158.8983,  critic_loss: 39.5496, cost_time: 1.7727, best_solution: [5.109058380126953],od: 4.1985, eqity: 4.5993,rad: 22.0806
epoch 27,  actor_loss: 44.5633,  critic_loss: 16.2434, cost_time: 1.8810, best_solution: [5.109058380126953],od: 3.2598, eqity: 4.2501,rad: 18.5958
epoch 28,  actor_loss: 5.9365,  critic_loss: 20.8221, cost_time: 1.7584, best_solution: [5.109058380126953],od: 3.9588, eqity: 4.9456,rad: 22.5170
epoch 29,  actor_loss: -12.6690,  critic_loss: 37.4107, cost_time: 1.9250, best_solution: [5.109058380126953],od: 4.2643, eqity: 5.3443,rad: 17.3141
epoch 30,  actor_loss: 24.9785,  critic_loss: 34.4439, cost_time: 1.9831, best_solution: [5.109058380126953],od: 5.1360, eqity: 6.2403,rad: 24.9412
epoch 31,  actor_loss: 56.6373,  critic_loss: 28.4413, cost_time: 1.9665, best_solution: [5.135980606079102],od: 4.8081, eqity: 6.0212,rad: 25.4653
epoch 32,  actor_loss: 73.3428,  critic_loss: 34.9614, cost_time: 2.1772, best_solution: [5.135980606079102],od: 5.1657, eqity: 7.0548,rad: 22.7827
epoch 33,  actor_loss: -11.1575,  critic_loss: 23.1267, cost_time: 1.7951, best_solution: [5.1656646728515625],od: 3.5394, eqity: 4.2352,rad: 22.3419
epoch 34,  actor_loss: 19.4859,  critic_loss: 21.4698, cost_time: 1.7597, best_solution: [5.1656646728515625],od: 3.9074, eqity: 4.6871,rad: 22.4756
epoch 35,  actor_loss: 41.7458,  critic_loss: 22.4315, cost_time: 1.7673, best_solution: [5.1656646728515625],od: 3.9028, eqity: 4.7250,rad: 21.4175
epoch 36,  actor_loss: 44.6600,  critic_loss: 19.1969, cost_time: 1.9260, best_solution: [5.1656646728515625],od: 3.9710, eqity: 5.8029,rad: 21.0716
epoch 37,  actor_loss: 56.6517,  critic_loss: 22.1299, cost_time: 2.0303, best_solution: [5.1656646728515625],od: 4.6589, eqity: 6.5655,rad: 17.9683
epoch 38,  actor_loss: -6.9905,  critic_loss: 26.0233, cost_time: 1.8001, best_solution: [5.1656646728515625],od: 4.0122, eqity: 4.9525,rad: 20.1391
epoch 39,  actor_loss: -6.8415,  critic_loss: 16.9616, cost_time: 1.9977, best_solution: [5.1656646728515625],od: 4.7273, eqity: 6.3484,rad: 24.1894
epoch 40,  actor_loss: 101.2275,  critic_loss: 40.1580, cost_time: 1.9217, best_solution: [5.1656646728515625],od: 6.7297, eqity: 7.0297,rad: 27.7260
epoch 41,  actor_loss: 2.4489,  critic_loss: 23.1610, cost_time: 1.9306, best_solution: [6.729691982269287],od: 4.9482, eqity: 5.6693,rad: 23.3525
epoch 42,  actor_loss: 69.2850,  critic_loss: 38.0309, cost_time: 2.0594, best_solution: [6.729691982269287],od: 5.8601, eqity: 6.6364,rad: 27.3614
epoch 43,  actor_loss: -18.0718,  critic_loss: 35.5163, cost_time: 1.8612, best_solution: [6.729691982269287],od: 3.6533, eqity: 4.7664,rad: 17.1072
epoch 44,  actor_loss: 69.6609,  critic_loss: 49.9005, cost_time: 1.8351, best_solution: [6.729691982269287],od: 5.5799, eqity: 5.2555,rad: 22.5535
epoch 45,  actor_loss: 13.4228,  critic_loss: 21.7672, cost_time: 1.8970, best_solution: [6.729691982269287],od: 3.7725, eqity: 5.2628,rad: 15.7816
epoch 46,  actor_loss: 160.0746,  critic_loss: 57.1711, cost_time: 1.8575, best_solution: [6.729691982269287],od: 5.7504, eqity: 5.8394,rad: 21.9028
epoch 47,  actor_loss: 146.1994,  critic_loss: 41.0936, cost_time: 1.9703, best_solution: [6.729691982269287],od: 5.6447, eqity: 5.7349,rad: 23.5517
