
epoch 0,  actor_loss: 153.0758,  critic_loss: 29.8247, cost_time: 2.3398, best_solution: 0,od: 1.6743, eqity: 3.0455,rad: 16.3078
epoch 1,  actor_loss: -186.1212,  critic_loss: 62.3150, cost_time: 2.1995, best_solution: [3.0454602241516113],od: 2.7135, eqity: 3.6114,rad: 20.7600
epoch 2,  actor_loss: -26.4530,  critic_loss: 11.3978, cost_time: 1.8672, best_solution: [3.611421585083008],od: 2.5313, eqity: 3.6518,rad: 19.4752
epoch 3,  actor_loss: 259.6198,  critic_loss: 64.0628, cost_time: 2.2595, best_solution: [3.651799201965332],od: 4.0543, eqity: 4.7526,rad: 18.8550
epoch 4,  actor_loss: 171.2368,  critic_loss: 34.6158, cost_time: 2.2423, best_solution: [4.7526068687438965],od: 2.6469, eqity: 3.5840,rad: 12.1080
epoch 5,  actor_loss: 67.9970,  critic_loss: 16.1208, cost_time: 2.0200, best_solution: [4.7526068687438965],od: 2.9317, eqity: 3.5004,rad: 17.1693
epoch 6,  actor_loss: -109.8554,  critic_loss: 43.5670, cost_time: 2.0412, best_solution: [4.7526068687438965],od: 2.6601, eqity: 3.5030,rad: 13.5234
epoch 7,  actor_loss: -88.6353,  critic_loss: 33.7125, cost_time: 2.1966, best_solution: [4.7526068687438965],od: 4.1978, eqity: 4.6166,rad: 21.0182
epoch 8,  actor_loss: 38.7108,  critic_loss: 17.6792, cost_time: 2.4830, best_solution: [4.7526068687438965],od: 4.7515, eqity: 6.0267,rad: 24.8583
epoch 9,  actor_loss: -78.8656,  critic_loss: 21.8723, cost_time: 2.2970, best_solution: [6.026686191558838],od: 2.4485, eqity: 3.0209,rad: 16.9501
epoch 10,  actor_loss: 11.2616,  critic_loss: 14.3635, cost_time: 2.1920, best_solution: [6.026686191558838],od: 3.4848, eqity: 4.2414,rad: 19.8686
epoch 11,  actor_loss: 3.1097,  critic_loss: 8.4041, cost_time: 1.9387, best_solution: [6.026686191558838],od: 1.5004, eqity: 2.5031,rad: 12.0644
epoch 12,  actor_loss: 123.9367,  critic_loss: 22.6966, cost_time: 2.0935, best_solution: [6.026686191558838],od: 3.0947, eqity: 4.0272,rad: 17.5365
epoch 13,  actor_loss: 125.1675,  critic_loss: 22.0109, cost_time: 2.2102, best_solution: [6.026686191558838],od: 3.9139, eqity: 3.7376,rad: 19.7350
epoch 14,  actor_loss: 91.5962,  critic_loss: 16.3608, cost_time: 1.9490, best_solution: [6.026686191558838],od: 2.6100, eqity: 3.4742,rad: 19.5082
epoch 15,  actor_loss: 93.1891,  critic_loss: 16.3637, cost_time: 2.1084, best_solution: [6.026686191558838],od: 4.3917, eqity: 4.4208,rad: 23.6195
epoch 16,  actor_loss: 3.7569,  critic_loss: 15.8970, cost_time: 2.1030, best_solution: [6.026686191558838],od: 3.6512, eqity: 4.3313,rad: 28.1068
epoch 17,  actor_loss: 25.5959,  critic_loss: 18.5672, cost_time: 2.3869, best_solution: [6.026686191558838],od: 4.7113, eqity: 5.4811,rad: 24.3571
epoch 18,  actor_loss: -17.2753,  critic_loss: 15.2626, cost_time: 2.3573, best_solution: [6.026686191558838],od: 3.4253, eqity: 3.7203,rad: 21.5094
epoch 19,  actor_loss: 64.2189,  critic_loss: 21.3277, cost_time: 2.2678, best_solution: [6.026686191558838],od: 3.8128, eqity: 4.2590,rad: 19.7386
epoch 20,  actor_loss: 34.3198,  critic_loss: 14.4366, cost_time: 2.1309, best_solution: [6.026686191558838],od: 3.4928, eqity: 4.1018,rad: 19.6494
epoch 21,  actor_loss: 30.2411,  critic_loss: 23.3380, cost_time: 2.2010, best_solution: [6.026686191558838],od: 3.7706, eqity: 4.2668,rad: 19.9528
epoch 22,  actor_loss: 77.7026,  critic_loss: 24.6489, cost_time: 2.7289, best_solution: [6.026686191558838],od: 3.5985, eqity: 5.6024,rad: 20.0948
epoch 23,  actor_loss: -42.9014,  critic_loss: 14.0499, cost_time: 2.2841, best_solution: [6.026686191558838],od: 3.1992, eqity: 3.9244,rad: 20.0965
epoch 24,  actor_loss: 8.7861,  critic_loss: 19.7941, cost_time: 2.2709, best_solution: [6.026686191558838],od: 4.0033, eqity: 4.7532,rad: 18.2821
epoch 25,  actor_loss: -3.7052,  critic_loss: 11.7518, cost_time: 2.0981, best_solution: [6.026686191558838],od: 2.6968, eqity: 3.4695,rad: 17.7046
epoch 26,  actor_loss: 122.7047,  critic_loss: 28.1970, cost_time: 2.4077, best_solution: [6.026686191558838],od: 3.7074, eqity: 5.2218,rad: 17.6426
epoch 27,  actor_loss: 139.7196,  critic_loss: 27.3924, cost_time: 2.7811, best_solution: [6.026686191558838],od: 4.4050, eqity: 5.1730,rad: 25.8204
epoch 28,  actor_loss: 149.8001,  critic_loss: 37.7623, cost_time: 2.4099, best_solution: [6.026686191558838],od: 4.8181, eqity: 5.5536,rad: 23.3188
epoch 29,  actor_loss: 61.0318,  critic_loss: 18.9261, cost_time: 2.4964, best_solution: [6.026686191558838],od: 3.5251, eqity: 4.1390,rad: 19.2034
epoch 30,  actor_loss: 19.9080,  critic_loss: 13.4922, cost_time: 2.3949, best_solution: [6.026686191558838],od: 3.4192, eqity: 4.4846,rad: 20.0092
epoch 31,  actor_loss: -11.6584,  critic_loss: 16.5496, cost_time: 2.1893, best_solution: [6.026686191558838],od: 3.9228, eqity: 4.2683,rad: 18.8618
epoch 32,  actor_loss: -11.1765,  critic_loss: 12.2680, cost_time: 2.2643, best_solution: [6.026686191558838],od: 3.1259, eqity: 4.1888,rad: 15.8623
epoch 33,  actor_loss: 64.4657,  critic_loss: 18.7956, cost_time: 2.0900, best_solution: [6.026686191558838],od: 4.0521, eqity: 5.3817,rad: 20.0959
epoch 34,  actor_loss: 39.2959,  critic_loss: 20.5425, cost_time: 2.2297, best_solution: [6.026686191558838],od: 3.8642, eqity: 4.6669,rad: 20.3550
epoch 35,  actor_loss: 46.1775,  critic_loss: 16.8502, cost_time: 2.1364, best_solution: [6.026686191558838],od: 3.1088, eqity: 4.4372,rad: 19.7809
epoch 36,  actor_loss: 84.5590,  critic_loss: 28.2979, cost_time: 2.1677, best_solution: [6.026686191558838],od: 4.0640, eqity: 5.0927,rad: 20.7600
epoch 37,  actor_loss: 84.5977,  critic_loss: 25.0973, cost_time: 2.6173, best_solution: [6.026686191558838],od: 3.8463, eqity: 5.7950,rad: 19.6607
epoch 38,  actor_loss: 53.1829,  critic_loss: 24.2511, cost_time: 2.6520, best_solution: [6.026686191558838],od: 5.7899, eqity: 6.0759,rad: 25.4524
epoch 39,  actor_loss: 2.1018,  critic_loss: 32.7410, cost_time: 2.8114, best_solution: [6.0759358406066895],od: 4.7678, eqity: 5.9147,rad: 20.8492
epoch 40,  actor_loss: -105.4278,  critic_loss: 28.4850, cost_time: 2.4212, best_solution: [6.0759358406066895],od: 3.8572, eqity: 4.5526,rad: 20.0466
epoch 41,  actor_loss: -110.0394,  critic_loss: 44.0037, cost_time: 1.9087, best_solution: [6.0759358406066895],od: 2.7274, eqity: 3.4287,rad: 18.2867
epoch 42,  actor_loss: -2.2218,  critic_loss: 35.5599, cost_time: 2.6236, best_solution: [6.0759358406066895],od: 4.9252, eqity: 6.4599,rad: 19.9122
epoch 43,  actor_loss: 4.5508,  critic_loss: 20.8361, cost_time: 2.5168, best_solution: [6.4598588943481445],od: 5.4475, eqity: 6.1658,rad: 25.7808
epoch 44,  actor_loss: 61.4853,  critic_loss: 27.7217, cost_time: 2.2743, best_solution: [6.4598588943481445],od: 4.7856, eqity: 5.3505,rad: 21.4086
epoch 45,  actor_loss: 77.8809,  critic_loss: 19.8923, cost_time: 2.4371, best_solution: [6.4598588943481445],od: 4.0253, eqity: 5.0082,rad: 25.4196
epoch 46,  actor_loss: 103.6343,  critic_loss: 22.4603, cost_time: 2.2979, best_solution: [6.4598588943481445],od: 3.9863, eqity: 5.2737,rad: 21.2306
epoch 47,  actor_loss: 129.2150,  critic_loss: 30.4583, cost_time: 2.6196, best_solution: [6.4598588943481445],od: 4.1832, eqity: 5.6744,rad: 21.9395
epoch 48,  actor_loss: 97.0845,  critic_loss: 30.7707, cost_time: 2.5442, best_solution: [6.4598588943481445],od: 3.1976, eqity: 4.9455,rad: 15.4650
epoch 49,  actor_loss: 97.4463,  critic_loss: 27.9792, cost_time: 2.4952, best_solution: [6.4598588943481445],od: 4.2392, eqity: 5.3916,rad: 17.4111
epoch 50,  actor_loss: -18.2057,  critic_loss: 19.0211, cost_time: 2.0800, best_solution: [6.4598588943481445],od: 2.2370, eqity: 3.6473,rad: 15.7224
epoch 51,  actor_loss: -12.2550,  critic_loss: 20.3838, cost_time: 2.3734, best_solution: [6.4598588943481445],od: 3.0957, eqity: 4.9806,rad: 22.4268
epoch 52,  actor_loss: 22.5798,  critic_loss: 19.3204, cost_time: 2.4930, best_solution: [6.4598588943481445],od: 5.0136, eqity: 5.8801,rad: 29.4441
epoch 53,  actor_loss: 94.1282,  critic_loss: 29.6874, cost_time: 2.5017, best_solution: [6.4598588943481445],od: 5.5955, eqity: 6.8554,rad: 25.7380
epoch 54,  actor_loss: 40.8973,  critic_loss: 25.3906, cost_time: 2.3643, best_solution: [6.85543155670166],od: 3.5866, eqity: 5.1198,rad: 18.2867
epoch 55,  actor_loss: 94.9023,  critic_loss: 26.8011, cost_time: 2.7901, best_solution: [6.85543155670166],od: 5.3690, eqity: 6.3137,rad: 24.4547
epoch 56,  actor_loss: 76.2085,  critic_loss: 25.4018, cost_time: 2.4676, best_solution: [6.85543155670166],od: 4.8692, eqity: 5.7233,rad: 22.6137
epoch 57,  actor_loss: 22.9199,  critic_loss: 18.6276, cost_time: 2.3969, best_solution: [6.85543155670166],od: 3.4897, eqity: 5.1093,rad: 19.9122
epoch 58,  actor_loss: 53.8547,  critic_loss: 24.2970, cost_time: 2.4880, best_solution: [6.85543155670166],od: 3.3262, eqity: 5.8620,rad: 20.7947
epoch 59,  actor_loss: 52.4546,  critic_loss: 23.6485, cost_time: 2.6375, best_solution: [6.85543155670166],od: 4.9451, eqity: 6.4615,rad: 25.8232
epoch 60,  actor_loss: 53.2035,  critic_loss: 32.7599, cost_time: 2.7252, best_solution: [6.85543155670166],od: 5.9993, eqity: 6.9147,rad: 23.4359
epoch 61,  actor_loss: 12.7712,  critic_loss: 35.1554, cost_time: 2.4904, best_solution: [6.914689540863037],od: 4.6263, eqity: 5.9114,rad: 21.8560
epoch 62,  actor_loss: 1.7256,  critic_loss: 32.4404, cost_time: 2.4520, best_solution: [6.914689540863037],od: 4.4641, eqity: 5.8967,rad: 20.8402
epoch 63,  actor_loss: 84.2025,  critic_loss: 34.5179, cost_time: 2.6071, best_solution: [6.914689540863037],od: 6.3958, eqity: 6.8529,rad: 23.9301
epoch 64,  actor_loss: 122.2029,  critic_loss: 38.4358, cost_time: 2.5039, best_solution: [6.914689540863037],od: 6.4289, eqity: 7.6853,rad: 28.2958
epoch 65,  actor_loss: 35.0236,  critic_loss: 28.2094, cost_time: 2.4499, best_solution: [7.685308456420898],od: 5.1436, eqity: 6.0645,rad: 24.3639
epoch 66,  actor_loss: 128.3371,  critic_loss: 46.0040, cost_time: 2.4340, best_solution: [7.685308456420898],od: 6.4295, eqity: 7.4038,rad: 20.3140
epoch 67,  actor_loss: 15.5598,  critic_loss: 35.5693, cost_time: 2.6795, best_solution: [7.685308456420898],od: 5.3376, eqity: 5.8440,rad: 23.8989
epoch 68,  actor_loss: 18.8849,  critic_loss: 23.0426, cost_time: 2.7965, best_solution: [7.685308456420898],od: 4.7815, eqity: 6.1768,rad: 25.6545
epoch 69,  actor_loss: 67.7669,  critic_loss: 37.4347, cost_time: 2.9378, best_solution: [7.685308456420898],od: 4.1743, eqity: 6.3118,rad: 23.9667
epoch 70,  actor_loss: 115.3252,  critic_loss: 44.1823, cost_time: 2.5399, best_solution: [7.685308456420898],od: 5.6206, eqity: 7.0658,rad: 22.3411
epoch 71,  actor_loss: 73.0190,  critic_loss: 32.3209, cost_time: 2.7789, best_solution: [7.685308456420898],od: 5.2070, eqity: 6.9705,rad: 25.8204
epoch 72,  actor_loss: 43.8493,  critic_loss: 45.3502, cost_time: 2.3398, best_solution: [7.685308456420898],od: 4.6290, eqity: 6.5046,rad: 20.3140
epoch 73,  actor_loss: 42.8455,  critic_loss: 38.9396, cost_time: 2.4949, best_solution: [7.685308456420898],od: 5.1534, eqity: 7.1164,rad: 21.6211
epoch 74,  actor_loss: 120.0913,  critic_loss: 45.4093, cost_time: 2.6889, best_solution: [7.685308456420898],od: 7.4687, eqity: 8.7082,rad: 26.4000
epoch 75,  actor_loss: 71.5421,  critic_loss: 34.6972, cost_time: 2.5952, best_solution: [8.70821475982666],od: 7.8489, eqity: 8.5394,rad: 26.6632
epoch 76,  actor_loss: 69.7939,  critic_loss: 34.4950, cost_time: 2.8858, best_solution: [8.70821475982666],od: 7.8774, eqity: 9.1004,rad: 31.6433
epoch 77,  actor_loss: -6.0470,  critic_loss: 36.4305, cost_time: 2.6788, best_solution: [9.100388526916504],od: 7.0523, eqity: 8.7311,rad: 28.1556
epoch 78,  actor_loss: -62.8200,  critic_loss: 57.7626, cost_time: 2.6491, best_solution: [9.100388526916504],od: 6.2393, eqity: 6.8825,rad: 22.8195
epoch 79,  actor_loss: -50.7082,  critic_loss: 59.6495, cost_time: 2.5132, best_solution: [9.100388526916504],od: 5.5158, eqity: 7.2532,rad: 24.2281
epoch 80,  actor_loss: 37.8969,  critic_loss: 28.3905, cost_time: 2.7920, best_solution: [9.100388526916504],od: 7.6220, eqity: 9.8234,rad: 23.9299
epoch 81,  actor_loss: 20.0527,  critic_loss: 47.3753, cost_time: 2.9299, best_solution: [9.823406219482422],od: 5.7859, eqity: 7.4937,rad: 25.0727
epoch 82,  actor_loss: 74.8973,  critic_loss: 49.1919, cost_time: 2.5762, best_solution: [9.823406219482422],od: 5.6931, eqity: 7.6560,rad: 23.1331
epoch 83,  actor_loss: 177.4680,  critic_loss: 67.1634, cost_time: 2.8843, best_solution: [9.823406219482422],od: 7.0272, eqity: 8.6815,rad: 24.7611
epoch 84,  actor_loss: 239.2121,  critic_loss: 70.9777, cost_time: 2.5806, best_solution: [9.823406219482422],od: 7.4457, eqity: 9.2626,rad: 25.1261
epoch 85,  actor_loss: 307.4213,  critic_loss: 79.0349, cost_time: 2.9099, best_solution: [9.823406219482422],od: 8.1585, eqity: 10.9072,rad: 25.4094
epoch 86,  actor_loss: 242.3267,  critic_loss: 60.6883, cost_time: 2.7186, best_solution: [10.90722942352295],od: 7.8391, eqity: 9.8306,rad: 31.2304
epoch 87,  actor_loss: 164.9918,  critic_loss: 56.8812, cost_time: 2.7025, best_solution: [10.90722942352295],od: 5.9442, eqity: 8.1258,rad: 21.3230
epoch 88,  actor_loss: 149.2219,  critic_loss: 39.1355, cost_time: 2.6698, best_solution: [10.90722942352295],od: 6.6288, eqity: 8.9308,rad: 26.8792
epoch 89,  actor_loss: 19.2647,  critic_loss: 38.6694, cost_time: 2.4129, best_solution: [10.90722942352295],od: 5.4618, eqity: 7.2110,rad: 23.2213
epoch 90,  actor_loss: 66.9260,  critic_loss: 43.4106, cost_time: 2.8680, best_solution: [10.90722942352295],od: 8.7080, eqity: 9.4390,rad: 29.6957
epoch 91,  actor_loss: 42.6544,  critic_loss: 54.5674, cost_time: 2.7391, best_solution: [10.90722942352295],od: 7.2299, eqity: 9.9376,rad: 25.3776
epoch 92,  actor_loss: -58.0787,  critic_loss: 53.4712, cost_time: 2.6429, best_solution: [10.90722942352295],od: 6.4960, eqity: 8.1201,rad: 25.9572
epoch 93,  actor_loss: -3.4915,  critic_loss: 78.8682, cost_time: 2.7662, best_solution: [10.90722942352295],od: 6.7066, eqity: 8.4025,rad: 24.9785
epoch 94,  actor_loss: -20.9081,  critic_loss: 53.4622, cost_time: 2.5702, best_solution: [10.90722942352295],od: 7.6871, eqity: 7.8970,rad: 26.0503
epoch 95,  actor_loss: 56.2048,  critic_loss: 62.8593, cost_time: 2.4709, best_solution: [10.90722942352295],od: 7.7909, eqity: 8.1208,rad: 28.4716
epoch 96,  actor_loss: 139.0691,  critic_loss: 44.8660, cost_time: 3.0278, best_solution: [10.90722942352295],od: 7.5176, eqity: 9.6576,rad: 27.6728
epoch 97,  actor_loss: 170.1212,  critic_loss: 54.7240, cost_time: 2.6808, best_solution: [10.90722942352295],od: 8.1256, eqity: 9.3729,rad: 26.5712
epoch 98,  actor_loss: 184.7930,  critic_loss: 54.9398, cost_time: 2.7276, best_solution: [10.90722942352295],od: 8.7512, eqity: 9.5147,rad: 24.6777
epoch 99,  actor_loss: 227.8377,  critic_loss: 64.9158, cost_time: 3.2451, best_solution: [10.90722942352295],od: 9.8056, eqity: 11.1024,rad: 28.6820
epoch 100,  actor_loss: 81.9963,  critic_loss: 42.4970, cost_time: 2.6927, best_solution: [11.102377891540527],od: 8.1350, eqity: 8.5493,rad: 27.1856
epoch 101,  actor_loss: 185.4559,  critic_loss: 64.7738, cost_time: 3.1304, best_solution: [11.102377891540527],od: 9.0602, eqity: 11.0277,rad: 26.8808
epoch 102,  actor_loss: 55.9321,  critic_loss: 64.6506, cost_time: 2.8212, best_solution: [11.102377891540527],od: 7.3862, eqity: 8.3989,rad: 22.9207
epoch 103,  actor_loss: 35.8143,  critic_loss: 52.2712, cost_time: 2.6074, best_solution: [11.102377891540527],od: 8.1828, eqity: 8.7469,rad: 22.6483
epoch 104,  actor_loss: 119.5633,  critic_loss: 70.9475, cost_time: 2.9348, best_solution: [11.102377891540527],od: 8.4883, eqity: 9.7100,rad: 26.6148
epoch 105,  actor_loss: 105.0408,  critic_loss: 56.9289, cost_time: 2.7588, best_solution: [11.102377891540527],od: 8.0554, eqity: 10.0316,rad: 26.4882
epoch 106,  actor_loss: -38.7027,  critic_loss: 55.8187, cost_time: 2.7488, best_solution: [11.102377891540527],od: 5.2581, eqity: 7.1553,rad: 21.2374
epoch 107,  actor_loss: 59.1267,  critic_loss: 69.8223, cost_time: 3.1539, best_solution: [11.102377891540527],od: 9.2619, eqity: 9.2424,rad: 28.5598
epoch 108,  actor_loss: 177.8088,  critic_loss: 91.2986, cost_time: 2.8696, best_solution: [11.102377891540527],od: 10.2462, eqity: 11.2909,rad: 29.0844
epoch 109,  actor_loss: 174.0257,  critic_loss: 74.9511, cost_time: 3.0102, best_solution: [11.290908813476562],od: 10.0762, eqity: 12.0319,rad: 26.2676
epoch 110,  actor_loss: 104.3396,  critic_loss: 40.3120, cost_time: 3.0396, best_solution: [12.031881332397461],od: 12.3647, eqity: 11.7640,rad: 34.0340
epoch 111,  actor_loss: 25.5220,  critic_loss: 54.0918, cost_time: 3.1137, best_solution: [12.031881332397461],od: 9.4537, eqity: 10.4982,rad: 28.4762
epoch 112,  actor_loss: -14.8882,  critic_loss: 71.3897, cost_time: 2.7762, best_solution: [12.031881332397461],od: 9.8189, eqity: 9.8543,rad: 29.0069
epoch 113,  actor_loss: 32.3016,  critic_loss: 61.7033, cost_time: 3.0947, best_solution: [12.031881332397461],od: 10.0215, eqity: 11.1007,rad: 25.2553
epoch 114,  actor_loss: 34.2590,  critic_loss: 68.0839, cost_time: 2.9212, best_solution: [12.031881332397461],od: 10.0007, eqity: 9.9558,rad: 26.7104
epoch 115,  actor_loss: 92.5822,  critic_loss: 57.8115, cost_time: 3.2083, best_solution: [12.031881332397461],od: 9.8216, eqity: 10.3428,rad: 27.9800
epoch 116,  actor_loss: 204.0856,  critic_loss: 62.2187, cost_time: 3.2026, best_solution: [12.031881332397461],od: 11.2138, eqity: 11.9264,rad: 25.6936
