
epoch 0,  actor_loss: 199.4493,  critic_loss: 45.4711, cost_time: 4.2094, best_solution: 0,od: 2.3755, eqity: 3.4371,rad: 15.1977
epoch 1,  actor_loss: -187.5363,  critic_loss: 60.7949, cost_time: 2.8873, best_solution: [3.4370603561401367],od: 2.9412, eqity: 4.6038,rad: 16.8918
epoch 2,  actor_loss: 33.0315,  critic_loss: 11.8596, cost_time: 2.6895, best_solution: [4.6038126945495605],od: 2.9023, eqity: 4.6078,rad: 20.9746
epoch 3,  actor_loss: -107.7471,  critic_loss: 40.4753, cost_time: 2.6389, best_solution: [4.607777118682861],od: 2.2927, eqity: 3.7585,rad: 17.7926
epoch 4,  actor_loss: -63.8244,  critic_loss: 21.4743, cost_time: 2.6931, best_solution: [4.607777118682861],od: 2.0333, eqity: 3.2403,rad: 17.5665
epoch 5,  actor_loss: 60.0064,  critic_loss: 16.6073, cost_time: 2.6479, best_solution: [4.607777118682861],od: 2.0758, eqity: 3.6829,rad: 15.1421
epoch 6,  actor_loss: 62.4643,  critic_loss: 14.9853, cost_time: 2.8496, best_solution: [4.607777118682861],od: 2.8164, eqity: 4.2156,rad: 18.3305
epoch 7,  actor_loss: -11.9405,  critic_loss: 28.2139, cost_time: 2.6627, best_solution: [4.607777118682861],od: 3.3398, eqity: 4.2173,rad: 17.8849
epoch 8,  actor_loss: 21.6766,  critic_loss: 21.2888, cost_time: 3.1447, best_solution: [4.607777118682861],od: 3.6739, eqity: 5.5837,rad: 19.6862
epoch 9,  actor_loss: 14.8571,  critic_loss: 13.2122, cost_time: 2.9226, best_solution: [5.583691120147705],od: 1.9280, eqity: 3.9230,rad: 15.0633
epoch 10,  actor_loss: 166.8200,  critic_loss: 37.5130, cost_time: 2.8552, best_solution: [5.583691120147705],od: 3.3384, eqity: 5.0682,rad: 14.9894
epoch 11,  actor_loss: 120.7522,  critic_loss: 30.0795, cost_time: 2.7802, best_solution: [5.583691120147705],od: 2.7301, eqity: 4.0915,rad: 12.8168
epoch 12,  actor_loss: 74.8282,  critic_loss: 17.6768, cost_time: 2.8457, best_solution: [5.583691120147705],od: 1.7939, eqity: 3.5348,rad: 14.8418
epoch 13,  actor_loss: -1.6587,  critic_loss: 13.4322, cost_time: 2.5891, best_solution: [5.583691120147705],od: 2.1950, eqity: 2.9407,rad: 15.3314
epoch 14,  actor_loss: 43.1204,  critic_loss: 18.0944, cost_time: 2.9461, best_solution: [5.583691120147705],od: 3.6399, eqity: 4.4234,rad: 18.5497
epoch 15,  actor_loss: 80.6901,  critic_loss: 21.7135, cost_time: 3.1588, best_solution: [5.583691120147705],od: 3.2695, eqity: 4.7486,rad: 18.1898
epoch 16,  actor_loss: 114.7584,  critic_loss: 27.9667, cost_time: 2.9369, best_solution: [5.583691120147705],od: 4.4729, eqity: 5.6187,rad: 23.8954
epoch 17,  actor_loss: 77.8493,  critic_loss: 34.9212, cost_time: 2.9236, best_solution: [5.618656158447266],od: 3.3002, eqity: 5.2964,rad: 13.1216
