epoch 0,  actor_loss: 285.3211,  critic_loss: 114.8404, cost_time: 2.0023, best_solution: 0,od: 4.8733, eqity: 5.6033,rad: 17.9809
4.873267121729441 5.603340167552233 17.980918169021606
epoch 1,  actor_loss: -512.7029,  critic_loss: 559.8762, cost_time: 0.6513, best_solution: [11.646114349365234],od: 1.2352, eqity: 1.9157,rad: 10.9231
epoch 2,  actor_loss: -321.6821,  critic_loss: 256.8719, cost_time: 0.6881, best_solution: [11.646114349365234],od: 3.7149, eqity: 3.4228,rad: 14.1191
epoch 3,  actor_loss: 16.4621,  critic_loss: 76.2054, cost_time: 0.7055, best_solution: [11.646114349365234],od: 2.7649, eqity: 2.3291,rad: 14.3143
epoch 4,  actor_loss: 178.0310,  critic_loss: 55.5802, cost_time: 0.7097, best_solution: [11.646114349365234],od: 0.8662, eqity: 1.4987,rad: 8.6509
epoch 5,  actor_loss: 349.9051,  critic_loss: 123.9180, cost_time: 0.7073, best_solution: [11.646114349365234],od: 5.6771, eqity: 3.7282,rad: 10.0646
epoch 6,  actor_loss: 220.4349,  critic_loss: 114.5554, cost_time: 0.6256, best_solution: [11.646114349365234],od: 2.9200, eqity: 2.8721,rad: 14.2833
epoch 7,  actor_loss: 455.1553,  critic_loss: 234.2862, cost_time: 0.8899, best_solution: [11.646114349365234],od: 8.4095, eqity: 6.2068,rad: 22.2098
8.409475425258279 6.2068305760622025 22.20983648300171
epoch 8,  actor_loss: 120.4196,  critic_loss: 59.8392, cost_time: 0.6886, best_solution: [14.648862838745117],od: 2.5705, eqity: 2.3261,rad: 13.7312
epoch 9,  actor_loss: -24.9212,  critic_loss: 102.3043, cost_time: 0.8772, best_solution: [14.648862838745117],od: 3.3101, eqity: 3.6200,rad: 16.5665
epoch 10,  actor_loss: 258.0832,  critic_loss: 159.2419, cost_time: 1.0262, best_solution: [14.648862838745117],od: 9.1711, eqity: 5.1065,rad: 30.3189
9.171074915677309 5.106536515057087 30.31888437271118
epoch 11,  actor_loss: -76.0564,  critic_loss: 113.1900, cost_time: 0.8594, best_solution: [18.525619506835938],od: 4.0736, eqity: 3.4431,rad: 24.6755
epoch 12,  actor_loss: 98.1717,  critic_loss: 123.7099, cost_time: 0.9433, best_solution: [18.525619506835938],od: 8.4674, eqity: 4.9683,rad: 27.4836
epoch 13,  actor_loss: -142.6105,  critic_loss: 103.9336, cost_time: 0.8128, best_solution: [18.525619506835938],od: 2.6684, eqity: 2.3769,rad: 19.0322
epoch 14,  actor_loss: -15.4541,  critic_loss: 69.8392, cost_time: 0.6867, best_solution: [18.525619506835938],od: 4.6142, eqity: 4.0137,rad: 17.7858
epoch 15,  actor_loss: 120.4968,  critic_loss: 79.9781, cost_time: 0.8342, best_solution: [18.525619506835938],od: 3.3058, eqity: 3.5132,rad: 14.9777
epoch 16,  actor_loss: 190.3383,  critic_loss: 92.1299, cost_time: 0.7381, best_solution: [18.525619506835938],od: 5.7652, eqity: 4.5925,rad: 14.9777
epoch 17,  actor_loss: 441.4721,  critic_loss: 225.1878, cost_time: 0.7677, best_solution: [18.525619506835938],od: 6.8221, eqity: 4.8072,rad: 31.9260
6.822108452015527 4.807248942553997 31.92600917816162
epoch 18,  actor_loss: -86.4564,  critic_loss: 15.1928, cost_time: 0.8960, best_solution: [18.76959991455078],od: 6.9011, eqity: 5.1835,rad: 6.8686
epoch 19,  actor_loss: -105.9852,  critic_loss: 39.1026, cost_time: 0.6480, best_solution: [18.76959991455078],od: 0.5444, eqity: 0.7950,rad: 8.8181
epoch 20,  actor_loss: 210.6929,  critic_loss: 102.4433, cost_time: 0.9785, best_solution: [18.76959991455078],od: 7.3787, eqity: 5.0378,rad: 19.0322
epoch 21,  actor_loss: 220.5123,  critic_loss: 139.8465, cost_time: 0.7477, best_solution: [18.76959991455078],od: 4.4599, eqity: 4.0788,rad: 20.6210
epoch 22,  actor_loss: 243.5297,  critic_loss: 130.4700, cost_time: 0.7791, best_solution: [18.76959991455078],od: 7.5190, eqity: 4.1788,rad: 22.7348
epoch 23,  actor_loss: -32.5752,  critic_loss: 87.5620, cost_time: 0.7222, best_solution: [18.76959991455078],od: 1.8919, eqity: 2.6212,rad: 14.2942
epoch 24,  actor_loss: -197.7479,  critic_loss: 84.6225, cost_time: 0.7342, best_solution: [18.76959991455078],od: 1.4007, eqity: 1.9082,rad: 10.9231
epoch 25,  actor_loss: -79.3560,  critic_loss: 83.7374, cost_time: 0.7103, best_solution: [18.76959991455078],od: 3.6891, eqity: 2.7796,rad: 10.9231
epoch 26,  actor_loss: 15.1791,  critic_loss: 118.6181, cost_time: 0.7489, best_solution: [18.76959991455078],od: 6.0027, eqity: 3.3566,rad: 16.5665
epoch 27,  actor_loss: 33.3812,  critic_loss: 59.2744, cost_time: 0.7557, best_solution: [18.76959991455078],od: 4.2833, eqity: 3.9779,rad: 14.9777
epoch 28,  actor_loss: 400.5505,  critic_loss: 209.5235, cost_time: 0.9102, best_solution: [18.76959991455078],od: 9.3615, eqity: 6.6346,rad: 24.8707
epoch 29,  actor_loss: 262.1283,  critic_loss: 157.9326, cost_time: 0.8845, best_solution: [18.76959991455078],od: 5.0897, eqity: 3.2500,rad: 20.6210
epoch 30,  actor_loss: 64.0937,  critic_loss: 44.0931, cost_time: 0.5313, best_solution: [18.76959991455078],od: 3.6085, eqity: 2.3267,rad: 9.3702
epoch 31,  actor_loss: 333.0448,  critic_loss: 148.9558, cost_time: 0.8643, best_solution: [18.76959991455078],od: 4.6765, eqity: 4.1064,rad: 23.4291
