epoch 0,  actor_loss: 135.0679,  critic_loss: 17.7157, cost_time: 0.8897, best_solution: 0,od: 4.1631, eqity: 5.2393,rad: 20.9817
4.163053443728131 5.23927167057991 20.98170495033264
epoch 1,  actor_loss: 49.5008,  critic_loss: 7.6825, cost_time: 0.6248, best_solution: [7.742027759552002],od: 5.6246, eqity: 7.6675,rad: 28.9252
5.624635487794876 7.6675170958042145 28.925222396850586
epoch 2,  actor_loss: -276.3558,  critic_loss: 103.4900, cost_time: 0.4685, best_solution: [10.693329811096191],od: 2.5520, eqity: 3.5801,rad: 22.0354
epoch 3,  actor_loss: -231.8869,  critic_loss: 90.0925, cost_time: 0.4396, best_solution: [10.693329811096191],od: 3.2309, eqity: 4.4218,rad: 16.9272
epoch 4,  actor_loss: -174.0365,  critic_loss: 30.7203, cost_time: 0.5583, best_solution: [10.693329811096191],od: 3.2331, eqity: 5.3583,rad: 20.6210
epoch 5,  actor_loss: -25.8211,  critic_loss: 7.4296, cost_time: 0.3512, best_solution: [10.693329811096191],od: 1.5618, eqity: 2.6010,rad: 14.1191
epoch 6,  actor_loss: 212.4264,  critic_loss: 36.3876, cost_time: 0.5597, best_solution: [10.693329811096191],od: 6.2369, eqity: 7.8841,rad: 29.1204
6.2368726609274745 7.884121805429459 29.120381832122803
epoch 7,  actor_loss: 120.2223,  critic_loss: 14.1702, cost_time: 0.4870, best_solution: [11.143024444580078],od: 2.7780, eqity: 4.0342,rad: 20.6210
epoch 8,  actor_loss: 106.9704,  critic_loss: 12.0668, cost_time: 0.5583, best_solution: [11.143024444580078],od: 4.0841, eqity: 5.2336,rad: 18.5330
epoch 9,  actor_loss: 4.9965,  critic_loss: 2.1541, cost_time: 0.5874, best_solution: [11.143024444580078],od: 2.5452, eqity: 4.9213,rad: 17.7858
epoch 10,  actor_loss: -18.8788,  critic_loss: 2.4760, cost_time: 0.5296, best_solution: [11.143024444580078],od: 1.4970, eqity: 2.0856,rad: 10.9231
epoch 11,  actor_loss: 36.6875,  critic_loss: 5.5695, cost_time: 0.4352, best_solution: [11.143024444580078],od: 3.2467, eqity: 3.3779,rad: 20.6210
epoch 12,  actor_loss: 29.9986,  critic_loss: 3.3247, cost_time: 0.5903, best_solution: [11.143024444580078],od: 2.9627, eqity: 5.9887,rad: 19.0322
epoch 13,  actor_loss: 36.3696,  critic_loss: 10.0886, cost_time: 0.4691, best_solution: [11.143024444580078],od: 3.6252, eqity: 3.1156,rad: 17.0914
epoch 14,  actor_loss: -42.1542,  critic_loss: 5.2644, cost_time: 0.4407, best_solution: [11.143024444580078],od: 1.7068, eqity: 3.5520,rad: 17.7858
epoch 15,  actor_loss: -24.5208,  critic_loss: 5.5346, cost_time: 0.6389, best_solution: [11.143024444580078],od: 3.7684, eqity: 7.0864,rad: 19.0322
epoch 16,  actor_loss: -33.9075,  critic_loss: 5.3424, cost_time: 0.5861, best_solution: [11.143024444580078],od: 2.7441, eqity: 5.0556,rad: 22.1827
epoch 17,  actor_loss: -4.7295,  critic_loss: 3.9482, cost_time: 0.4954, best_solution: [11.143024444580078],od: 2.1000, eqity: 3.5879,rad: 9.6767
epoch 18,  actor_loss: 9.6241,  critic_loss: 2.1742, cost_time: 0.4557, best_solution: [11.143024444580078],od: 1.7804, eqity: 3.2516,rad: 14.9777
epoch 19,  actor_loss: 18.1251,  critic_loss: 0.8512, cost_time: 0.4893, best_solution: [11.143024444580078],od: 1.5863, eqity: 3.6154,rad: 16.5665
