epoch 0,  actor_loss: 35.3449,  critic_loss: 5.6953, cost_time: 3.4171, best_solution: 0,od: 3.0178, eqity: 4.0825,rad: 21.8240
3.017818078223172 4.08247322961688 21.82396399974823
epoch 1,  actor_loss: -353.9449,  critic_loss: 152.7502, cost_time: 2.1907, best_solution: [6.991979122161865],od: 2.5036, eqity: 3.9359,rad: 17.5875
epoch 2,  actor_loss: -197.4595,  critic_loss: 72.2133, cost_time: 2.1664, best_solution: [6.991979122161865],od: 2.0017, eqity: 2.9569,rad: 13.5204
epoch 3,  actor_loss: -57.9203,  critic_loss: 10.9551, cost_time: 2.2008, best_solution: [6.991979122161865],od: 2.4372, eqity: 3.7406,rad: 17.6303
epoch 4,  actor_loss: 56.9637,  critic_loss: 7.1647, cost_time: 2.4180, best_solution: [6.991979122161865],od: 3.7060, eqity: 4.8392,rad: 23.0545
3.705993003295589 4.839234050363302 23.054455399513245
epoch 5,  actor_loss: -18.1371,  critic_loss: 4.7232, cost_time: 1.9148, best_solution: [7.802333831787109],od: 1.9152, eqity: 3.7012,rad: 13.6366
epoch 6,  actor_loss: 33.2301,  critic_loss: 4.1710, cost_time: 2.2603, best_solution: [7.802333831787109],od: 2.5436, eqity: 3.7149,rad: 15.7675
epoch 7,  actor_loss: 26.3161,  critic_loss: 5.6601, cost_time: 2.1278, best_solution: [7.802333831787109],od: 3.2371, eqity: 4.7062,rad: 19.1666
epoch 8,  actor_loss: -30.6208,  critic_loss: 11.3263, cost_time: 2.3561, best_solution: [7.802333831787109],od: 4.8356, eqity: 5.4353,rad: 24.8587
4.835601301601855 5.435266651213169 24.85871535539627
epoch 9,  actor_loss: -65.7046,  critic_loss: 11.9079, cost_time: 2.3119, best_solution: [8.96015739440918],od: 3.5740, eqity: 5.4432,rad: 18.8656
epoch 10,  actor_loss: -20.2972,  critic_loss: 6.6039, cost_time: 2.1637, best_solution: [8.96015739440918],od: 2.9751, eqity: 4.4680,rad: 20.9258
epoch 11,  actor_loss: 69.7977,  critic_loss: 8.5840, cost_time: 2.3993, best_solution: [8.96015739440918],od: 3.9049, eqity: 4.7546,rad: 25.9848
epoch 12,  actor_loss: 60.4862,  critic_loss: 8.3296, cost_time: 2.0610, best_solution: [8.96015739440918],od: 2.9722, eqity: 4.0788,rad: 19.2034
epoch 13,  actor_loss: 27.7268,  critic_loss: 5.0644, cost_time: 2.1860, best_solution: [8.96015739440918],od: 2.5508, eqity: 3.4821,rad: 16.8345
epoch 14,  actor_loss: 17.0585,  critic_loss: 5.3457, cost_time: 2.0378, best_solution: [8.96015739440918],od: 3.0678, eqity: 4.2740,rad: 19.1163
epoch 15,  actor_loss: 27.3767,  critic_loss: 5.3628, cost_time: 2.1138, best_solution: [8.96015739440918],od: 2.9300, eqity: 4.5924,rad: 15.6519
epoch 16,  actor_loss: 16.5842,  critic_loss: 4.6558, cost_time: 2.2693, best_solution: [8.96015739440918],od: 3.1464, eqity: 4.1662,rad: 17.9825
epoch 17,  actor_loss: 16.2424,  critic_loss: 4.2083, cost_time: 2.1146, best_solution: [8.96015739440918],od: 2.4035, eqity: 3.7049,rad: 18.4090
epoch 18,  actor_loss: 2.3641,  critic_loss: 4.1016, cost_time: 2.1948, best_solution: [8.96015739440918],od: 2.6306, eqity: 4.1876,rad: 19.0811
epoch 19,  actor_loss: 4.5461,  critic_loss: 2.3968, cost_time: 2.2329, best_solution: [8.96015739440918],od: 2.2706, eqity: 4.2251,rad: 16.6211
