epoch 0,  actor_loss: 410.1471,  critic_loss: 172.6534, cost_time: 11.7305, best_solution: 0,od: 2.5315, eqity: 4.3350,rad: 18.8152
2.531493342088652 4.3349977638572454 18.815154552459717
epoch 1,  actor_loss: -104.8398,  critic_loss: 58.1416, cost_time: 10.6881, best_solution: [6.148926258087158],od: 2.8829, eqity: 3.8775,rad: 21.8505
2.882869282126194 3.8775082412175834 21.85049831867218
epoch 2,  actor_loss: 208.0366,  critic_loss: 75.0600, cost_time: 10.3128, best_solution: [6.875323295593262],od: 2.9305, eqity: 4.4570,rad: 18.5870
epoch 3,  actor_loss: 97.5759,  critic_loss: 43.0298, cost_time: 10.5340, best_solution: [6.875323295593262],od: 2.7487, eqity: 3.5784,rad: 16.2595
epoch 4,  actor_loss: -168.1341,  critic_loss: 77.0895, cost_time: 10.1738, best_solution: [6.875323295593262],od: 2.8004, eqity: 3.8792,rad: 18.5549
epoch 5,  actor_loss: -210.5004,  critic_loss: 94.1656, cost_time: 10.7758, best_solution: [6.875323295593262],od: 2.0801, eqity: 3.1997,rad: 15.7375
epoch 6,  actor_loss: -72.0610,  critic_loss: 49.4344, cost_time: 9.8473, best_solution: [6.875323295593262],od: 2.1392, eqity: 3.4128,rad: 14.3775
epoch 7,  actor_loss: 64.4292,  critic_loss: 42.5424, cost_time: 9.7332, best_solution: [6.875323295593262],od: 2.2688, eqity: 3.5176,rad: 13.5428
epoch 8,  actor_loss: 157.7561,  critic_loss: 61.0473, cost_time: 10.6073, best_solution: [6.875323295593262],od: 3.2481, eqity: 5.3248,rad: 17.1027
epoch 9,  actor_loss: 110.2609,  critic_loss: 44.6495, cost_time: 10.6076, best_solution: [6.875323295593262],od: 3.1644, eqity: 4.2680,rad: 15.9478
epoch 10,  actor_loss: -27.8035,  critic_loss: 39.7934, cost_time: 10.7432, best_solution: [6.875323295593262],od: 2.7693, eqity: 4.3201,rad: 18.8062
epoch 11,  actor_loss: -60.3574,  critic_loss: 40.4811, cost_time: 8.9550, best_solution: [6.875323295593262],od: 2.5174, eqity: 3.5901,rad: 19.2124
epoch 12,  actor_loss: 31.1092,  critic_loss: 31.6187, cost_time: 11.0969, best_solution: [6.875323295593262],od: 3.8220, eqity: 5.8162,rad: 20.1314
3.822045211800969 5.816154905594885 20.131421267986298
epoch 13,  actor_loss: 52.2983,  critic_loss: 35.7795, cost_time: 10.5382, best_solution: [7.4827423095703125],od: 1.9827, eqity: 3.6584,rad: 13.6158
