epoch 0,  actor_loss: 60.3223,  critic_loss: 3.3594, cost_time: 3.0843, best_solution: 0,od: 3.5555, eqity: 4.9601,rad: 20.7112
3.555455729667301 4.960135409608483 20.711187541484833
epoch 1,  actor_loss: -20.6828,  critic_loss: 1.1910, cost_time: 2.6532, best_solution: [9.732518196105957],od: 1.8217, eqity: 3.2569,rad: 15.8555
epoch 2,  actor_loss: 147.5269,  critic_loss: 22.7733, cost_time: 2.6011, best_solution: [9.732518196105957],od: 3.3186, eqity: 3.6046,rad: 19.0330
epoch 3,  actor_loss: 111.5692,  critic_loss: 11.5368, cost_time: 2.6254, best_solution: [9.732518196105957],od: 2.8789, eqity: 4.0616,rad: 20.9190
epoch 4,  actor_loss: 47.4488,  critic_loss: 2.3676, cost_time: 2.7419, best_solution: [9.732518196105957],od: 2.9967, eqity: 4.2592,rad: 20.9348
epoch 5,  actor_loss: 25.5735,  critic_loss: 2.4600, cost_time: 2.8672, best_solution: [9.732518196105957],od: 4.9386, eqity: 5.2970,rad: 25.0899
4.93862763204379 5.297025637701154 25.089918732643127
epoch 6,  actor_loss: -67.5990,  critic_loss: 7.3683, cost_time: 2.6143, best_solution: [11.763415336608887],od: 1.9622, eqity: 2.8761,rad: 15.4537
epoch 7,  actor_loss: -71.2265,  critic_loss: 6.7978, cost_time: 2.6173, best_solution: [11.763415336608887],od: 2.6257, eqity: 3.5171,rad: 22.6609
epoch 8,  actor_loss: -44.1129,  critic_loss: 3.5253, cost_time: 2.8782, best_solution: [11.763415336608887],od: 2.7566, eqity: 3.4841,rad: 17.9705
epoch 9,  actor_loss: 1.0764,  critic_loss: 1.3313, cost_time: 2.8564, best_solution: [11.763415336608887],od: 3.0802, eqity: 4.0904,rad: 19.5614
epoch 10,  actor_loss: 29.2615,  critic_loss: 1.4530, cost_time: 2.6038, best_solution: [11.763415336608887],od: 2.5556, eqity: 3.0019,rad: 19.0857
epoch 11,  actor_loss: 53.0385,  critic_loss: 3.4075, cost_time: 2.6427, best_solution: [11.763415336608887],od: 3.7738, eqity: 4.3438,rad: 22.6505
epoch 12,  actor_loss: 33.1144,  critic_loss: 1.7677, cost_time: 2.7114, best_solution: [11.763415336608887],od: 2.4042, eqity: 4.0242,rad: 19.0743
epoch 13,  actor_loss: 22.5626,  critic_loss: 1.2033, cost_time: 2.5118, best_solution: [11.763415336608887],od: 3.1023, eqity: 3.8034,rad: 21.2952
epoch 14,  actor_loss: 22.0821,  critic_loss: 1.5024, cost_time: 2.7589, best_solution: [11.763415336608887],od: 4.1768, eqity: 5.5807,rad: 23.3991
epoch 15,  actor_loss: -20.7660,  critic_loss: 1.6643, cost_time: 2.5636, best_solution: [11.763415336608887],od: 3.1810, eqity: 4.7544,rad: 20.7942
epoch 16,  actor_loss: -33.2956,  critic_loss: 2.3905, cost_time: 2.6137, best_solution: [11.763415336608887],od: 2.9577, eqity: 4.2405,rad: 24.1125
epoch 17,  actor_loss: -13.3433,  critic_loss: 2.1655, cost_time: 3.0732, best_solution: [11.763415336608887],od: 3.8457, eqity: 5.3845,rad: 22.9163
epoch 18,  actor_loss: -4.9612,  critic_loss: 1.0624, cost_time: 2.6655, best_solution: [11.763415336608887],od: 3.4493, eqity: 4.6944,rad: 18.9961
epoch 19,  actor_loss: 12.0252,  critic_loss: 1.1956, cost_time: 2.5441, best_solution: [11.763415336608887],od: 3.3150, eqity: 3.9162,rad: 20.2705
epoch 20,  actor_loss: 14.1979,  critic_loss: 1.3692, cost_time: 2.5935, best_solution: [11.763415336608887],od: 3.6514, eqity: 3.9394,rad: 19.7463
epoch 21,  actor_loss: -3.4742,  critic_loss: 0.8886, cost_time: 2.8469, best_solution: [11.763415336608887],od: 2.7697, eqity: 4.4311,rad: 19.5990
epoch 22,  actor_loss: -9.0545,  critic_loss: 0.8906, cost_time: 2.6987, best_solution: [11.763415336608887],od: 2.2506, eqity: 3.8590,rad: 16.0701
epoch 23,  actor_loss: 6.5996,  critic_loss: 1.0191, cost_time: 2.7584, best_solution: [11.763415336608887],od: 3.0450, eqity: 5.0008,rad: 22.6535
epoch 24,  actor_loss: 14.8445,  critic_loss: 1.4438, cost_time: 2.5708, best_solution: [11.763415336608887],od: 3.4731, eqity: 4.5627,rad: 17.1761
epoch 25,  actor_loss: 10.4576,  critic_loss: 1.1429, cost_time: 2.6013, best_solution: [11.763415336608887],od: 3.9263, eqity: 5.2583,rad: 25.0660
epoch 26,  actor_loss: -1.9441,  critic_loss: 0.8344, cost_time: 2.6475, best_solution: [11.763415336608887],od: 3.8380, eqity: 4.9914,rad: 21.0640
epoch 27,  actor_loss: -8.0538,  critic_loss: 0.7936, cost_time: 2.7333, best_solution: [11.763415336608887],od: 2.3172, eqity: 4.5890,rad: 14.9229
epoch 28,  actor_loss: 11.9854,  critic_loss: 0.9602, cost_time: 2.7300, best_solution: [11.763415336608887],od: 3.0326, eqity: 4.3957,rad: 18.7182
epoch 29,  actor_loss: 12.8612,  critic_loss: 0.9186, cost_time: 2.7620, best_solution: [11.763415336608887],od: 3.4269, eqity: 5.0708,rad: 20.3582
epoch 30,  actor_loss: 8.9618,  critic_loss: 1.1113, cost_time: 2.6382, best_solution: [11.763415336608887],od: 3.1692, eqity: 4.1306,rad: 20.9678
epoch 31,  actor_loss: -6.9688,  critic_loss: 0.8575, cost_time: 2.4955, best_solution: [11.763415336608887],od: 3.1742, eqity: 4.0763,rad: 22.6652
epoch 32,  actor_loss: -7.6473,  critic_loss: 0.8787, cost_time: 2.6342, best_solution: [11.763415336608887],od: 3.1433, eqity: 4.6575,rad: 25.2049
epoch 33,  actor_loss: -7.7710,  critic_loss: 0.8980, cost_time: 2.8582, best_solution: [11.763415336608887],od: 3.3124, eqity: 4.2112,rad: 23.1263
epoch 34,  actor_loss: 2.6149,  critic_loss: 0.8603, cost_time: 2.7357, best_solution: [11.763415336608887],od: 3.3364, eqity: 4.9728,rad: 19.2124
epoch 35,  actor_loss: 17.2157,  critic_loss: 0.9343, cost_time: 2.8351, best_solution: [11.763415336608887],od: 3.7384, eqity: 5.4946,rad: 23.2255
epoch 36,  actor_loss: 14.1101,  critic_loss: 1.1997, cost_time: 2.6763, best_solution: [11.763415336608887],od: 3.2202, eqity: 4.6293,rad: 18.5938
epoch 37,  actor_loss: 8.4685,  critic_loss: 0.5254, cost_time: 2.4980, best_solution: [11.763415336608887],od: 3.1320, eqity: 4.5112,rad: 23.2187
epoch 38,  actor_loss: 15.1484,  critic_loss: 1.0764, cost_time: 2.6797, best_solution: [11.763415336608887],od: 3.7353, eqity: 4.4492,rad: 26.2108
epoch 39,  actor_loss: 16.0415,  critic_loss: 1.4116, cost_time: 2.8953, best_solution: [11.763415336608887],od: 4.7966, eqity: 6.1969,rad: 23.7647
epoch 40,  actor_loss: -10.7964,  critic_loss: 0.9231, cost_time: 2.4211, best_solution: [11.763415336608887],od: 3.0243, eqity: 4.2563,rad: 21.7155
epoch 41,  actor_loss: -7.8613,  critic_loss: 1.7443, cost_time: 2.6453, best_solution: [11.763415336608887],od: 3.2307, eqity: 4.1328,rad: 17.9306
epoch 42,  actor_loss: -5.2857,  critic_loss: 1.3360, cost_time: 2.5543, best_solution: [11.763415336608887],od: 4.1524, eqity: 5.4311,rad: 24.8331
epoch 43,  actor_loss: -6.4430,  critic_loss: 1.2277, cost_time: 2.9917, best_solution: [11.763415336608887],od: 4.0299, eqity: 5.4032,rad: 23.3503
epoch 44,  actor_loss: -1.8827,  critic_loss: 1.2110, cost_time: 2.6976, best_solution: [11.763415336608887],od: 3.4358, eqity: 6.0038,rad: 19.7874
epoch 45,  actor_loss: 12.2752,  critic_loss: 0.9735, cost_time: 2.7706, best_solution: [11.763415336608887],od: 4.5313, eqity: 5.6513,rad: 27.1260
4.53133181319572 5.651315177790821 27.12601312994957
epoch 46,  actor_loss: 8.8174,  critic_loss: 1.2772, cost_time: 2.5716, best_solution: [12.423784255981445],od: 3.5406, eqity: 5.3481,rad: 20.7642
epoch 47,  actor_loss: -2.4837,  critic_loss: 0.9515, cost_time: 2.8180, best_solution: [12.423784255981445],od: 3.4895, eqity: 4.9797,rad: 24.1467
epoch 48,  actor_loss: 7.0118,  critic_loss: 0.7458, cost_time: 2.8286, best_solution: [12.423784255981445],od: 3.7901, eqity: 5.2928,rad: 28.7653
3.790055828052573 5.292824635282159 28.76526916027069
epoch 49,  actor_loss: 5.6504,  critic_loss: 1.1213, cost_time: 2.9501, best_solution: [12.603435516357422],od: 4.6325, eqity: 5.5972,rad: 26.7124
epoch 50,  actor_loss: 11.0367,  critic_loss: 1.2947, cost_time: 2.6845, best_solution: [12.603435516357422],od: 4.5934, eqity: 5.2064,rad: 27.1154
epoch 51,  actor_loss: 6.2407,  critic_loss: 1.0246, cost_time: 2.7783, best_solution: [12.603435516357422],od: 4.1880, eqity: 6.0857,rad: 22.6479
epoch 52,  actor_loss: -2.8977,  critic_loss: 1.4232, cost_time: 2.8142, best_solution: [12.603435516357422],od: 4.7747, eqity: 5.6625,rad: 27.8416
4.774711474776268 5.662466112524271 27.841631948947906
epoch 53,  actor_loss: -3.0034,  critic_loss: 1.5731, cost_time: 2.9720, best_solution: [12.746845245361328],od: 5.1481, eqity: 6.2794,rad: 31.0242
5.148142858874053 6.279422789812088 31.024180054664612
epoch 54,  actor_loss: -24.3259,  critic_loss: 1.3630, cost_time: 2.5557, best_solution: [14.136430740356445],od: 2.9726, eqity: 4.0220,rad: 17.3589
epoch 55,  actor_loss: -6.3344,  critic_loss: 0.9645, cost_time: 2.7000, best_solution: [14.136430740356445],od: 3.8832, eqity: 4.9440,rad: 25.3840
epoch 56,  actor_loss: 0.4698,  critic_loss: 0.7070, cost_time: 2.6508, best_solution: [14.136430740356445],od: 3.2365, eqity: 4.0314,rad: 24.9448
epoch 57,  actor_loss: 30.2317,  critic_loss: 1.6365, cost_time: 2.7397, best_solution: [14.136430740356445],od: 4.3052, eqity: 4.6624,rad: 23.7895
epoch 58,  actor_loss: 26.8766,  critic_loss: 1.2341, cost_time: 2.5013, best_solution: [14.136430740356445],od: 2.7566, eqity: 3.9536,rad: 21.9810
epoch 59,  actor_loss: 41.4340,  critic_loss: 2.2259, cost_time: 2.7973, best_solution: [14.136430740356445],od: 3.7889, eqity: 5.6883,rad: 21.1071
epoch 60,  actor_loss: 37.8604,  critic_loss: 2.0278, cost_time: 2.8527, best_solution: [14.136430740356445],od: 4.4693, eqity: 5.7431,rad: 28.2057
epoch 61,  actor_loss: 13.4163,  critic_loss: 0.7358, cost_time: 2.6819, best_solution: [14.136430740356445],od: 3.7279, eqity: 5.2205,rad: 26.6524
epoch 62,  actor_loss: 12.2404,  critic_loss: 1.2193, cost_time: 2.9492, best_solution: [14.136430740356445],od: 4.9084, eqity: 6.0373,rad: 27.6300
epoch 63,  actor_loss: -2.1697,  critic_loss: 1.2158, cost_time: 2.6595, best_solution: [14.136430740356445],od: 4.7499, eqity: 5.5998,rad: 26.7568
epoch 64,  actor_loss: -20.0426,  critic_loss: 1.3157, cost_time: 2.7492, best_solution: [14.136430740356445],od: 3.7043, eqity: 4.5225,rad: 25.6389
epoch 65,  actor_loss: -6.3718,  critic_loss: 1.0604, cost_time: 2.8432, best_solution: [14.136430740356445],od: 4.5471, eqity: 5.9375,rad: 26.8372
epoch 66,  actor_loss: -6.8440,  critic_loss: 0.7904, cost_time: 2.8221, best_solution: [14.136430740356445],od: 2.9152, eqity: 4.7046,rad: 16.4831
epoch 67,  actor_loss: 14.4702,  critic_loss: 0.9210, cost_time: 2.7509, best_solution: [14.136430740356445],od: 4.1761, eqity: 5.6326,rad: 26.7460
epoch 68,  actor_loss: 28.7095,  critic_loss: 1.9600, cost_time: 3.0212, best_solution: [14.136430740356445],od: 5.3114, eqity: 5.9941,rad: 29.1800
epoch 69,  actor_loss: 4.8162,  critic_loss: 1.1790, cost_time: 2.9063, best_solution: [14.136430740356445],od: 4.6616, eqity: 5.6587,rad: 27.1840
epoch 70,  actor_loss: -23.8600,  critic_loss: 1.9297, cost_time: 2.8322, best_solution: [14.136430740356445],od: 4.8225, eqity: 5.6040,rad: 24.5839
