epoch 0,  actor_loss: 104.6410,  critic_loss: 22.0768, cost_time: 5.9426, best_solution: 0,od: 1.8842, eqity: 2.7285,rad: 9.8706
1.884152143630672 2.728463940322399 9.870639443397522
epoch 1,  actor_loss: -117.3708,  critic_loss: 60.8012, cost_time: 7.6728, best_solution: [2.7672321796417236],od: 4.0086, eqity: 4.1163,rad: 19.9242
4.0085764703108 4.116277076303959 19.9241840839386
epoch 2,  actor_loss: 43.5249,  critic_loss: 15.3573, cost_time: 8.8065, best_solution: [5.610907554626465],od: 2.7977, eqity: 4.4304,rad: 23.9787
epoch 3,  actor_loss: -46.0016,  critic_loss: 35.5906, cost_time: 9.1540, best_solution: [5.610907554626465],od: 3.2546, eqity: 4.5010,rad: 17.9705
epoch 4,  actor_loss: 33.9502,  critic_loss: 27.4683, cost_time: 9.1970, best_solution: [5.610907554626465],od: 3.8953, eqity: 4.9581,rad: 17.9045
epoch 5,  actor_loss: 61.8002,  critic_loss: 19.6464, cost_time: 7.5254, best_solution: [5.610907554626465],od: 1.9653, eqity: 2.5659,rad: 14.4861
epoch 6,  actor_loss: 153.3181,  critic_loss: 40.9747, cost_time: 8.7368, best_solution: [5.610907554626465],od: 4.1934, eqity: 4.5131,rad: 24.8467
4.193361437675776 4.513106690719724 24.846732258796692
epoch 7,  actor_loss: 43.4577,  critic_loss: 29.2120, cost_time: 9.2630, best_solution: [6.29067325592041],od: 3.0112, eqity: 4.2963,rad: 17.6234
epoch 8,  actor_loss: -109.1271,  critic_loss: 32.8476, cost_time: 7.9257, best_solution: [6.29067325592041],od: 1.5736, eqity: 2.6519,rad: 19.1898
epoch 9,  actor_loss: -110.9104,  critic_loss: 37.9946, cost_time: 8.7025, best_solution: [6.29067325592041],od: 2.3950, eqity: 4.0170,rad: 17.7858
epoch 10,  actor_loss: -41.0374,  critic_loss: 27.4373, cost_time: 10.2731, best_solution: [6.29067325592041],od: 2.7821, eqity: 3.9297,rad: 21.2306
epoch 11,  actor_loss: -33.3603,  critic_loss: 7.9594, cost_time: 9.5205, best_solution: [6.29067325592041],od: 1.5277, eqity: 4.2023,rad: 10.9231
epoch 12,  actor_loss: 83.1693,  critic_loss: 20.2416, cost_time: 8.6899, best_solution: [6.29067325592041],od: 2.3369, eqity: 3.6261,rad: 16.2944
epoch 13,  actor_loss: 149.8593,  critic_loss: 41.6026, cost_time: 8.7310, best_solution: [6.29067325592041],od: 3.3529, eqity: 3.8652,rad: 19.8266
epoch 14,  actor_loss: 182.3854,  critic_loss: 41.4506, cost_time: 8.7142, best_solution: [6.29067325592041],od: 3.7799, eqity: 4.5169,rad: 26.7028
epoch 15,  actor_loss: 92.7685,  critic_loss: 18.8042, cost_time: 9.5776, best_solution: [6.29067325592041],od: 3.5679, eqity: 4.8498,rad: 21.2306
epoch 16,  actor_loss: -23.5910,  critic_loss: 15.4335, cost_time: 8.4654, best_solution: [6.29067325592041],od: 2.4813, eqity: 3.7305,rad: 16.4793
epoch 17,  actor_loss: -16.9911,  critic_loss: 20.3166, cost_time: 10.5474, best_solution: [6.29067325592041],od: 3.4021, eqity: 4.4050,rad: 20.3714
epoch 18,  actor_loss: -15.6380,  critic_loss: 18.6183, cost_time: 8.6344, best_solution: [6.29067325592041],od: 2.5277, eqity: 3.1416,rad: 21.5822
epoch 19,  actor_loss: -17.9709,  critic_loss: 13.2844, cost_time: 8.9902, best_solution: [6.29067325592041],od: 2.5315, eqity: 2.5805,rad: 14.6359
epoch 20,  actor_loss: 75.9546,  critic_loss: 17.7124, cost_time: 9.3914, best_solution: [6.29067325592041],od: 2.9052, eqity: 5.1352,rad: 19.9106
epoch 21,  actor_loss: 63.9171,  critic_loss: 15.2696, cost_time: 9.7973, best_solution: [6.29067325592041],od: 2.4474, eqity: 4.1686,rad: 17.0049
epoch 22,  actor_loss: 125.6985,  critic_loss: 29.0730, cost_time: 9.1962, best_solution: [6.29067325592041],od: 3.6714, eqity: 4.4426,rad: 26.4587
epoch 23,  actor_loss: -12.8331,  critic_loss: 9.7460, cost_time: 8.4103, best_solution: [6.29067325592041],od: 2.2806, eqity: 4.1994,rad: 19.9106
epoch 24,  actor_loss: 48.7113,  critic_loss: 10.8741, cost_time: 9.4539, best_solution: [6.29067325592041],od: 3.7105, eqity: 5.5241,rad: 25.3692
epoch 25,  actor_loss: -19.1494,  critic_loss: 17.1782, cost_time: 8.7816, best_solution: [6.29067325592041],od: 2.9277, eqity: 4.7709,rad: 24.0387
epoch 26,  actor_loss: 15.5703,  critic_loss: 24.6266, cost_time: 9.4929, best_solution: [6.29067325592041],od: 3.9582, eqity: 5.5504,rad: 22.5611
epoch 27,  actor_loss: -2.8851,  critic_loss: 12.8030, cost_time: 8.7680, best_solution: [6.29067325592041],od: 3.1916, eqity: 5.6298,rad: 22.8163
epoch 28,  actor_loss: -18.2244,  critic_loss: 11.7286, cost_time: 8.9294, best_solution: [6.29067325592041],od: 2.3290, eqity: 3.7415,rad: 17.9809
epoch 29,  actor_loss: 40.3612,  critic_loss: 18.8672, cost_time: 8.7782, best_solution: [6.29067325592041],od: 2.9313, eqity: 3.9971,rad: 11.8016
epoch 30,  actor_loss: 146.2186,  critic_loss: 27.8393, cost_time: 9.2781, best_solution: [6.29067325592041],od: 4.4471, eqity: 4.8689,rad: 23.9967
4.447089670225978 4.868856459856033 23.996683329343796
epoch 31,  actor_loss: 67.5578,  critic_loss: 17.2717, cost_time: 8.1844, best_solution: [6.444225788116455],od: 2.8764, eqity: 3.8235,rad: 20.0891
epoch 32,  actor_loss: 59.0765,  critic_loss: 13.0941, cost_time: 8.7108, best_solution: [6.444225788116455],od: 2.5553, eqity: 4.8006,rad: 21.0595
epoch 33,  actor_loss: 115.0097,  critic_loss: 26.3164, cost_time: 9.2335, best_solution: [6.444225788116455],od: 4.6968, eqity: 6.1908,rad: 26.7732
4.696827717125416 6.190847791731358 26.773213386535645
epoch 34,  actor_loss: 95.9958,  critic_loss: 23.4037, cost_time: 9.5900, best_solution: [7.053868770599365],od: 4.9350, eqity: 4.9474,rad: 29.6085
4.9350410444894806 4.947417808696628 29.60846972465515
epoch 35,  actor_loss: -73.3527,  critic_loss: 29.3398, cost_time: 9.0099, best_solution: [7.403621673583984],od: 3.4494, eqity: 4.0183,rad: 22.9236
epoch 36,  actor_loss: -62.1289,  critic_loss: 33.4350, cost_time: 9.9718, best_solution: [7.403621673583984],od: 5.0161, eqity: 7.0104,rad: 22.7459
epoch 37,  actor_loss: -143.5388,  critic_loss: 47.7188, cost_time: 9.2140, best_solution: [7.403621673583984],od: 2.9994, eqity: 3.6052,rad: 21.4994
epoch 38,  actor_loss: -166.1423,  critic_loss: 38.1061, cost_time: 9.5766, best_solution: [7.403621673583984],od: 2.8350, eqity: 5.1452,rad: 20.1866
epoch 39,  actor_loss: -43.9712,  critic_loss: 33.2816, cost_time: 9.9409, best_solution: [7.403621673583984],od: 4.4461, eqity: 4.3543,rad: 27.4972
epoch 40,  actor_loss: -35.4562,  critic_loss: 30.8636, cost_time: 9.0890, best_solution: [7.403621673583984],od: 3.4071, eqity: 5.4266,rad: 19.6506
epoch 41,  actor_loss: -20.3743,  critic_loss: 13.6013, cost_time: 9.1446, best_solution: [7.403621673583984],od: 3.0066, eqity: 4.2501,rad: 17.4680
epoch 42,  actor_loss: 263.1070,  critic_loss: 82.3791, cost_time: 9.8253, best_solution: [7.403621673583984],od: 7.3312, eqity: 6.7471,rad: 30.5140
7.331198770378251 6.747069448232651 30.5140438079834
epoch 43,  actor_loss: 101.7694,  critic_loss: 24.5994, cost_time: 8.2738, best_solution: [9.591071128845215],od: 3.6787, eqity: 4.2805,rad: 21.0547
epoch 44,  actor_loss: 104.7499,  critic_loss: 22.2828, cost_time: 10.1008, best_solution: [9.591071128845215],od: 3.4195, eqity: 4.4308,rad: 20.0209
epoch 45,  actor_loss: 123.2234,  critic_loss: 34.6855, cost_time: 8.1853, best_solution: [9.591071128845215],od: 4.0867, eqity: 5.0526,rad: 26.2791
epoch 46,  actor_loss: 134.7056,  critic_loss: 32.4539, cost_time: 10.2221, best_solution: [9.591071128845215],od: 4.7483, eqity: 4.8047,rad: 27.4100
epoch 47,  actor_loss: -2.1336,  critic_loss: 12.8458, cost_time: 9.0390, best_solution: [9.591071128845215],od: 2.4250, eqity: 4.2027,rad: 19.8266
epoch 48,  actor_loss: 74.7219,  critic_loss: 28.6041, cost_time: 9.3232, best_solution: [9.591071128845215],od: 4.4595, eqity: 4.7909,rad: 26.4447
