epoch 0,  actor_loss: 263.0126,  critic_loss: 66.4765, cost_time: 9.7714, best_solution: 0,od: 3.8698, eqity: 4.5297,rad: 20.0069
3.8698473211406963 4.5296885445714 20.006949305534363
epoch 1,  actor_loss: -154.4532,  critic_loss: 56.1971, cost_time: 10.2477, best_solution: [5.54954195022583],od: 4.0198, eqity: 4.3021,rad: 27.5948
4.019751612562686 4.302112707868218 27.594791412353516
epoch 2,  actor_loss: 56.9096,  critic_loss: 36.6599, cost_time: 8.8146, best_solution: [6.405492305755615],od: 2.7577, eqity: 3.8013,rad: 14.0964
epoch 3,  actor_loss: 176.5309,  critic_loss: 40.5551, cost_time: 9.0717, best_solution: [6.405492305755615],od: 1.7238, eqity: 2.8160,rad: 13.7448
epoch 4,  actor_loss: 152.8063,  critic_loss: 32.6236, cost_time: 8.6117, best_solution: [6.405492305755615],od: 2.6487, eqity: 3.2754,rad: 14.6305
epoch 5,  actor_loss: -55.4299,  critic_loss: 13.7425, cost_time: 9.7171, best_solution: [6.405492305755615],od: 1.7279, eqity: 2.4479,rad: 10.9231
epoch 6,  actor_loss: -55.2413,  critic_loss: 20.8653, cost_time: 7.6767, best_solution: [6.405492305755615],od: 1.1625, eqity: 1.7040,rad: 10.2999
epoch 7,  actor_loss: 6.4906,  critic_loss: 11.4357, cost_time: 9.2126, best_solution: [6.405492305755615],od: 1.2176, eqity: 2.2463,rad: 12.6187
epoch 8,  actor_loss: 64.4867,  critic_loss: 8.1246, cost_time: 7.9711, best_solution: [6.405492305755615],od: 1.1175, eqity: 2.2910,rad: 14.5121
epoch 9,  actor_loss: 217.4739,  critic_loss: 61.4841, cost_time: 8.6973, best_solution: [6.405492305755615],od: 3.7281, eqity: 4.2806,rad: 22.3993
epoch 10,  actor_loss: 146.6244,  critic_loss: 28.7605, cost_time: 10.4594, best_solution: [6.405492305755615],od: 2.4529, eqity: 3.9969,rad: 23.2579
epoch 11,  actor_loss: 60.8691,  critic_loss: 14.2613, cost_time: 9.4225, best_solution: [6.405492305755615],od: 2.2897, eqity: 3.6279,rad: 16.9176
epoch 12,  actor_loss: -9.6534,  critic_loss: 7.8732, cost_time: 10.4877, best_solution: [6.405492305755615],od: 1.6218, eqity: 4.0028,rad: 12.3272
epoch 13,  actor_loss: -11.5872,  critic_loss: 22.2110, cost_time: 10.0931, best_solution: [6.405492305755615],od: 1.8756, eqity: 2.5417,rad: 11.0943
epoch 14,  actor_loss: 115.7391,  critic_loss: 37.9786, cost_time: 9.8906, best_solution: [6.405492305755615],od: 3.3885, eqity: 4.5309,rad: 22.2098
epoch 15,  actor_loss: 24.4660,  critic_loss: 20.3036, cost_time: 10.8464, best_solution: [6.405492305755615],od: 2.4790, eqity: 3.6811,rad: 12.8435
epoch 16,  actor_loss: 111.6434,  critic_loss: 27.1225, cost_time: 10.0081, best_solution: [6.405492305755615],od: 3.5328, eqity: 4.0795,rad: 21.4696
epoch 17,  actor_loss: 14.7315,  critic_loss: 13.2999, cost_time: 9.8552, best_solution: [6.405492305755615],od: 1.9494, eqity: 3.3258,rad: 13.0480
epoch 18,  actor_loss: 34.8297,  critic_loss: 21.4704, cost_time: 7.6700, best_solution: [6.405492305755615],od: 1.7511, eqity: 2.7285,rad: 15.3428
epoch 19,  actor_loss: 122.6793,  critic_loss: 35.0745, cost_time: 9.6451, best_solution: [6.405492305755615],od: 3.6011, eqity: 3.8757,rad: 17.4522
