epoch 0,  actor_loss: 105.5868,  critic_loss: 24.2789, cost_time: 1.8379, best_solution: 0,od: 2.9347, eqity: 2.7326,rad: 11.7176
2.934667213819921 2.732603646814823 11.717556476593018
epoch 1,  actor_loss: 13.4692,  critic_loss: 22.9181, cost_time: 1.4237, best_solution: [3.7927498817443848],od: 4.5068, eqity: 3.1755,rad: 10.9231
4.506815408822149 3.175470920279622 10.923145771026611
epoch 2,  actor_loss: 161.3711,  critic_loss: 37.9854, cost_time: 1.4673, best_solution: [5.015314102172852],od: 5.4671, eqity: 3.9036,rad: 14.8984
5.467054161243141 3.903565129265189 14.898403286933899
epoch 3,  actor_loss: 61.7653,  critic_loss: 25.1875, cost_time: 1.3603, best_solution: [6.253839492797852],od: 4.6932, eqity: 3.1468,rad: 19.2034
epoch 4,  actor_loss: -67.9052,  critic_loss: 35.4432, cost_time: 1.2897, best_solution: [6.253839492797852],od: 3.3423, eqity: 2.9887,rad: 15.3428
epoch 5,  actor_loss: -92.7688,  critic_loss: 31.2679, cost_time: 1.3298, best_solution: [6.253839492797852],od: 3.6692, eqity: 2.9842,rad: 15.1489
epoch 6,  actor_loss: -25.9679,  critic_loss: 22.5215, cost_time: 1.3957, best_solution: [6.253839492797852],od: 3.8866, eqity: 3.2280,rad: 17.1761
epoch 7,  actor_loss: -18.2486,  critic_loss: 8.4507, cost_time: 1.1309, best_solution: [6.253839492797852],od: 2.0663, eqity: 2.0478,rad: 12.4434
epoch 8,  actor_loss: 103.5192,  critic_loss: 34.4167, cost_time: 1.0740, best_solution: [6.253839492797852],od: 4.4151, eqity: 2.6960,rad: 17.4522
epoch 9,  actor_loss: 93.2213,  critic_loss: 34.4985, cost_time: 1.3176, best_solution: [6.253839492797852],od: 3.8497, eqity: 3.6530,rad: 20.4362
epoch 10,  actor_loss: 25.4154,  critic_loss: 4.7041, cost_time: 1.3047, best_solution: [6.253839492797852],od: 1.8845, eqity: 2.5568,rad: 8.8959
epoch 11,  actor_loss: 90.5861,  critic_loss: 33.0229, cost_time: 1.2993, best_solution: [6.253839492797852],od: 6.3632, eqity: 3.8501,rad: 15.5225
6.363175270293141 3.850132578983903 15.522484302520752
epoch 12,  actor_loss: -114.2000,  critic_loss: 37.2278, cost_time: 1.2466, best_solution: [7.027801990509033],od: 2.7904, eqity: 3.1334,rad: 8.0373
epoch 13,  actor_loss: -79.6337,  critic_loss: 44.4864, cost_time: 1.3235, best_solution: [7.027801990509033],od: 5.8050, eqity: 2.9168,rad: 17.7858
epoch 14,  actor_loss: -5.6123,  critic_loss: 36.5651, cost_time: 1.5939, best_solution: [7.027801990509033],od: 7.0737, eqity: 4.7873,rad: 8.8959
epoch 15,  actor_loss: -0.6940,  critic_loss: 31.8480, cost_time: 1.2858, best_solution: [7.027801990509033],od: 5.0183, eqity: 4.0554,rad: 20.6074
epoch 16,  actor_loss: 7.0430,  critic_loss: 10.0305, cost_time: 1.4984, best_solution: [7.027801990509033],od: 3.7032, eqity: 4.2103,rad: 13.7312
epoch 17,  actor_loss: 58.6530,  critic_loss: 22.9435, cost_time: 1.2137, best_solution: [7.027801990509033],od: 3.8524, eqity: 3.0464,rad: 19.3010
epoch 18,  actor_loss: 86.9422,  critic_loss: 55.2858, cost_time: 1.4071, best_solution: [7.027801990509033],od: 4.9381, eqity: 3.6487,rad: 14.9777
epoch 19,  actor_loss: 254.4050,  critic_loss: 87.0473, cost_time: 1.5653, best_solution: [7.027801990509033],od: 9.8190, eqity: 5.9580,rad: 24.1499
9.819043118623085 5.958032440394163 24.149901270866394
epoch 20,  actor_loss: 21.5252,  critic_loss: 9.7762, cost_time: 1.4515, best_solution: [10.86602783203125],od: 3.4096, eqity: 3.3082,rad: 16.0400
epoch 21,  actor_loss: -62.2298,  critic_loss: 7.7718, cost_time: 1.2517, best_solution: [10.86602783203125],od: 1.3908, eqity: 1.7541,rad: 9.6767
epoch 22,  actor_loss: 80.6783,  critic_loss: 31.0444, cost_time: 1.5723, best_solution: [10.86602783203125],od: 6.5296, eqity: 4.6264,rad: 21.3282
epoch 23,  actor_loss: 9.7756,  critic_loss: 40.9373, cost_time: 1.5057, best_solution: [10.86602783203125],od: 5.1981, eqity: 3.2585,rad: 19.8130
epoch 24,  actor_loss: 52.3188,  critic_loss: 33.7175, cost_time: 1.5589, best_solution: [10.86602783203125],od: 7.7840, eqity: 5.7377,rad: 23.8811
epoch 25,  actor_loss: -90.7331,  critic_loss: 26.2882, cost_time: 1.4019, best_solution: [10.86602783203125],od: 4.1373, eqity: 3.1278,rad: 15.1489
epoch 26,  actor_loss: -61.2091,  critic_loss: 34.1725, cost_time: 1.5742, best_solution: [10.86602783203125],od: 6.1251, eqity: 4.0258,rad: 19.3746
epoch 27,  actor_loss: -75.6009,  critic_loss: 31.2814, cost_time: 1.5427, best_solution: [10.86602783203125],od: 4.3681, eqity: 3.0781,rad: 14.6305
epoch 28,  actor_loss: 34.9362,  critic_loss: 49.1054, cost_time: 1.4019, best_solution: [10.86602783203125],od: 6.1203, eqity: 4.1596,rad: 14.7196
epoch 29,  actor_loss: 118.2065,  critic_loss: 41.6891, cost_time: 1.3700, best_solution: [10.86602783203125],od: 8.3211, eqity: 5.2279,rad: 24.1499
epoch 30,  actor_loss: 69.3992,  critic_loss: 35.2306, cost_time: 1.4562, best_solution: [10.86602783203125],od: 5.4233, eqity: 3.8978,rad: 19.2034
epoch 31,  actor_loss: 177.2036,  critic_loss: 62.5769, cost_time: 1.4415, best_solution: [10.86602783203125],od: 9.6092, eqity: 5.8782,rad: 23.6230
epoch 32,  actor_loss: 44.2990,  critic_loss: 28.9521, cost_time: 1.3569, best_solution: [10.86602783203125],od: 6.6567, eqity: 3.9314,rad: 24.9307
epoch 33,  actor_loss: 34.2368,  critic_loss: 29.7184, cost_time: 1.2305, best_solution: [10.86602783203125],od: 6.5554, eqity: 4.3877,rad: 22.4635
epoch 34,  actor_loss: -56.4406,  critic_loss: 27.7838, cost_time: 1.2994, best_solution: [10.86602783203125],od: 3.9502, eqity: 4.2806,rad: 14.5256
epoch 35,  actor_loss: 38.1587,  critic_loss: 64.4704, cost_time: 1.4769, best_solution: [10.86602783203125],od: 7.4447, eqity: 4.3708,rad: 19.9978
epoch 36,  actor_loss: 113.0661,  critic_loss: 69.7940, cost_time: 1.2819, best_solution: [10.86602783203125],od: 8.5903, eqity: 5.3515,rad: 20.1917
epoch 37,  actor_loss: -21.6513,  critic_loss: 17.7722, cost_time: 1.3647, best_solution: [10.86602783203125],od: 5.8258, eqity: 4.6631,rad: 19.8266
epoch 38,  actor_loss: -3.7633,  critic_loss: 29.1710, cost_time: 1.3601, best_solution: [10.86602783203125],od: 5.3976, eqity: 2.9438,rad: 17.0049
epoch 39,  actor_loss: 185.0173,  critic_loss: 51.2460, cost_time: 1.4971, best_solution: [10.86602783203125],od: 10.6014, eqity: 6.4108,rad: 22.4635
10.601419007405639 6.410823106765747 22.463500142097473
epoch 40,  actor_loss: 39.3565,  critic_loss: 19.3662, cost_time: 1.4085, best_solution: [11.368565559387207],od: 6.7822, eqity: 4.7691,rad: 21.4931
epoch 41,  actor_loss: -33.8071,  critic_loss: 7.9262, cost_time: 1.3705, best_solution: [11.368565559387207],od: 4.5091, eqity: 4.2257,rad: 14.3545
epoch 42,  actor_loss: 83.3810,  critic_loss: 28.5999, cost_time: 1.4906, best_solution: [11.368565559387207],od: 7.5843, eqity: 4.8167,rad: 26.2599
epoch 43,  actor_loss: 161.3187,  critic_loss: 53.7661, cost_time: 1.5924, best_solution: [11.368565559387207],od: 10.5290, eqity: 6.7561,rad: 29.7932
10.52899871673435 6.756079480051994 29.793246626853943
epoch 44,  actor_loss: -41.3304,  critic_loss: 26.0641, cost_time: 1.3036, best_solution: [12.078131675720215],od: 4.4674, eqity: 3.0429,rad: 19.2034
epoch 45,  actor_loss: 109.0562,  critic_loss: 64.9723, cost_time: 1.4199, best_solution: [12.078131675720215],od: 8.7604, eqity: 5.5226,rad: 23.2579
epoch 46,  actor_loss: 53.2610,  critic_loss: 41.4116, cost_time: 1.3647, best_solution: [12.078131675720215],od: 8.5503, eqity: 6.3454,rad: 21.0595
epoch 47,  actor_loss: -22.3012,  critic_loss: 35.6205, cost_time: 1.4204, best_solution: [12.078131675720215],od: 7.1265, eqity: 5.2910,rad: 24.0523
epoch 48,  actor_loss: -113.0173,  critic_loss: 39.9987, cost_time: 1.2708, best_solution: [12.078131675720215],od: 3.7371, eqity: 3.2155,rad: 12.4248
epoch 49,  actor_loss: -25.1332,  critic_loss: 36.0592, cost_time: 1.4823, best_solution: [12.078131675720215],od: 6.8587, eqity: 5.5130,rad: 17.7858
epoch 50,  actor_loss: 5.1928,  critic_loss: 41.5613, cost_time: 1.5224, best_solution: [12.078131675720215],od: 7.1705, eqity: 4.2653,rad: 22.4723
epoch 51,  actor_loss: -62.0030,  critic_loss: 22.8543, cost_time: 1.3480, best_solution: [12.078131675720215],od: 4.6565, eqity: 4.0896,rad: 25.2852
epoch 52,  actor_loss: 63.9235,  critic_loss: 34.3293, cost_time: 1.2331, best_solution: [12.078131675720215],od: 6.5764, eqity: 4.0243,rad: 26.5360
epoch 53,  actor_loss: 113.0024,  critic_loss: 47.4642, cost_time: 1.3953, best_solution: [12.078131675720215],od: 8.1142, eqity: 5.1397,rad: 19.2034
epoch 54,  actor_loss: 54.6415,  critic_loss: 23.1704, cost_time: 1.3843, best_solution: [12.078131675720215],od: 6.7473, eqity: 4.7983,rad: 18.7514
epoch 55,  actor_loss: -32.3787,  critic_loss: 18.5061, cost_time: 1.3705, best_solution: [12.078131675720215],od: 3.9457, eqity: 3.0697,rad: 16.3817
epoch 56,  actor_loss: 28.7798,  critic_loss: 22.4096, cost_time: 1.3962, best_solution: [12.078131675720215],od: 6.6920, eqity: 3.9754,rad: 23.3555
epoch 57,  actor_loss: 38.0350,  critic_loss: 22.1782, cost_time: 1.4042, best_solution: [12.078131675720215],od: 6.4829, eqity: 5.0681,rad: 21.8539
epoch 58,  actor_loss: -39.4066,  critic_loss: 31.9273, cost_time: 1.2371, best_solution: [12.078131675720215],od: 4.1040, eqity: 2.9560,rad: 16.5529
epoch 59,  actor_loss: -28.6175,  critic_loss: 62.7049, cost_time: 1.4099, best_solution: [12.078131675720215],od: 4.8033, eqity: 3.0023,rad: 13.7448
epoch 60,  actor_loss: 49.3328,  critic_loss: 38.7729, cost_time: 1.5027, best_solution: [12.078131675720215],od: 7.8583, eqity: 5.1823,rad: 22.7459
epoch 61,  actor_loss: 47.7717,  critic_loss: 40.9210, cost_time: 1.2490, best_solution: [12.078131675720215],od: 7.1408, eqity: 4.6582,rad: 20.1781
epoch 62,  actor_loss: -18.5518,  critic_loss: 25.7047, cost_time: 1.2878, best_solution: [12.078131675720215],od: 6.0665, eqity: 4.4605,rad: 25.3828
epoch 63,  actor_loss: -32.6138,  critic_loss: 28.7800, cost_time: 1.3004, best_solution: [12.078131675720215],od: 5.6241, eqity: 4.0483,rad: 17.0965
epoch 64,  actor_loss: 132.2154,  critic_loss: 49.0167, cost_time: 1.4864, best_solution: [12.078131675720215],od: 10.4944, eqity: 6.3182,rad: 27.7524
epoch 65,  actor_loss: 2.8740,  critic_loss: 42.6510, cost_time: 1.2327, best_solution: [12.078131675720215],od: 6.0079, eqity: 3.9666,rad: 19.3837
epoch 66,  actor_loss: 50.4464,  critic_loss: 23.1995, cost_time: 1.4027, best_solution: [12.078131675720215],od: 8.7453, eqity: 6.0770,rad: 25.7213
epoch 67,  actor_loss: 79.2752,  critic_loss: 28.2785, cost_time: 1.4381, best_solution: [12.078131675720215],od: 8.6556, eqity: 5.6728,rad: 24.3211
epoch 68,  actor_loss: -2.4138,  critic_loss: 39.6516, cost_time: 1.2522, best_solution: [12.078131675720215],od: 6.3981, eqity: 3.5140,rad: 21.4258
epoch 69,  actor_loss: 75.7413,  critic_loss: 43.7563, cost_time: 2.1113, best_solution: [12.078131675720215],od: 9.3318, eqity: 5.7185,rad: 25.2852
