epoch 0,  actor_loss: 135.2099,  critic_loss: 47.6246, cost_time: 5.7734, best_solution: 0,od: 5.5084, eqity: 4.0563,rad: 23.4291
5.508435501949862 4.056300355121493 23.42910408973694
epoch 1,  actor_loss: -379.8246,  critic_loss: 277.0667, cost_time: 4.9496, best_solution: [7.155289173126221],od: 5.8196, eqity: 3.8841,rad: 22.5569
5.819618138419173 3.884142953902483 22.55694270133972
epoch 2,  actor_loss: -44.7625,  critic_loss: 25.3669, cost_time: 5.2168, best_solution: [7.299803256988525],od: 5.9950, eqity: 4.3788,rad: 21.2306
5.9950040120165795 4.378788575530052 21.23064887523651
epoch 3,  actor_loss: 396.6906,  critic_loss: 166.9991, cost_time: 5.5211, best_solution: [7.35694694519043],od: 3.1491, eqity: 4.1465,rad: 19.9842
epoch 4,  actor_loss: 356.3615,  critic_loss: 150.8039, cost_time: 5.7260, best_solution: [7.35694694519043],od: 3.2894, eqity: 3.2063,rad: 12.9504
epoch 5,  actor_loss: 363.6958,  critic_loss: 113.1569, cost_time: 6.0746, best_solution: [7.35694694519043],od: 6.9007, eqity: 5.4474,rad: 20.3806
6.900658949511126 5.447406508028507 20.380570650100708
epoch 6,  actor_loss: 85.5035,  critic_loss: 22.9678, cost_time: 5.3234, best_solution: [8.103325843811035],od: 4.9761, eqity: 4.5180,rad: 16.5756
epoch 7,  actor_loss: -23.5146,  critic_loss: 67.0305, cost_time: 5.6516, best_solution: [8.103325843811035],od: 6.6444, eqity: 3.6869,rad: 20.5337
epoch 8,  actor_loss: -173.6527,  critic_loss: 71.6693, cost_time: 4.5319, best_solution: [8.103325843811035],od: 1.2733, eqity: 1.5500,rad: 14.8163
epoch 9,  actor_loss: -52.7696,  critic_loss: 35.5025, cost_time: 4.8719, best_solution: [8.103325843811035],od: 3.7221, eqity: 3.8303,rad: 12.1739
epoch 10,  actor_loss: 2.2873,  critic_loss: 15.2436, cost_time: 4.6255, best_solution: [8.103325843811035],od: 2.2570, eqity: 2.2431,rad: 9.8706
epoch 11,  actor_loss: 167.4886,  critic_loss: 38.7559, cost_time: 5.4383, best_solution: [8.103325843811035],od: 4.1169, eqity: 3.9119,rad: 24.6484
epoch 12,  actor_loss: 272.2690,  critic_loss: 91.8600, cost_time: 5.7001, best_solution: [8.103325843811035],od: 5.3738, eqity: 4.9240,rad: 16.1372
epoch 13,  actor_loss: 237.3182,  critic_loss: 78.6187, cost_time: 5.4815, best_solution: [8.103325843811035],od: 5.6166, eqity: 3.9719,rad: 21.4018
epoch 14,  actor_loss: 261.8218,  critic_loss: 101.0304, cost_time: 5.8066, best_solution: [8.103325843811035],od: 7.4859, eqity: 4.3838,rad: 22.9998
7.485937736171763 4.383814878761768 22.999815225601196
epoch 15,  actor_loss: 120.7230,  critic_loss: 29.4594, cost_time: 5.2032, best_solution: [8.727113723754883],od: 3.8080, eqity: 2.5693,rad: 17.2737
epoch 16,  actor_loss: 45.1648,  critic_loss: 16.1811, cost_time: 5.4746, best_solution: [8.727113723754883],od: 4.1796, eqity: 2.8644,rad: 15.3292
epoch 17,  actor_loss: -57.7499,  critic_loss: 9.9801, cost_time: 5.5642, best_solution: [8.727113723754883],od: 2.5606, eqity: 3.6078,rad: 15.9524
epoch 18,  actor_loss: 154.5289,  critic_loss: 71.0638, cost_time: 6.0922, best_solution: [8.727113723754883],od: 9.0443, eqity: 5.7450,rad: 23.9787
9.044257302302867 5.744998198002577 23.978708028793335
epoch 19,  actor_loss: -61.8522,  critic_loss: 24.0675, cost_time: 4.3806, best_solution: [10.20777702331543],od: 3.3205, eqity: 2.3732,rad: 17.7858
