epoch 0,  actor_loss: 273.5551,  critic_loss: 70.4019, cost_time: 1.9721, best_solution: 0,od: 5.7704, eqity: 5.1247,rad: 15.6848
5.770421716850251 5.124707508832216 15.684754729270935
epoch 1,  actor_loss: 7.2210,  critic_loss: 47.8030, cost_time: 1.3855, best_solution: [6.6972832679748535],od: 4.9729, eqity: 4.1777,rad: 15.7721
epoch 2,  actor_loss: 176.4817,  critic_loss: 58.6883, cost_time: 1.5884, best_solution: [6.6972832679748535],od: 4.7279, eqity: 3.8719,rad: 22.6347
epoch 3,  actor_loss: 16.0026,  critic_loss: 36.9371, cost_time: 1.3624, best_solution: [6.6972832679748535],od: 4.6663, eqity: 3.5922,rad: 20.7186
epoch 4,  actor_loss: 84.3266,  critic_loss: 55.6191, cost_time: 1.3821, best_solution: [6.6972832679748535],od: 4.5133, eqity: 3.0862,rad: 15.6874
epoch 5,  actor_loss: 53.7358,  critic_loss: 59.1715, cost_time: 1.3361, best_solution: [6.6972832679748535],od: 5.5123, eqity: 4.3073,rad: 20.8835
5.512312155449763 4.3072932828217745 20.8834730386734
epoch 6,  actor_loss: -34.7481,  critic_loss: 16.4483, cost_time: 1.3803, best_solution: [6.928926467895508],od: 1.8908, eqity: 2.1595,rad: 16.3817
epoch 7,  actor_loss: 102.2836,  critic_loss: 24.9369, cost_time: 1.1292, best_solution: [6.928926467895508],od: 3.2087, eqity: 3.1319,rad: 15.0752
epoch 8,  actor_loss: 316.1853,  critic_loss: 116.8154, cost_time: 1.5211, best_solution: [6.928926467895508],od: 6.9622, eqity: 5.2840,rad: 19.3973
6.962168622761965 5.284034110605717 19.397315502166748
epoch 9,  actor_loss: 317.3045,  critic_loss: 133.8127, cost_time: 1.7211, best_solution: [8.037869453430176],od: 8.0891, eqity: 4.9148,rad: 23.4291
8.089073838666081 4.914785262197256 23.42910408973694
epoch 10,  actor_loss: 48.5603,  critic_loss: 36.4037, cost_time: 1.4898, best_solution: [9.305649757385254],od: 5.1353, eqity: 3.6639,rad: 19.3746
epoch 11,  actor_loss: 33.7745,  critic_loss: 84.8902, cost_time: 1.3868, best_solution: [9.305649757385254],od: 8.0898, eqity: 5.2591,rad: 24.0523
8.08979055378586 5.259122947230935 24.052321553230286
epoch 12,  actor_loss: -108.2687,  critic_loss: 75.4063, cost_time: 1.6143, best_solution: [9.402976989746094],od: 6.3060, eqity: 4.1827,rad: 24.8467
epoch 13,  actor_loss: -68.8700,  critic_loss: 57.4328, cost_time: 1.5567, best_solution: [9.402976989746094],od: 6.8188, eqity: 4.9445,rad: 22.6483
epoch 14,  actor_loss: -18.0234,  critic_loss: 47.7593, cost_time: 1.3707, best_solution: [9.402976989746094],od: 5.3864, eqity: 3.5930,rad: 20.7186
epoch 15,  actor_loss: 86.0044,  critic_loss: 39.9986, cost_time: 1.6130, best_solution: [9.402976989746094],od: 4.9471, eqity: 4.4041,rad: 19.1298
epoch 16,  actor_loss: 148.6777,  critic_loss: 57.1651, cost_time: 1.3500, best_solution: [9.402976989746094],od: 5.9605, eqity: 3.9321,rad: 12.3272
epoch 17,  actor_loss: 31.9448,  critic_loss: 11.5960, cost_time: 1.4764, best_solution: [9.402976989746094],od: 3.0799, eqity: 3.6733,rad: 19.3010
epoch 18,  actor_loss: 13.7448,  critic_loss: 42.5681, cost_time: 1.3196, best_solution: [9.402976989746094],od: 4.7945, eqity: 3.5163,rad: 21.7878
epoch 19,  actor_loss: 27.6812,  critic_loss: 38.4787, cost_time: 1.4314, best_solution: [9.402976989746094],od: 5.4925, eqity: 4.0689,rad: 19.0322
epoch 20,  actor_loss: 33.3212,  critic_loss: 19.0713, cost_time: 1.4849, best_solution: [9.402976989746094],od: 3.6951, eqity: 3.6124,rad: 14.9777
epoch 21,  actor_loss: 363.4032,  critic_loss: 137.0508, cost_time: 1.5251, best_solution: [9.402976989746094],od: 9.5735, eqity: 5.1150,rad: 34.4710
9.573454751633108 5.115029476583004 34.470988035202026
epoch 22,  actor_loss: 143.8198,  critic_loss: 46.1070, cost_time: 1.2150, best_solution: [11.617365837097168],od: 4.5595, eqity: 3.7815,rad: 19.8130
epoch 23,  actor_loss: 327.6349,  critic_loss: 117.5052, cost_time: 1.5753, best_solution: [11.617365837097168],od: 8.5563, eqity: 5.4269,rad: 26.9955
epoch 24,  actor_loss: 96.9247,  critic_loss: 48.0309, cost_time: 1.2642, best_solution: [11.617365837097168],od: 4.8167, eqity: 3.4107,rad: 13.7448
epoch 25,  actor_loss: 129.4239,  critic_loss: 45.5679, cost_time: 1.4156, best_solution: [11.617365837097168],od: 6.2892, eqity: 4.9868,rad: 23.8675
epoch 26,  actor_loss: -35.7020,  critic_loss: 30.2788, cost_time: 1.3674, best_solution: [11.617365837097168],od: 4.7142, eqity: 4.1345,rad: 20.1866
epoch 27,  actor_loss: -76.5025,  critic_loss: 53.5702, cost_time: 1.4749, best_solution: [11.617365837097168],od: 5.0985, eqity: 5.3701,rad: 18.0681
epoch 28,  actor_loss: 25.8917,  critic_loss: 47.1759, cost_time: 1.4201, best_solution: [11.617365837097168],od: 6.5718, eqity: 5.3282,rad: 29.6076
epoch 29,  actor_loss: -66.0072,  critic_loss: 21.7195, cost_time: 1.3841, best_solution: [11.617365837097168],od: 2.8986, eqity: 3.1600,rad: 21.3883
epoch 30,  actor_loss: 187.1445,  critic_loss: 62.1077, cost_time: 1.7010, best_solution: [11.617365837097168],od: 7.2759, eqity: 5.1728,rad: 26.8740
epoch 31,  actor_loss: 202.0383,  critic_loss: 73.9771, cost_time: 1.4876, best_solution: [11.617365837097168],od: 7.4461, eqity: 5.4812,rad: 21.9379
epoch 32,  actor_loss: 103.2449,  critic_loss: 62.3698, cost_time: 1.3663, best_solution: [11.617365837097168],od: 5.3372, eqity: 3.5252,rad: 21.7534
epoch 33,  actor_loss: 9.4273,  critic_loss: 35.0763, cost_time: 1.2866, best_solution: [11.617365837097168],od: 4.9334, eqity: 3.2323,rad: 24.9535
epoch 34,  actor_loss: -86.1852,  critic_loss: 48.3611, cost_time: 1.4791, best_solution: [11.617365837097168],od: 3.3223, eqity: 3.0625,rad: 15.7721
epoch 35,  actor_loss: 78.0734,  critic_loss: 42.9453, cost_time: 1.5278, best_solution: [11.617365837097168],od: 7.9409, eqity: 4.7032,rad: 22.0819
epoch 36,  actor_loss: 93.5165,  critic_loss: 87.4395, cost_time: 1.4436, best_solution: [11.617365837097168],od: 8.5735, eqity: 5.6237,rad: 19.3010
epoch 37,  actor_loss: -17.0256,  critic_loss: 60.2738, cost_time: 1.4699, best_solution: [11.617365837097168],od: 6.5351, eqity: 3.8706,rad: 22.1251
epoch 38,  actor_loss: 7.0183,  critic_loss: 66.8308, cost_time: 1.3536, best_solution: [11.617365837097168],od: 7.1046, eqity: 4.8784,rad: 25.6276
epoch 39,  actor_loss: -14.7914,  critic_loss: 63.4940, cost_time: 1.4333, best_solution: [11.617365837097168],od: 6.4476, eqity: 3.9627,rad: 19.3010
epoch 40,  actor_loss: -56.2168,  critic_loss: 63.2294, cost_time: 1.3451, best_solution: [11.617365837097168],od: 3.9524, eqity: 2.9845,rad: 11.0207
epoch 41,  actor_loss: 46.6155,  critic_loss: 19.7232, cost_time: 1.2833, best_solution: [11.617365837097168],od: 4.6826, eqity: 4.6462,rad: 16.5529
epoch 42,  actor_loss: 98.6455,  critic_loss: 65.6682, cost_time: 1.3571, best_solution: [11.617365837097168],od: 5.5632, eqity: 3.1984,rad: 18.5141
epoch 43,  actor_loss: 158.4336,  critic_loss: 67.8710, cost_time: 1.4916, best_solution: [11.617365837097168],od: 7.5185, eqity: 5.0661,rad: 17.6234
epoch 44,  actor_loss: 110.8319,  critic_loss: 39.7094, cost_time: 1.5157, best_solution: [11.617365837097168],od: 7.4341, eqity: 4.7155,rad: 28.6296
epoch 45,  actor_loss: -112.4874,  critic_loss: 57.2580, cost_time: 1.4442, best_solution: [11.617365837097168],od: 3.8291, eqity: 2.7022,rad: 13.7448
epoch 46,  actor_loss: -77.3190,  critic_loss: 58.5006, cost_time: 1.2546, best_solution: [11.617365837097168],od: 5.0170, eqity: 3.4715,rad: 19.9842
epoch 47,  actor_loss: 1.8757,  critic_loss: 74.5186, cost_time: 1.3239, best_solution: [11.617365837097168],od: 6.6542, eqity: 3.9225,rad: 22.1963
epoch 48,  actor_loss: -33.1515,  critic_loss: 48.4751, cost_time: 1.3802, best_solution: [11.617365837097168],od: 4.3881, eqity: 3.1994,rad: 15.7721
epoch 49,  actor_loss: 56.9209,  critic_loss: 48.6292, cost_time: 1.4435, best_solution: [11.617365837097168],od: 5.2684, eqity: 3.6070,rad: 17.0229
epoch 50,  actor_loss: 61.7220,  critic_loss: 28.7955, cost_time: 1.2915, best_solution: [11.617365837097168],od: 4.5365, eqity: 3.6002,rad: 19.9242
epoch 51,  actor_loss: 111.7725,  critic_loss: 54.6455, cost_time: 1.4459, best_solution: [11.617365837097168],od: 6.8092, eqity: 4.2615,rad: 19.8266
epoch 52,  actor_loss: 157.7604,  critic_loss: 96.0425, cost_time: 1.3167, best_solution: [11.617365837097168],od: 8.3651, eqity: 4.5849,rad: 21.9539
epoch 53,  actor_loss: -74.6905,  critic_loss: 24.4909, cost_time: 1.3301, best_solution: [11.617365837097168],od: 3.4486, eqity: 4.0432,rad: 14.9777
epoch 54,  actor_loss: 9.2897,  critic_loss: 22.7799, cost_time: 1.4569, best_solution: [11.617365837097168],od: 6.3501, eqity: 5.0298,rad: 27.7597
epoch 55,  actor_loss: 19.5657,  critic_loss: 28.2228, cost_time: 1.5121, best_solution: [11.617365837097168],od: 6.5203, eqity: 4.5804,rad: 23.9651
epoch 56,  actor_loss: -70.2441,  critic_loss: 28.0638, cost_time: 1.3451, best_solution: [11.617365837097168],od: 3.4480, eqity: 2.9412,rad: 12.9820
epoch 57,  actor_loss: 99.3882,  critic_loss: 32.9702, cost_time: 1.4493, best_solution: [11.617365837097168],od: 6.0442, eqity: 5.5336,rad: 24.8467
epoch 58,  actor_loss: 108.1824,  critic_loss: 58.7076, cost_time: 1.4217, best_solution: [11.617365837097168],od: 5.9550, eqity: 4.4894,rad: 23.2579
epoch 59,  actor_loss: 186.3449,  critic_loss: 64.7374, cost_time: 1.3542, best_solution: [11.617365837097168],od: 7.6012, eqity: 4.9373,rad: 30.3293
epoch 60,  actor_loss: 134.8995,  critic_loss: 51.3309, cost_time: 1.4860, best_solution: [11.617365837097168],od: 7.5899, eqity: 5.1013,rad: 23.6315
epoch 61,  actor_loss: -40.4931,  critic_loss: 37.3646, cost_time: 1.2093, best_solution: [11.617365837097168],od: 3.8657, eqity: 3.2981,rad: 16.0648
epoch 62,  actor_loss: -7.5619,  critic_loss: 25.0094, cost_time: 1.4064, best_solution: [11.617365837097168],od: 5.9764, eqity: 4.8384,rad: 22.4635
epoch 63,  actor_loss: 70.7268,  critic_loss: 32.2678, cost_time: 1.3539, best_solution: [11.617365837097168],od: 7.2923, eqity: 5.6367,rad: 25.8288
epoch 64,  actor_loss: 47.2727,  critic_loss: 61.5781, cost_time: 1.3969, best_solution: [11.617365837097168],od: 7.1607, eqity: 4.9182,rad: 24.3338
epoch 65,  actor_loss: -86.5676,  critic_loss: 37.8936, cost_time: 1.5696, best_solution: [11.617365837097168],od: 5.0667, eqity: 5.3501,rad: 19.9842
epoch 66,  actor_loss: 51.2637,  critic_loss: 58.4176, cost_time: 1.4425, best_solution: [11.617365837097168],od: 7.9110, eqity: 6.0444,rad: 25.0179
epoch 67,  actor_loss: -92.6352,  critic_loss: 38.6365, cost_time: 1.4468, best_solution: [11.617365837097168],od: 4.7602, eqity: 3.9726,rad: 19.4794
epoch 68,  actor_loss: 115.1746,  critic_loss: 49.4432, cost_time: 1.5497, best_solution: [11.617365837097168],od: 9.3807, eqity: 5.1404,rad: 31.7469
epoch 69,  actor_loss: 14.3714,  critic_loss: 53.6217, cost_time: 1.4212, best_solution: [11.617365837097168],od: 6.3842, eqity: 4.9732,rad: 21.4154
epoch 70,  actor_loss: 99.5160,  critic_loss: 61.6892, cost_time: 1.4200, best_solution: [11.617365837097168],od: 8.7700, eqity: 5.0155,rad: 23.3555
epoch 71,  actor_loss: 11.8725,  critic_loss: 39.7004, cost_time: 1.4494, best_solution: [11.617365837097168],od: 6.0153, eqity: 4.4305,rad: 23.9003
epoch 72,  actor_loss: 52.0357,  critic_loss: 53.6194, cost_time: 1.5416, best_solution: [11.617365837097168],od: 6.9197, eqity: 5.2112,rad: 24.6755
epoch 73,  actor_loss: 6.7025,  critic_loss: 52.4839, cost_time: 1.3096, best_solution: [11.617365837097168],od: 6.9632, eqity: 4.8913,rad: 25.2852
epoch 74,  actor_loss: 65.8513,  critic_loss: 38.5137, cost_time: 1.4226, best_solution: [11.617365837097168],od: 8.6857, eqity: 5.3353,rad: 29.4373
epoch 75,  actor_loss: -47.1976,  critic_loss: 57.5053, cost_time: 1.3860, best_solution: [11.617365837097168],od: 6.7040, eqity: 3.8077,rad: 24.2235
epoch 76,  actor_loss: 25.0457,  critic_loss: 61.2469, cost_time: 1.5090, best_solution: [11.617365837097168],od: 9.9766, eqity: 5.8668,rad: 19.0322
epoch 77,  actor_loss: -35.4329,  critic_loss: 40.5829, cost_time: 1.5315, best_solution: [11.617365837097168],od: 7.4619, eqity: 4.7453,rad: 21.8403
epoch 78,  actor_loss: 92.1224,  critic_loss: 71.6627, cost_time: 1.4830, best_solution: [11.617365837097168],od: 8.9520, eqity: 5.1153,rad: 30.2317
epoch 79,  actor_loss: 86.9973,  critic_loss: 55.9749, cost_time: 1.5293, best_solution: [11.617365837097168],od: 9.4298, eqity: 5.6475,rad: 27.6052
epoch 80,  actor_loss: 104.3187,  critic_loss: 76.6090, cost_time: 1.4608, best_solution: [11.617365837097168],od: 9.9231, eqity: 5.5653,rad: 27.4972
epoch 81,  actor_loss: -13.0953,  critic_loss: 27.1902, cost_time: 1.4411, best_solution: [11.617365837097168],od: 7.7498, eqity: 5.5203,rad: 24.4908
epoch 82,  actor_loss: -23.3640,  critic_loss: 61.0184, cost_time: 1.4563, best_solution: [11.617365837097168],od: 7.9620, eqity: 5.5847,rad: 20.7186
epoch 83,  actor_loss: 0.7005,  critic_loss: 40.8703, cost_time: 1.3495, best_solution: [11.617365837097168],od: 8.4660, eqity: 6.0606,rad: 19.4794
epoch 84,  actor_loss: 16.6771,  critic_loss: 83.8394, cost_time: 1.4523, best_solution: [11.617365837097168],od: 7.6116, eqity: 5.7788,rad: 20.6074
epoch 85,  actor_loss: 40.8485,  critic_loss: 24.7452, cost_time: 1.2269, best_solution: [11.617365837097168],od: 7.1658, eqity: 5.0776,rad: 19.2274
epoch 86,  actor_loss: 131.7886,  critic_loss: 61.6825, cost_time: 1.4458, best_solution: [11.617365837097168],od: 8.4693, eqity: 5.2228,rad: 25.4699
epoch 87,  actor_loss: 144.5331,  critic_loss: 84.1603, cost_time: 1.5088, best_solution: [11.617365837097168],od: 8.5576, eqity: 5.5202,rad: 26.2747
epoch 88,  actor_loss: 182.2005,  critic_loss: 91.1087, cost_time: 1.5574, best_solution: [11.617365837097168],od: 11.0345, eqity: 6.7817,rad: 26.8004
11.0345314219594 6.78169284388423 26.80038070678711
epoch 89,  actor_loss: 80.8200,  critic_loss: 40.1306, cost_time: 1.5472, best_solution: [12.185833930969238],od: 8.9576, eqity: 7.1816,rad: 19.4134
epoch 90,  actor_loss: -54.2640,  critic_loss: 38.6498, cost_time: 1.3131, best_solution: [12.185833930969238],od: 6.7139, eqity: 4.9919,rad: 18.4090
epoch 91,  actor_loss: -99.2188,  critic_loss: 34.4493, cost_time: 1.4014, best_solution: [12.185833930969238],od: 6.3050, eqity: 5.1599,rad: 18.5066
epoch 92,  actor_loss: 207.5678,  critic_loss: 97.6622, cost_time: 1.6937, best_solution: [12.185833930969238],od: 14.0190, eqity: 7.9104,rad: 33.0534
14.019034244120121 7.910390801727772 33.05335986614227
epoch 93,  actor_loss: -54.4636,  critic_loss: 36.7836, cost_time: 1.5094, best_solution: [15.311603546142578],od: 8.7942, eqity: 7.3412,rad: 22.6347
epoch 94,  actor_loss: 4.4882,  critic_loss: 66.9829, cost_time: 1.3707, best_solution: [15.311603546142578],od: 10.0212, eqity: 5.6541,rad: 23.9651
epoch 95,  actor_loss: -60.2291,  critic_loss: 33.8957, cost_time: 1.4400, best_solution: [15.311603546142578],od: 8.2433, eqity: 5.3774,rad: 17.7858
epoch 96,  actor_loss: -13.9674,  critic_loss: 47.6102, cost_time: 1.5808, best_solution: [15.311603546142578],od: 8.6773, eqity: 5.5542,rad: 21.2306
epoch 97,  actor_loss: 162.8412,  critic_loss: 89.6315, cost_time: 1.4914, best_solution: [15.311603546142578],od: 10.2048, eqity: 5.6439,rad: 28.9252
epoch 98,  actor_loss: 174.7145,  critic_loss: 85.0996, cost_time: 1.4495, best_solution: [15.311603546142578],od: 9.6425, eqity: 5.7669,rad: 33.3357
epoch 99,  actor_loss: 98.7713,  critic_loss: 60.2649, cost_time: 1.4896, best_solution: [15.311603546142578],od: 8.1781, eqity: 5.2383,rad: 28.4805
epoch 100,  actor_loss: -7.1066,  critic_loss: 22.7888, cost_time: 1.2815, best_solution: [15.311603546142578],od: 6.6778, eqity: 4.9662,rad: 12.4248
epoch 101,  actor_loss: 207.7083,  critic_loss: 81.3878, cost_time: 1.4601, best_solution: [15.311603546142578],od: 11.9513, eqity: 7.4425,rad: 26.6892
epoch 102,  actor_loss: 277.1331,  critic_loss: 93.6546, cost_time: 1.5987, best_solution: [15.311603546142578],od: 14.4690, eqity: 7.4352,rad: 30.2917
14.468964874744415 7.435224264860153 30.291717052459717
epoch 103,  actor_loss: -50.4977,  critic_loss: 39.0157, cost_time: 1.2985, best_solution: [15.347867012023926],od: 5.0069, eqity: 3.7623,rad: 22.6587
epoch 104,  actor_loss: 75.8604,  critic_loss: 79.7831, cost_time: 1.4605, best_solution: [15.347867012023926],od: 9.3026, eqity: 6.5006,rad: 25.7251
epoch 105,  actor_loss: -41.0432,  critic_loss: 52.4213, cost_time: 1.4164, best_solution: [15.347867012023926],od: 7.2402, eqity: 4.9623,rad: 21.2306
epoch 106,  actor_loss: 25.5726,  critic_loss: 48.5629, cost_time: 1.5946, best_solution: [15.347867012023926],od: 9.6362, eqity: 6.2767,rad: 23.1259
epoch 107,  actor_loss: -17.1169,  critic_loss: 60.7936, cost_time: 1.3337, best_solution: [15.347867012023926],od: 8.6877, eqity: 5.8955,rad: 23.6780
epoch 108,  actor_loss: 137.7491,  critic_loss: 74.4767, cost_time: 1.5721, best_solution: [15.347867012023926],od: 13.3358, eqity: 7.6288,rad: 26.6892
epoch 109,  actor_loss: -52.9685,  critic_loss: 60.8544, cost_time: 1.5023, best_solution: [15.347867012023926],od: 7.2108, eqity: 4.6038,rad: 24.3284
epoch 110,  actor_loss: 61.9907,  critic_loss: 66.7486, cost_time: 1.4172, best_solution: [15.347867012023926],od: 11.0821, eqity: 6.9514,rad: 31.1133
epoch 111,  actor_loss: -101.3018,  critic_loss: 30.3913, cost_time: 1.4769, best_solution: [15.347867012023926],od: 7.8217, eqity: 6.2400,rad: 25.8948
epoch 112,  actor_loss: 20.8592,  critic_loss: 75.3028, cost_time: 1.5444, best_solution: [15.347867012023926],od: 11.1871, eqity: 6.7031,rad: 28.9013
epoch 113,  actor_loss: 63.0399,  critic_loss: 43.4330, cost_time: 1.6535, best_solution: [15.347867012023926],od: 12.3131, eqity: 8.2983,rad: 27.4100
epoch 114,  actor_loss: -47.5638,  critic_loss: 78.5394, cost_time: 1.5770, best_solution: [15.347867012023926],od: 8.2076, eqity: 5.1058,rad: 18.5066
epoch 115,  actor_loss: 60.6971,  critic_loss: 74.7573, cost_time: 1.3684, best_solution: [15.347867012023926],od: 10.0849, eqity: 5.4761,rad: 25.8210
epoch 116,  actor_loss: 92.9152,  critic_loss: 58.3918, cost_time: 1.5342, best_solution: [15.347867012023926],od: 11.4307, eqity: 6.5716,rad: 22.0251
epoch 117,  actor_loss: 92.2474,  critic_loss: 46.7431, cost_time: 1.6456, best_solution: [15.347867012023926],od: 10.5213, eqity: 7.7317,rad: 23.2819
epoch 118,  actor_loss: 14.3658,  critic_loss: 60.1077, cost_time: 1.5735, best_solution: [15.347867012023926],od: 8.5812, eqity: 6.9054,rad: 19.0322
epoch 119,  actor_loss: 88.3998,  critic_loss: 71.5588, cost_time: 1.5390, best_solution: [15.347867012023926],od: 10.1735, eqity: 6.1100,rad: 28.3020
epoch 120,  actor_loss: 105.9952,  critic_loss: 86.7607, cost_time: 1.5846, best_solution: [15.347867012023926],od: 11.0453, eqity: 6.7413,rad: 23.5403
epoch 121,  actor_loss: -13.5504,  critic_loss: 44.1554, cost_time: 1.4927, best_solution: [15.347867012023926],od: 7.7967, eqity: 4.7702,rad: 25.3692
epoch 122,  actor_loss: 9.6947,  critic_loss: 48.8584, cost_time: 1.6633, best_solution: [15.347867012023926],od: 8.9296, eqity: 6.7792,rad: 23.3555
epoch 123,  actor_loss: 69.3690,  critic_loss: 38.8225, cost_time: 1.5949, best_solution: [15.347867012023926],od: 10.9838, eqity: 7.4481,rad: 21.1570
epoch 124,  actor_loss: 1.4507,  critic_loss: 63.7626, cost_time: 1.6256, best_solution: [15.347867012023926],od: 8.8714, eqity: 6.3234,rad: 18.6777
epoch 125,  actor_loss: 155.7646,  critic_loss: 57.9669, cost_time: 1.6924, best_solution: [15.347867012023926],od: 12.0677, eqity: 7.5131,rad: 34.6359
epoch 126,  actor_loss: 124.2308,  critic_loss: 63.5834, cost_time: 1.6205, best_solution: [15.347867012023926],od: 11.6508, eqity: 6.8612,rad: 30.5077
epoch 127,  actor_loss: -19.5356,  critic_loss: 27.4393, cost_time: 1.5737, best_solution: [15.347867012023926],od: 8.2208, eqity: 6.0962,rad: 26.0796
epoch 128,  actor_loss: 68.5221,  critic_loss: 52.1923, cost_time: 1.6590, best_solution: [15.347867012023926],od: 10.2197, eqity: 7.0420,rad: 28.8877
epoch 129,  actor_loss: 29.9505,  critic_loss: 35.8846, cost_time: 1.5765, best_solution: [15.347867012023926],od: 10.2321, eqity: 6.6565,rad: 31.5517
epoch 130,  actor_loss: -9.4333,  critic_loss: 72.0273, cost_time: 1.5739, best_solution: [15.347867012023926],od: 9.1279, eqity: 6.9134,rad: 28.1308
epoch 131,  actor_loss: 64.9183,  critic_loss: 61.8455, cost_time: 1.7362, best_solution: [15.347867012023926],od: 10.0523, eqity: 6.4553,rad: 35.7775
epoch 132,  actor_loss: 99.0074,  critic_loss: 36.8699, cost_time: 1.7066, best_solution: [15.347867012023926],od: 12.4013, eqity: 8.7816,rad: 25.2116
epoch 133,  actor_loss: 89.1552,  critic_loss: 74.4050, cost_time: 1.7669, best_solution: [15.347867012023926],od: 12.7013, eqity: 7.6727,rad: 26.0060
epoch 134,  actor_loss: -93.6205,  critic_loss: 63.9250, cost_time: 1.5816, best_solution: [15.347867012023926],od: 8.3052, eqity: 5.7531,rad: 21.7878
epoch 135,  actor_loss: -106.8075,  critic_loss: 51.9046, cost_time: 1.5917, best_solution: [15.347867012023926],od: 9.4647, eqity: 7.2355,rad: 21.0595
epoch 136,  actor_loss: -9.4654,  critic_loss: 43.3241, cost_time: 1.7872, best_solution: [15.347867012023926],od: 11.5958, eqity: 8.1458,rad: 29.1692
epoch 137,  actor_loss: 8.2593,  critic_loss: 75.3002, cost_time: 1.7189, best_solution: [15.347867012023926],od: 11.2878, eqity: 7.9041,rad: 27.4972
epoch 138,  actor_loss: -31.1965,  critic_loss: 58.1126, cost_time: 1.4486, best_solution: [15.347867012023926],od: 8.5715, eqity: 5.8359,rad: 16.5756
epoch 139,  actor_loss: 119.7119,  critic_loss: 78.8647, cost_time: 1.6822, best_solution: [15.347867012023926],od: 11.4635, eqity: 7.0539,rad: 27.9357
epoch 140,  actor_loss: 111.8124,  critic_loss: 56.7341, cost_time: 1.8761, best_solution: [15.347867012023926],od: 10.1962, eqity: 6.5360,rad: 24.3284
epoch 141,  actor_loss: 199.9551,  critic_loss: 65.7447, cost_time: 1.8201, best_solution: [15.347867012023926],od: 11.7740, eqity: 8.3622,rad: 33.7502
epoch 142,  actor_loss: 234.3491,  critic_loss: 92.1587, cost_time: 1.8057, best_solution: [15.347867012023926],od: 14.4208, eqity: 8.0998,rad: 27.4100
epoch 143,  actor_loss: 113.9044,  critic_loss: 70.0247, cost_time: 1.7297, best_solution: [15.347867012023926],od: 11.5852, eqity: 7.4013,rad: 29.6212
epoch 144,  actor_loss: 139.8084,  critic_loss: 47.2546, cost_time: 1.9702, best_solution: [15.347867012023926],od: 13.6528, eqity: 9.3885,rad: 27.4972
epoch 145,  actor_loss: 12.8419,  critic_loss: 58.1133, cost_time: 1.7962, best_solution: [15.347867012023926],od: 11.4308, eqity: 7.5075,rad: 30.1341
epoch 146,  actor_loss: -94.4257,  critic_loss: 68.6664, cost_time: 1.7195, best_solution: [15.347867012023926],od: 9.7269, eqity: 7.2904,rad: 32.3326
epoch 147,  actor_loss: -20.8526,  critic_loss: 86.1037, cost_time: 1.7208, best_solution: [15.347867012023926],od: 12.5333, eqity: 6.3872,rad: 27.3124
epoch 148,  actor_loss: 100.4101,  critic_loss: 71.8996, cost_time: 1.8075, best_solution: [15.347867012023926],od: 16.2507, eqity: 9.3436,rad: 33.6766
16.250696808099747 9.343594163656235 33.67657732963562
epoch 149,  actor_loss: -5.5710,  critic_loss: 51.4792, cost_time: 1.7461, best_solution: [17.302574157714844],od: 14.1978, eqity: 7.6208,rad: 23.9787
epoch 150,  actor_loss: 54.6515,  critic_loss: 48.1504, cost_time: 1.7559, best_solution: [17.302574157714844],od: 14.9780, eqity: 7.9890,rad: 37.3663
epoch 151,  actor_loss: 0.7143,  critic_loss: 35.8796, cost_time: 1.8849, best_solution: [17.302574157714844],od: 14.4845, eqity: 8.7217,rad: 29.9629
epoch 152,  actor_loss: -92.2885,  critic_loss: 73.3112, cost_time: 1.7692, best_solution: [17.302574157714844],od: 11.0167, eqity: 6.9124,rad: 23.3555
epoch 153,  actor_loss: -151.3490,  critic_loss: 57.0850, cost_time: 1.5617, best_solution: [17.302574157714844],od: 7.8695, eqity: 5.5280,rad: 26.8916
epoch 154,  actor_loss: 41.5901,  critic_loss: 63.8277, cost_time: 1.7592, best_solution: [17.302574157714844],od: 11.4180, eqity: 6.9696,rad: 33.6766
