epoch 0,  actor_loss: 134.6615,  critic_loss: 20.4844, cost_time: 1.9080, best_solution: 0,od: 4.8336, eqity: 4.9200,rad: 22.1163
4.8335888928268105 4.920030329376459 22.116324305534363
epoch 1,  actor_loss: -290.2840,  critic_loss: 118.7221, cost_time: 1.3287, best_solution: [6.570507049560547],od: 3.6379, eqity: 3.0654,rad: 19.1898
epoch 2,  actor_loss: -59.0840,  critic_loss: 38.5377, cost_time: 1.3122, best_solution: [6.570507049560547],od: 5.7451, eqity: 3.9281,rad: 20.3629
5.745122952386737 3.928056839853525 20.362919449806213
epoch 3,  actor_loss: 158.6761,  critic_loss: 44.1598, cost_time: 1.3086, best_solution: [7.025195598602295],od: 6.1763, eqity: 4.5146,rad: 20.8014
6.176300203078426 4.514634499326348 20.80136001110077
epoch 4,  actor_loss: -15.7558,  critic_loss: 17.5742, cost_time: 1.2667, best_solution: [7.472639083862305],od: 3.5448, eqity: 2.8020,rad: 19.5681
epoch 5,  actor_loss: 43.6286,  critic_loss: 19.0426, cost_time: 1.2286, best_solution: [7.472639083862305],od: 3.5420, eqity: 3.1087,rad: 20.2842
epoch 6,  actor_loss: 58.5307,  critic_loss: 34.0659, cost_time: 1.3214, best_solution: [7.472639083862305],od: 5.3575, eqity: 3.5537,rad: 20.0954
epoch 7,  actor_loss: -121.3866,  critic_loss: 51.0876, cost_time: 1.3323, best_solution: [7.472639083862305],od: 3.9746, eqity: 2.5669,rad: 13.7448
epoch 8,  actor_loss: -79.5212,  critic_loss: 38.0113, cost_time: 1.5135, best_solution: [7.472639083862305],od: 6.9218, eqity: 4.5460,rad: 21.8539
6.921786812017672 4.546026319265366 21.85386633872986
epoch 9,  actor_loss: -67.5947,  critic_loss: 21.1672, cost_time: 1.6306, best_solution: [8.177417755126953],od: 5.6613, eqity: 4.4626,rad: 26.0796
epoch 10,  actor_loss: -23.3270,  critic_loss: 12.3083, cost_time: 1.5588, best_solution: [8.177417755126953],od: 3.8899, eqity: 4.0527,rad: 13.7448
epoch 11,  actor_loss: 135.5367,  critic_loss: 34.7655, cost_time: 1.4255, best_solution: [8.177417755126953],od: 6.5924, eqity: 4.6683,rad: 20.2842
epoch 12,  actor_loss: 106.6719,  critic_loss: 21.0364, cost_time: 1.3604, best_solution: [8.177417755126953],od: 4.7314, eqity: 3.9101,rad: 25.8288
epoch 13,  actor_loss: 142.0620,  critic_loss: 47.6843, cost_time: 1.3128, best_solution: [8.177417755126953],od: 5.9205, eqity: 4.2686,rad: 20.5550
epoch 14,  actor_loss: 4.7923,  critic_loss: 5.2745, cost_time: 1.1748, best_solution: [8.177417755126953],od: 1.9923, eqity: 2.0662,rad: 12.3272
epoch 15,  actor_loss: 163.5896,  critic_loss: 32.5605, cost_time: 1.6287, best_solution: [8.177417755126953],od: 6.9641, eqity: 5.1035,rad: 26.0060
6.964058807585388 5.1035328432917595 26.005970001220703
epoch 16,  actor_loss: 66.2781,  critic_loss: 31.8809, cost_time: 1.4500, best_solution: [8.682197570800781],od: 4.2905, eqity: 3.1604,rad: 20.4362
epoch 17,  actor_loss: 8.8475,  critic_loss: 34.9789, cost_time: 1.5307, best_solution: [8.682197570800781],od: 4.6790, eqity: 4.0951,rad: 16.6732
epoch 18,  actor_loss: 78.9745,  critic_loss: 32.8579, cost_time: 1.6123, best_solution: [8.682197570800781],od: 6.6134, eqity: 4.2986,rad: 20.6210
epoch 19,  actor_loss: -42.2484,  critic_loss: 19.5790, cost_time: 1.2350, best_solution: [8.682197570800781],od: 4.0352, eqity: 3.4730,rad: 20.4681
