epoch 0,  actor_loss: 257.4099,  critic_loss: 55.3905, cost_time: 39.4169, best_solution: 0,od: 6.4475, eqity: 6.3240,rad: 17.1025
6.447526376694441 6.323977943509817 17.102511405944824
epoch 1,  actor_loss: -115.9200,  critic_loss: 34.3670, cost_time: 27.6957, best_solution: [7.414185523986816],od: 2.3336, eqity: 3.3887,rad: 13.3155
epoch 2,  actor_loss: 92.5651,  critic_loss: 15.8369, cost_time: 28.8560, best_solution: [7.414185523986816],od: 5.4082, eqity: 4.9249,rad: 15.1489
epoch 3,  actor_loss: 89.8604,  critic_loss: 13.4405, cost_time: 36.5086, best_solution: [7.414185523986816],od: 7.1003, eqity: 6.6020,rad: 20.6210
7.100306671112776 6.601964816451073 20.621015071868896
epoch 4,  actor_loss: -114.0742,  critic_loss: 19.4936, cost_time: 36.0208, best_solution: [8.053704261779785],od: 7.3692, eqity: 5.6182,rad: 21.5067
epoch 5,  actor_loss: -153.1147,  critic_loss: 38.1185, cost_time: 11.5221, best_solution: [8.053704261779785],od: 3.5549, eqity: 3.8087,rad: 18.5938
epoch 6,  actor_loss: -38.0887,  critic_loss: 18.1871, cost_time: 1.5462, best_solution: [8.053704261779785],od: 4.6509, eqity: 5.3315,rad: 18.1736
epoch 7,  actor_loss: 66.8710,  critic_loss: 16.2751, cost_time: 12.9114, best_solution: [8.053704261779785],od: 6.6196, eqity: 6.1602,rad: 25.6651
6.619612970855087 6.160161308944225 25.665109157562256
epoch 8,  actor_loss: 64.1478,  critic_loss: 13.5898, cost_time: 1.5287, best_solution: [8.156600952148438],od: 6.3339, eqity: 5.5608,rad: 19.9978
epoch 9,  actor_loss: -14.4920,  critic_loss: 13.7575, cost_time: 1.4993, best_solution: [8.156600952148438],od: 5.2283, eqity: 3.6812,rad: 19.3882
epoch 10,  actor_loss: 44.4067,  critic_loss: 11.2619, cost_time: 1.6821, best_solution: [8.156600952148438],od: 5.4052, eqity: 5.9173,rad: 19.1374
epoch 11,  actor_loss: 46.7678,  critic_loss: 17.0135, cost_time: 31.9159, best_solution: [8.156600952148438],od: 6.0407, eqity: 6.0194,rad: 22.9107
epoch 12,  actor_loss: -36.6570,  critic_loss: 11.8658, cost_time: 33.2210, best_solution: [8.156600952148438],od: 5.2705, eqity: 4.9294,rad: 15.8773
epoch 13,  actor_loss: -18.9770,  critic_loss: 12.5544, cost_time: 32.9463, best_solution: [8.156600952148438],od: 4.7629, eqity: 5.5269,rad: 24.3438
epoch 14,  actor_loss: 91.4088,  critic_loss: 18.9056, cost_time: 36.5470, best_solution: [8.156600952148438],od: 8.1247, eqity: 7.7538,rad: 23.7051
8.124669849639758 7.753789784386754 23.705145716667175
epoch 15,  actor_loss: -6.5847,  critic_loss: 12.3837, cost_time: 35.9773, best_solution: [9.386013984680176],od: 3.8630, eqity: 5.1510,rad: 16.5529
epoch 16,  actor_loss: 37.5327,  critic_loss: 13.4118, cost_time: 32.0377, best_solution: [9.386013984680176],od: 4.5534, eqity: 5.8701,rad: 22.4635
epoch 17,  actor_loss: 48.2047,  critic_loss: 18.6939, cost_time: 36.7676, best_solution: [9.386013984680176],od: 7.5353, eqity: 6.9469,rad: 17.7858
epoch 18,  actor_loss: -37.3103,  critic_loss: 11.3757, cost_time: 39.0857, best_solution: [9.386013984680176],od: 3.9816, eqity: 5.6694,rad: 19.3746
epoch 19,  actor_loss: -77.5668,  critic_loss: 18.4534, cost_time: 36.0090, best_solution: [9.386013984680176],od: 2.8664, eqity: 3.9147,rad: 14.4520
epoch 20,  actor_loss: -2.7820,  critic_loss: 13.2628, cost_time: 12.2024, best_solution: [9.386013984680176],od: 6.1324, eqity: 5.5228,rad: 21.4154
epoch 21,  actor_loss: 6.0565,  critic_loss: 9.0916, cost_time: 1.7703, best_solution: [9.386013984680176],od: 4.1257, eqity: 5.0916,rad: 17.0049
epoch 22,  actor_loss: 43.1089,  critic_loss: 14.1875, cost_time: 12.5683, best_solution: [9.386013984680176],od: 4.0843, eqity: 4.2409,rad: 20.1781
epoch 23,  actor_loss: 121.0014,  critic_loss: 20.9898, cost_time: 1.4742, best_solution: [9.386013984680176],od: 8.9598, eqity: 6.2036,rad: 25.2940
epoch 24,  actor_loss: 80.7008,  critic_loss: 15.6705, cost_time: 1.4668, best_solution: [9.386013984680176],od: 5.2370, eqity: 6.1355,rad: 17.5412
epoch 25,  actor_loss: 97.8994,  critic_loss: 24.3949, cost_time: 1.7775, best_solution: [9.386013984680176],od: 7.8395, eqity: 7.8962,rad: 22.1226
epoch 26,  actor_loss: -47.9110,  critic_loss: 28.0419, cost_time: 35.8747, best_solution: [9.386013984680176],od: 7.1999, eqity: 6.7944,rad: 19.7419
epoch 27,  actor_loss: -112.8600,  critic_loss: 43.5925, cost_time: 34.4325, best_solution: [9.386013984680176],od: 6.1219, eqity: 5.7712,rad: 19.3010
epoch 28,  actor_loss: -101.1017,  critic_loss: 33.5463, cost_time: 35.5714, best_solution: [9.386013984680176],od: 5.3159, eqity: 5.5269,rad: 17.9705
epoch 29,  actor_loss: -13.8998,  critic_loss: 12.4979, cost_time: 39.4398, best_solution: [9.386013984680176],od: 6.6556, eqity: 7.5905,rad: 24.0523
epoch 30,  actor_loss: 67.5899,  critic_loss: 21.2512, cost_time: 35.3478, best_solution: [9.386013984680176],od: 8.7134, eqity: 7.7219,rad: 23.1919
epoch 31,  actor_loss: 110.5930,  critic_loss: 24.6178, cost_time: 35.6794, best_solution: [9.386013984680176],od: 9.5504, eqity: 8.1875,rad: 20.7357
9.55043186689727 8.187487881630659 20.735677242279053
epoch 32,  actor_loss: 87.9319,  critic_loss: 20.0364, cost_time: 41.3388, best_solution: [9.578600883483887],od: 7.8781, eqity: 8.0492,rad: 17.3609
epoch 33,  actor_loss: 38.9386,  critic_loss: 12.0300, cost_time: 42.0630, best_solution: [9.578600883483887],od: 8.4616, eqity: 7.9165,rad: 24.4996
8.461605612188578 7.916491840034723 24.49955642223358
epoch 34,  actor_loss: -39.2060,  critic_loss: 25.7057, cost_time: 26.5679, best_solution: [9.629310607910156],od: 6.4468, eqity: 5.8340,rad: 19.2034
epoch 35,  actor_loss: -39.3909,  critic_loss: 29.1932, cost_time: 1.5568, best_solution: [9.629310607910156],od: 7.9972, eqity: 6.9391,rad: 18.5938
epoch 36,  actor_loss: -96.3048,  critic_loss: 28.8642, cost_time: 12.6991, best_solution: [9.629310607910156],od: 4.3736, eqity: 4.1684,rad: 15.7721
epoch 37,  actor_loss: -47.7358,  critic_loss: 18.5496, cost_time: 1.6801, best_solution: [9.629310607910156],od: 4.8263, eqity: 5.6997,rad: 16.0345
epoch 38,  actor_loss: 103.2465,  critic_loss: 29.1774, cost_time: 1.7032, best_solution: [9.629310607910156],od: 11.2531, eqity: 9.1470,rad: 19.5685
11.25306065192126 9.147040128707886 19.568508744239807
epoch 39,  actor_loss: 1.3116,  critic_loss: 23.0487, cost_time: 1.8181, best_solution: [10.399789810180664],od: 5.0156, eqity: 5.6124,rad: 14.9777
epoch 40,  actor_loss: 54.4362,  critic_loss: 17.0793, cost_time: 32.8226, best_solution: [10.399789810180664],od: 5.1979, eqity: 6.7641,rad: 16.5769
epoch 41,  actor_loss: 72.6291,  critic_loss: 18.9423, cost_time: 43.9202, best_solution: [10.399789810180664],od: 7.8831, eqity: 7.3642,rad: 23.4518
epoch 42,  actor_loss: 80.9520,  critic_loss: 28.1576, cost_time: 37.6149, best_solution: [10.399789810180664],od: 6.6608, eqity: 7.2117,rad: 20.0954
epoch 43,  actor_loss: 22.4215,  critic_loss: 13.9620, cost_time: 39.0927, best_solution: [10.399789810180664],od: 4.5586, eqity: 6.9328,rad: 13.7448
epoch 44,  actor_loss: -36.6102,  critic_loss: 15.1232, cost_time: 35.3427, best_solution: [10.399789810180664],od: 6.9217, eqity: 5.1235,rad: 22.2202
epoch 45,  actor_loss: -16.3259,  critic_loss: 16.8380, cost_time: 37.4456, best_solution: [10.399789810180664],od: 5.7959, eqity: 5.5051,rad: 23.9651
epoch 46,  actor_loss: 68.3463,  critic_loss: 21.6490, cost_time: 39.4242, best_solution: [10.399789810180664],od: 7.5892, eqity: 7.8692,rad: 19.9978
epoch 47,  actor_loss: 129.4232,  critic_loss: 36.3323, cost_time: 42.7844, best_solution: [10.399789810180664],od: 8.9938, eqity: 8.2701,rad: 24.2371
epoch 48,  actor_loss: 24.1038,  critic_loss: 22.9537, cost_time: 18.3235, best_solution: [10.399789810180664],od: 6.6281, eqity: 5.6523,rad: 21.4018
epoch 49,  actor_loss: 42.5539,  critic_loss: 17.0145, cost_time: 1.8645, best_solution: [10.399789810180664],od: 7.0431, eqity: 6.6147,rad: 16.8289
epoch 50,  actor_loss: 109.8952,  critic_loss: 19.6258, cost_time: 13.1006, best_solution: [10.399789810180664],od: 8.2203, eqity: 8.2657,rad: 26.7028
epoch 51,  actor_loss: 63.0484,  critic_loss: 13.0207, cost_time: 1.7364, best_solution: [10.399789810180664],od: 5.8940, eqity: 7.1578,rad: 23.2579
