epoch 0,  actor_loss: -16.4885,  critic_loss: 1.6653, cost_time: 0.3052, best_solution: 0,od: 0.5439, eqity: 3.6201,rad: 16.4382
tensor(100) tensor([79.5649])
epoch 1,  actor_loss: 374.0812,  critic_loss: 90.9841, cost_time: 0.5331, best_solution: 0,od: 0.9163, eqity: 5.7447,rad: 20.5938
tensor([79.5649]) tensor([79.2669])
epoch 2,  actor_loss: 76.7604,  critic_loss: 6.1248, cost_time: 0.4428, best_solution: 0,od: 0.4998, eqity: 3.9215,rad: 23.0867
epoch 3,  actor_loss: -107.3274,  critic_loss: 19.0122, cost_time: 0.4299, best_solution: 0,od: 0.3587, eqity: 2.9870,rad: 15.3680
epoch 4,  actor_loss: -122.8650,  critic_loss: 13.1224, cost_time: 0.5140, best_solution: 0,od: 0.6440, eqity: 5.3477,rad: 37.8870
epoch 5,  actor_loss: -18.1094,  critic_loss: 1.4719, cost_time: 0.4544, best_solution: 0,od: 0.5052, eqity: 2.8896,rad: 18.1553
epoch 6,  actor_loss: 69.0726,  critic_loss: 3.8886, cost_time: 0.5186, best_solution: 0,od: 0.3970, eqity: 2.8811,rad: 12.4848
epoch 7,  actor_loss: 77.6856,  critic_loss: 5.5870, cost_time: 0.6070, best_solution: 0,od: 0.4107, eqity: 4.2992,rad: 6.8686
epoch 8,  actor_loss: 46.4899,  critic_loss: 2.6883, cost_time: 0.4321, best_solution: 0,od: 0.7567, eqity: 3.6711,rad: 34.3734
epoch 9,  actor_loss: -6.8633,  critic_loss: 0.1560, cost_time: 0.4668, best_solution: 0,od: 0.2197, eqity: 1.9854,rad: 15.3680
epoch 10,  actor_loss: -10.3312,  critic_loss: 0.1943, cost_time: 0.5550, best_solution: 0,od: 0.2755, eqity: 3.7380,rad: 20.5938
epoch 11,  actor_loss: 5.0647,  critic_loss: 0.0481, cost_time: 0.4523, best_solution: 0,od: 0.1066, eqity: 2.5027,rad: 6.8686
epoch 12,  actor_loss: 29.4602,  critic_loss: 1.3766, cost_time: 0.4603, best_solution: 0,od: 0.8972, eqity: 4.3390,rad: 24.8213
epoch 13,  actor_loss: -14.4837,  critic_loss: 0.5724, cost_time: 0.3415, best_solution: 0,od: 0.1862, eqity: 2.0060,rad: 6.8686
epoch 14,  actor_loss: -3.7355,  critic_loss: 0.1764, cost_time: 0.5695, best_solution: 0,od: 0.9535, eqity: 6.0071,rad: 34.7637
tensor([79.2669]) tensor([79.2372])
epoch 15,  actor_loss: -8.2180,  critic_loss: 0.0894, cost_time: 0.4479, best_solution: 0,od: 0.0390, eqity: 2.8171,rad: 6.8686
epoch 16,  actor_loss: 56.2695,  critic_loss: 2.7754, cost_time: 0.5166, best_solution: 0,od: 1.0721, eqity: 3.9383,rad: 26.2644
tensor([79.2372]) tensor([79.1424])
epoch 17,  actor_loss: 21.2596,  critic_loss: 0.7415, cost_time: 0.4368, best_solution: 0,od: 0.1310, eqity: 2.2891,rad: 10.7676
epoch 18,  actor_loss: 18.1147,  critic_loss: 0.3811, cost_time: 0.4164, best_solution: 0,od: 0.1365, eqity: 3.5850,rad: 6.8686
epoch 19,  actor_loss: 9.8812,  critic_loss: 0.1870, cost_time: 0.3696, best_solution: 0,od: 0.3699, eqity: 2.3673,rad: 20.5938
epoch 20,  actor_loss: -11.8410,  critic_loss: 0.2581, cost_time: 0.3920, best_solution: 0,od: 0.0302, eqity: 0.2513,rad: 5.1515
epoch 21,  actor_loss: 1.3916,  critic_loss: 0.2308, cost_time: 0.5206, best_solution: 0,od: 0.6595, eqity: 3.7243,rad: 14.9777
epoch 22,  actor_loss: 23.0949,  critic_loss: 0.6703, cost_time: 0.4917, best_solution: 0,od: 0.9040, eqity: 6.2838,rad: 31.1958
epoch 23,  actor_loss: 18.5268,  critic_loss: 1.2828, cost_time: 0.4388, best_solution: 0,od: 0.8811, eqity: 4.3645,rad: 20.5938
epoch 24,  actor_loss: -16.5257,  critic_loss: 0.2125, cost_time: 0.6154, best_solution: 0,od: 0.4431, eqity: 6.1223,rad: 14.9777
epoch 25,  actor_loss: -6.8077,  critic_loss: 0.3286, cost_time: 0.5276, best_solution: 0,od: 0.7130, eqity: 6.6742,rad: 23.4770
epoch 26,  actor_loss: -7.3038,  critic_loss: 0.1156, cost_time: 0.4650, best_solution: 0,od: 0.2835, eqity: 2.2706,rad: 20.5938
epoch 27,  actor_loss: -1.8598,  critic_loss: 0.0196, cost_time: 0.3342, best_solution: 0,od: 0.0823, eqity: 0.8377,rad: 14.9777
epoch 28,  actor_loss: 7.7849,  critic_loss: 0.0858, cost_time: 0.4199, best_solution: 0,od: 0.2365, eqity: 3.5841,rad: 12.4848
epoch 29,  actor_loss: 16.1738,  critic_loss: 0.4877, cost_time: 0.4239, best_solution: 0,od: 0.4717, eqity: 2.8928,rad: 20.5938
epoch 30,  actor_loss: 24.3503,  critic_loss: 0.7568, cost_time: 0.4328, best_solution: 0,od: 0.7151, eqity: 5.3381,rad: 21.3696
epoch 31,  actor_loss: -0.3598,  critic_loss: 0.0032, cost_time: 0.3775, best_solution: 0,od: 0.0764, eqity: 2.1984,rad: 6.8686
epoch 32,  actor_loss: 14.8365,  critic_loss: 0.5337, cost_time: 0.4438, best_solution: 0,od: 0.6232, eqity: 4.8815,rad: 19.2051
epoch 33,  actor_loss: -2.3249,  critic_loss: 0.0437, cost_time: 0.4299, best_solution: 0,od: 0.1466, eqity: 1.7153,rad: 6.8686
epoch 34,  actor_loss: -3.0521,  critic_loss: 0.0555, cost_time: 0.3102, best_solution: 0,od: 0.0693, eqity: 1.0445,rad: 14.9777
epoch 35,  actor_loss: 8.3319,  critic_loss: 0.3467, cost_time: 0.4967, best_solution: 0,od: 0.5020, eqity: 4.0167,rad: 18.1010
epoch 36,  actor_loss: 4.3615,  critic_loss: 0.1661, cost_time: 0.5490, best_solution: 0,od: 0.4752, eqity: 3.4945,rad: 23.0867
epoch 37,  actor_loss: 15.9620,  critic_loss: 0.5248, cost_time: 0.4972, best_solution: 0,od: 1.0009, eqity: 5.0751,rad: 23.0867
epoch 38,  actor_loss: -8.8036,  critic_loss: 0.1591, cost_time: 0.4049, best_solution: 0,od: 0.0744, eqity: 2.1170,rad: 6.8686
epoch 39,  actor_loss: -6.2694,  critic_loss: 0.1768, cost_time: 0.4064, best_solution: 0,od: 0.2710, eqity: 3.5706,rad: 18.1553
epoch 40,  actor_loss: -7.1729,  critic_loss: 0.1505, cost_time: 0.4892, best_solution: 0,od: 0.2683, eqity: 2.2136,rad: 14.9777
epoch 41,  actor_loss: -9.3402,  critic_loss: 0.1414, cost_time: 0.4498, best_solution: 0,od: 0.0879, eqity: 1.6506,rad: 12.4848
epoch 42,  actor_loss: 18.3931,  critic_loss: 0.4988, cost_time: 0.5181, best_solution: 0,od: 0.9179, eqity: 3.6888,rad: 18.1553
epoch 43,  actor_loss: -5.6330,  critic_loss: 0.0662, cost_time: 0.5506, best_solution: 0,od: 0.1999, eqity: 1.9583,rad: 23.0867
epoch 44,  actor_loss: 36.4236,  critic_loss: 1.6140, cost_time: 0.4618, best_solution: 0,od: 1.4589, eqity: 5.5291,rad: 34.3734
tensor([79.1424]) tensor([78.8328])
epoch 45,  actor_loss: -3.2784,  critic_loss: 0.0690, cost_time: 0.3012, best_solution: 0,od: 0.1125, eqity: 0.9976,rad: 13.2605
