tensor(73712.)
epoch 0,  actor_loss: 152.5379,  critic_loss: 27.5252, cost_time: 0.5519, best_solution: 0,od: 5.5179, eqity: 7.0788,rad: 13.5890
tensor(100) tensor([59.5857])
epoch 1,  actor_loss: -286.4709,  critic_loss: 95.9898, cost_time: 0.5685, best_solution: 0,od: 3.0580, eqity: 3.6267,rad: 18.1010
epoch 2,  actor_loss: -106.0314,  critic_loss: 21.0256, cost_time: 0.3915, best_solution: 0,od: 0.3258, eqity: 1.7877,rad: 6.8686
epoch 3,  actor_loss: 506.7069,  critic_loss: 172.7790, cost_time: 0.5811, best_solution: 0,od: 9.6393, eqity: 6.4923,rad: 37.5511
tensor([59.5857]) tensor([56.2885])
epoch 4,  actor_loss: 357.5316,  critic_loss: 95.6241, cost_time: 0.5661, best_solution: 0,od: 6.4226, eqity: 6.6539,rad: 30.1974
epoch 5,  actor_loss: 109.0570,  critic_loss: 21.1221, cost_time: 0.3461, best_solution: 0,od: 2.3986, eqity: 3.1307,rad: 14.9777
epoch 6,  actor_loss: 58.4094,  critic_loss: 7.9633, cost_time: 0.4615, best_solution: 0,od: 3.3959, eqity: 6.1194,rad: 18.1553
epoch 7,  actor_loss: -155.2459,  critic_loss: 30.3559, cost_time: 0.5481, best_solution: 0,od: 1.0464, eqity: 4.1382,rad: 14.9777
epoch 8,  actor_loss: -131.5889,  critic_loss: 48.9738, cost_time: 0.3975, best_solution: 0,od: 0.3853, eqity: 1.2016,rad: 12.4848
epoch 9,  actor_loss: -96.9194,  critic_loss: 29.2064, cost_time: 0.3122, best_solution: 0,od: 0.9146, eqity: 2.3906,rad: 14.9777
epoch 10,  actor_loss: 158.4028,  critic_loss: 29.5897, cost_time: 0.6689, best_solution: 0,od: 8.8497, eqity: 6.5516,rad: 31.5861
epoch 11,  actor_loss: 63.1588,  critic_loss: 29.0660, cost_time: 0.3855, best_solution: 0,od: 5.0297, eqity: 6.2776,rad: 11.8718
epoch 12,  actor_loss: -70.2850,  critic_loss: 15.9512, cost_time: 0.4326, best_solution: 0,od: 1.6732, eqity: 2.9008,rad: 10.4331
epoch 13,  actor_loss: 17.7892,  critic_loss: 27.5554, cost_time: 0.4650, best_solution: 0,od: 4.0765, eqity: 4.2768,rad: 23.7715
epoch 14,  actor_loss: 66.3415,  critic_loss: 15.8918, cost_time: 0.5964, best_solution: 0,od: 5.4266, eqity: 5.5580,rad: 37.5511
epoch 15,  actor_loss: -68.4906,  critic_loss: 5.9524, cost_time: 0.4822, best_solution: 0,od: 1.1403, eqity: 4.5544,rad: 12.4848
epoch 16,  actor_loss: -0.5994,  critic_loss: 6.8721, cost_time: 0.5092, best_solution: 0,od: 2.1560, eqity: 1.9855,rad: 6.8686
epoch 17,  actor_loss: 111.9782,  critic_loss: 21.0789, cost_time: 0.5296, best_solution: 0,od: 4.1318, eqity: 4.8047,rad: 12.4848
epoch 18,  actor_loss: 11.1193,  critic_loss: 1.7786, cost_time: 0.5751, best_solution: 0,od: 1.6610, eqity: 2.6769,rad: 6.8686
epoch 19,  actor_loss: 62.1951,  critic_loss: 17.7992, cost_time: 0.5183, best_solution: 0,od: 3.5480, eqity: 5.0086,rad: 12.4848
epoch 20,  actor_loss: -55.6378,  critic_loss: 4.1565, cost_time: 0.5633, best_solution: 0,od: 0.2632, eqity: 1.6118,rad: 6.8686
epoch 21,  actor_loss: 126.2928,  critic_loss: 21.7896, cost_time: 0.6847, best_solution: 0,od: 5.4371, eqity: 7.1590,rad: 28.7029
epoch 22,  actor_loss: -6.9894,  critic_loss: 10.6125, cost_time: 0.5700, best_solution: 0,od: 2.3061, eqity: 2.0604,rad: 14.9777
