tensor(73712.)
epoch 0,  actor_loss: 173.5983,  critic_loss: 40.3166, cost_time: 0.4269, best_solution: 0,od: 2.9832, eqity: 4.9618,rad: 16.4382
tensor(100) tensor([76.0305])
epoch 1,  actor_loss: 16.4739,  critic_loss: 24.1265, cost_time: 0.4289, best_solution: 0,od: 3.8665, eqity: 6.2717,rad: 14.9777
tensor([76.0305]) tensor([74.9827])
epoch 2,  actor_loss: 47.2612,  critic_loss: 4.2771, cost_time: 0.4159, best_solution: 0,od: 1.8009, eqity: 3.0477,rad: 21.3696
epoch 3,  actor_loss: 38.6128,  critic_loss: 7.3123, cost_time: 0.4109, best_solution: 0,od: 2.3494, eqity: 5.2469,rad: 28.7029
epoch 4,  actor_loss: -69.8116,  critic_loss: 32.2825, cost_time: 0.3840, best_solution: 0,od: 2.5222, eqity: 4.1829,rad: 18.1553
epoch 5,  actor_loss: -114.2034,  critic_loss: 37.6975, cost_time: 0.3690, best_solution: 0,od: 0.6198, eqity: 2.8660,rad: 5.1515
epoch 6,  actor_loss: -89.3927,  critic_loss: 23.5786, cost_time: 0.3142, best_solution: 0,od: 0.2107, eqity: 1.3959,rad: 6.8686
epoch 7,  actor_loss: -37.0889,  critic_loss: 4.8013, cost_time: 0.2842, best_solution: 0,od: 0.1617, eqity: 1.0730,rad: 5.1515
epoch 8,  actor_loss: 68.4543,  critic_loss: 8.2820, cost_time: 0.4717, best_solution: 0,od: 1.1740, eqity: 3.8937,rad: 6.8686
epoch 9,  actor_loss: 74.9575,  critic_loss: 18.1760, cost_time: 0.3570, best_solution: 0,od: 2.4429, eqity: 3.6786,rad: 14.9777
epoch 10,  actor_loss: 70.4864,  critic_loss: 17.0170, cost_time: 0.4358, best_solution: 0,od: 3.0867, eqity: 4.2130,rad: 6.6045
epoch 11,  actor_loss: 221.8846,  critic_loss: 46.4822, cost_time: 0.4678, best_solution: 0,od: 5.8068, eqity: 8.5770,rad: 34.3734
tensor([74.9827]) tensor([73.1384])
epoch 12,  actor_loss: 174.9622,  critic_loss: 55.0368, cost_time: 0.4737, best_solution: 0,od: 7.1860, eqity: 7.8950,rad: 29.4420
