tensor(73712.)
epoch 0,  actor_loss: 47.2489,  critic_loss: 5.5529, cost_time: 1.2250, best_solution: 0,od: 3.3934, eqity: 4.6369,rad: 19.5697
tensor(100, device='cuda:0') tensor([45.2852], device='cuda:0')
epoch 1,  actor_loss: -765.3925,  critic_loss: 399.2161, cost_time: 0.8534, best_solution: 0,od: 3.9660, eqity: 6.6777,rad: 20.6210
tensor([45.2852], device='cuda:0') tensor([44.8272], device='cuda:0')
epoch 2,  actor_loss: -392.4070,  critic_loss: 251.2329, cost_time: 0.6021, best_solution: 0,od: 1.4956, eqity: 2.9030,rad: 17.9809
epoch 3,  actor_loss: -146.4707,  critic_loss: 40.4727, cost_time: 0.6162, best_solution: 0,od: 2.1936, eqity: 3.4881,rad: 19.3746
epoch 4,  actor_loss: 88.6119,  critic_loss: 19.5743, cost_time: 0.7245, best_solution: 0,od: 3.0004, eqity: 3.2232,rad: 18.1736
epoch 5,  actor_loss: 108.2874,  critic_loss: 24.8451, cost_time: 0.6751, best_solution: 0,od: 3.3687, eqity: 4.3242,rad: 14.2833
epoch 6,  actor_loss: -6.1390,  critic_loss: 0.9769, cost_time: 0.5910, best_solution: 0,od: 0.8696, eqity: 1.5465,rad: 6.8686
epoch 7,  actor_loss: 66.3941,  critic_loss: 10.8010, cost_time: 0.5984, best_solution: 0,od: 2.3332, eqity: 4.2156,rad: 14.2833
epoch 8,  actor_loss: 177.8174,  critic_loss: 24.5952, cost_time: 0.8515, best_solution: 0,od: 6.0943, eqity: 5.9031,rad: 30.3189
tensor([44.8272], device='cuda:0') tensor([43.1246], device='cuda:0')
epoch 9,  actor_loss: -68.2507,  critic_loss: 6.9393, cost_time: 0.6642, best_solution: 0,od: 0.9837, eqity: 3.4284,rad: 6.8686
epoch 10,  actor_loss: -15.2658,  critic_loss: 5.4368, cost_time: 0.6971, best_solution: 0,od: 2.5563, eqity: 2.8013,rad: 28.7029
epoch 11,  actor_loss: 46.9443,  critic_loss: 9.5231, cost_time: 0.6734, best_solution: 0,od: 3.4816, eqity: 4.4696,rad: 29.0724
epoch 12,  actor_loss: 15.1821,  critic_loss: 2.3525, cost_time: 0.5881, best_solution: 0,od: 2.4944, eqity: 4.1652,rad: 22.2281
epoch 13,  actor_loss: 80.4082,  critic_loss: 13.1521, cost_time: 0.6311, best_solution: 0,od: 3.5819, eqity: 4.3216,rad: 19.0322
epoch 14,  actor_loss: -14.1323,  critic_loss: 1.4518, cost_time: 0.6383, best_solution: 0,od: 1.2253, eqity: 1.7856,rad: 15.1909
epoch 15,  actor_loss: 49.2693,  critic_loss: 7.6818, cost_time: 0.7282, best_solution: 0,od: 3.0395, eqity: 4.1545,rad: 20.9634
epoch 16,  actor_loss: 25.3315,  critic_loss: 4.3055, cost_time: 0.6944, best_solution: 0,od: 2.3353, eqity: 3.4624,rad: 19.0322
epoch 17,  actor_loss: 19.6328,  critic_loss: 3.4749, cost_time: 0.6075, best_solution: 0,od: 2.8740, eqity: 4.0870,rad: 22.0354
epoch 18,  actor_loss: -46.7035,  critic_loss: 5.6269, cost_time: 0.5037, best_solution: 0,od: 1.0930, eqity: 2.5323,rad: 10.0646
epoch 19,  actor_loss: -68.1098,  critic_loss: 7.1390, cost_time: 0.6344, best_solution: 0,od: 1.2604, eqity: 2.6004,rad: 6.8686
epoch 20,  actor_loss: -63.4303,  critic_loss: 5.9759, cost_time: 0.7767, best_solution: 0,od: 1.2064, eqity: 2.4756,rad: 16.5393
epoch 21,  actor_loss: 93.2418,  critic_loss: 10.9438, cost_time: 0.7410, best_solution: 0,od: 5.6066, eqity: 6.2796,rad: 32.0902
epoch 22,  actor_loss: 43.9502,  critic_loss: 4.2806, cost_time: 0.7485, best_solution: 0,od: 4.0799, eqity: 6.4289,rad: 27.1412
epoch 23,  actor_loss: -35.4440,  critic_loss: 6.1577, cost_time: 0.6369, best_solution: 0,od: 1.4657, eqity: 2.1086,rad: 19.3474
epoch 24,  actor_loss: 8.0931,  critic_loss: 8.1522, cost_time: 0.7202, best_solution: 0,od: 3.1311, eqity: 3.8915,rad: 16.5665
epoch 25,  actor_loss: 50.5168,  critic_loss: 12.4872, cost_time: 0.6132, best_solution: 0,od: 3.4249, eqity: 4.9260,rad: 19.7624
epoch 26,  actor_loss: 17.0131,  critic_loss: 5.2032, cost_time: 0.6659, best_solution: 0,od: 3.0348, eqity: 4.1652,rad: 14.2833
epoch 27,  actor_loss: -48.0906,  critic_loss: 2.7455, cost_time: 0.6401, best_solution: 0,od: 0.6652, eqity: 3.5706,rad: 9.6767
