epoch 0,  actor_loss: 104.6267,  critic_loss: 1410.0139, cost_time: 2.8255, best_solution: 0,od: 1.7082, eqity: 2.3737,rad: 13.4356
tensor(100, device='cuda:0') tensor([78.6334], device='cuda:0')
epoch 1,  actor_loss: -525.4578,  critic_loss: 5472.1372, cost_time: 2.4912, best_solution: 0,od: 2.4844, eqity: 3.1142,rad: 22.2281
tensor([78.6334], device='cuda:0') tensor([78.0125], device='cuda:0')
epoch 2,  actor_loss: -178.0868,  critic_loss: 785.7753, cost_time: 3.1730, best_solution: 0,od: 3.0641, eqity: 4.8201,rad: 12.8727
tensor([78.0125], device='cuda:0') tensor([77.5487], device='cuda:0')
epoch 3,  actor_loss: 192.3224,  critic_loss: 1434.5548, cost_time: 3.0329, best_solution: 0,od: 1.9757, eqity: 4.4173,rad: 10.9231
epoch 4,  actor_loss: 106.2944,  critic_loss: 1319.8644, cost_time: 2.7484, best_solution: 0,od: 2.1202, eqity: 2.6327,rad: 11.6534
epoch 5,  actor_loss: -60.3312,  critic_loss: 979.1341, cost_time: 2.9549, best_solution: 0,od: 2.6281, eqity: 3.4062,rad: 12.5120
epoch 6,  actor_loss: -61.8349,  critic_loss: 2115.4946, cost_time: 3.7676, best_solution: 0,od: 3.1742, eqity: 5.4857,rad: 24.6755
tensor([77.5487], device='cuda:0') tensor([77.4606], device='cuda:0')
epoch 7,  actor_loss: -132.5600,  critic_loss: 619.8950, cost_time: 2.7448, best_solution: 0,od: 1.3456, eqity: 3.0208,rad: 9.6767
epoch 8,  actor_loss: 31.0401,  critic_loss: 1964.2832, cost_time: 3.1550, best_solution: 0,od: 5.7513, eqity: 5.9241,rad: 23.4291
tensor([77.4606], device='cuda:0') tensor([75.3990], device='cuda:0')
epoch 9,  actor_loss: -84.4249,  critic_loss: 925.8522, cost_time: 2.6432, best_solution: 0,od: 2.5090, eqity: 3.3374,rad: 10.0646
epoch 10,  actor_loss: -153.1143,  critic_loss: 885.3335, cost_time: 2.7810, best_solution: 0,od: 1.0556, eqity: 2.6278,rad: 13.7312
epoch 11,  actor_loss: -96.7164,  critic_loss: 777.8968, cost_time: 3.3859, best_solution: 0,od: 1.8603, eqity: 3.6831,rad: 13.7312
epoch 12,  actor_loss: -29.2837,  critic_loss: 126.2092, cost_time: 2.4028, best_solution: 0,od: 1.3157, eqity: 2.8779,rad: 4.2929
epoch 13,  actor_loss: 17.7938,  critic_loss: 679.2012, cost_time: 2.4586, best_solution: 0,od: 1.0181, eqity: 2.0304,rad: 10.9231
epoch 14,  actor_loss: 58.6728,  critic_loss: 786.4814, cost_time: 2.7159, best_solution: 0,od: 2.3287, eqity: 2.3224,rad: 10.9231
epoch 15,  actor_loss: -49.6637,  critic_loss: 95.1565, cost_time: 2.9536, best_solution: 0,od: 0.4985, eqity: 2.6834,rad: 6.0100
epoch 16,  actor_loss: 1.8774,  critic_loss: 520.6481, cost_time: 2.2143, best_solution: 0,od: 1.9375, eqity: 2.3157,rad: 9.3702
epoch 17,  actor_loss: 26.5906,  critic_loss: 1676.6675, cost_time: 2.5514, best_solution: 0,od: 2.9276, eqity: 3.4669,rad: 17.6574
epoch 18,  actor_loss: -47.3601,  critic_loss: 609.8652, cost_time: 2.2643, best_solution: 0,od: 0.9097, eqity: 1.6168,rad: 10.9231
epoch 19,  actor_loss: 87.4330,  critic_loss: 2679.1587, cost_time: 3.4668, best_solution: 0,od: 5.6347, eqity: 5.8009,rad: 25.4058
epoch 20,  actor_loss: -96.0120,  critic_loss: 241.5467, cost_time: 2.9732, best_solution: 0,od: 0.2709, eqity: 1.3030,rad: 6.0100
epoch 21,  actor_loss: -23.2608,  critic_loss: 1411.8593, cost_time: 2.8491, best_solution: 0,od: 2.9423, eqity: 4.3618,rad: 16.5665
epoch 22,  actor_loss: 0.0296,  critic_loss: 1427.8547, cost_time: 3.2513, best_solution: 0,od: 4.2804, eqity: 4.8955,rad: 16.5665
epoch 23,  actor_loss: -110.5239,  critic_loss: 1214.4659, cost_time: 2.6246, best_solution: 0,od: 2.1289, eqity: 2.8757,rad: 11.6534
epoch 24,  actor_loss: -154.2900,  critic_loss: 979.4944, cost_time: 2.6218, best_solution: 0,od: 0.5557, eqity: 1.1032,rad: 10.9231
epoch 25,  actor_loss: -74.4016,  critic_loss: 1586.9375, cost_time: 2.2134, best_solution: 0,od: 2.8918, eqity: 3.2829,rad: 13.1322
epoch 26,  actor_loss: -162.9955,  critic_loss: 294.9453, cost_time: 2.8810, best_solution: 0,od: 0.5077, eqity: 3.3492,rad: 6.8686
epoch 27,  actor_loss: -88.8736,  critic_loss: 975.7255, cost_time: 2.9180, best_solution: 0,od: 1.8620, eqity: 4.3011,rad: 14.9777
epoch 28,  actor_loss: -33.9724,  critic_loss: 1443.9680, cost_time: 3.4155, best_solution: 0,od: 3.1278, eqity: 3.8135,rad: 19.0322
epoch 29,  actor_loss: -118.2939,  critic_loss: 364.2833, cost_time: 2.4495, best_solution: 0,od: 0.2021, eqity: 0.5417,rad: 6.0100
epoch 30,  actor_loss: -71.6017,  critic_loss: 1050.7969, cost_time: 3.2012, best_solution: 0,od: 2.9217, eqity: 4.9997,rad: 11.6534
epoch 31,  actor_loss: -65.9574,  critic_loss: 133.3975, cost_time: 3.3491, best_solution: 0,od: 1.4090, eqity: 3.3701,rad: 6.8686
epoch 32,  actor_loss: 23.8836,  critic_loss: 1616.8326, cost_time: 3.0094, best_solution: 0,od: 2.3476, eqity: 3.7933,rad: 19.0322
epoch 33,  actor_loss: 107.2524,  critic_loss: 2683.3042, cost_time: 3.0706, best_solution: 0,od: 4.5093, eqity: 6.8495,rad: 24.6755
epoch 34,  actor_loss: 41.9870,  critic_loss: 1175.3193, cost_time: 3.2191, best_solution: 0,od: 2.8309, eqity: 3.7318,rad: 14.9777
epoch 35,  actor_loss: 3.8001,  critic_loss: 1417.2369, cost_time: 3.4108, best_solution: 0,od: 3.0728, eqity: 4.2577,rad: 16.5665
epoch 36,  actor_loss: -66.8607,  critic_loss: 1083.8130, cost_time: 2.5598, best_solution: 0,od: 1.9991, eqity: 2.7100,rad: 12.5120
epoch 37,  actor_loss: -130.5601,  critic_loss: 764.3654, cost_time: 3.2505, best_solution: 0,od: 2.6711, eqity: 7.3487,rad: 10.0646
epoch 38,  actor_loss: -69.1452,  critic_loss: 1773.6239, cost_time: 2.7942, best_solution: 0,od: 3.8755, eqity: 5.5297,rad: 19.9576
epoch 39,  actor_loss: -94.7529,  critic_loss: 757.7627, cost_time: 2.6679, best_solution: 0,od: 2.3849, eqity: 3.6252,rad: 10.0646
epoch 40,  actor_loss: -126.9364,  critic_loss: 1015.4278, cost_time: 3.2544, best_solution: 0,od: 1.4544, eqity: 3.3854,rad: 14.9777
epoch 41,  actor_loss: -83.2082,  critic_loss: 558.7334, cost_time: 3.3308, best_solution: 0,od: 0.8871, eqity: 1.8312,rad: 10.9231
epoch 42,  actor_loss: 65.5221,  critic_loss: 1136.4031, cost_time: 2.5485, best_solution: 0,od: 3.6648, eqity: 3.8626,rad: 9.9362
epoch 43,  actor_loss: 49.0412,  critic_loss: 1603.7590, cost_time: 3.0593, best_solution: 0,od: 3.8225, eqity: 5.1744,rad: 19.0322
epoch 44,  actor_loss: -21.0792,  critic_loss: 813.7758, cost_time: 3.2394, best_solution: 0,od: 2.2499, eqity: 3.1700,rad: 13.7312
epoch 45,  actor_loss: -29.3759,  critic_loss: 1113.8855, cost_time: 3.3838, best_solution: 0,od: 3.6013, eqity: 5.0692,rad: 11.6534
epoch 46,  actor_loss: -136.2338,  critic_loss: 798.5994, cost_time: 2.5802, best_solution: 0,od: 1.2274, eqity: 2.2490,rad: 10.0646
epoch 47,  actor_loss: -160.5804,  critic_loss: 696.9990, cost_time: 3.1049, best_solution: 0,od: 0.7887, eqity: 2.5851,rad: 10.9231
epoch 48,  actor_loss: -59.1019,  critic_loss: 596.3240, cost_time: 2.6245, best_solution: 0,od: 2.2681, eqity: 3.2091,rad: 10.0646
epoch 49,  actor_loss: -0.1574,  critic_loss: 1266.1543, cost_time: 2.8886, best_solution: 0,od: 2.3478, eqity: 2.9494,rad: 15.3201
epoch 50,  actor_loss: -16.5137,  critic_loss: 611.3010, cost_time: 2.8637, best_solution: 0,od: 1.6348, eqity: 3.3105,rad: 10.9231
epoch 51,  actor_loss: 91.9797,  critic_loss: 2943.6853, cost_time: 3.2372, best_solution: 0,od: 4.8316, eqity: 5.2813,rad: 26.2644
epoch 52,  actor_loss: 24.3775,  critic_loss: 1965.9357, cost_time: 3.1314, best_solution: 0,od: 3.5177, eqity: 5.8839,rad: 20.6210
epoch 53,  actor_loss: 21.2261,  critic_loss: 1446.9270, cost_time: 2.8776, best_solution: 0,od: 3.9155, eqity: 3.1638,rad: 15.7079
epoch 54,  actor_loss: -86.5345,  critic_loss: 1050.2460, cost_time: 3.0899, best_solution: 0,od: 3.6501, eqity: 4.0893,rad: 14.9777
epoch 55,  actor_loss: -173.1385,  critic_loss: 703.3787, cost_time: 2.5399, best_solution: 0,od: 1.1865, eqity: 3.0209,rad: 8.8181
epoch 56,  actor_loss: -111.9848,  critic_loss: 1520.1082, cost_time: 3.2483, best_solution: 0,od: 4.2665, eqity: 5.7512,rad: 19.3746
epoch 57,  actor_loss: -175.7338,  critic_loss: 755.7537, cost_time: 2.6934, best_solution: 0,od: 0.9728, eqity: 3.0409,rad: 10.9231
epoch 58,  actor_loss: -101.8091,  critic_loss: 540.3079, cost_time: 3.5714, best_solution: 0,od: 3.2628, eqity: 6.2859,rad: 9.3702
epoch 59,  actor_loss: -62.7439,  critic_loss: 386.5922, cost_time: 3.0478, best_solution: 0,od: 1.7841, eqity: 3.2188,rad: 9.6767
epoch 60,  actor_loss: -15.3772,  critic_loss: 1085.8201, cost_time: 3.2139, best_solution: 0,od: 1.6066, eqity: 3.0453,rad: 14.9777
epoch 61,  actor_loss: 202.7785,  critic_loss: 2392.4976, cost_time: 4.1311, best_solution: 0,od: 6.8398, eqity: 9.0896,rad: 20.8162
tensor([75.3990], device='cuda:0') tensor([74.5282], device='cuda:0')
epoch 62,  actor_loss: 150.2230,  critic_loss: 2661.7991, cost_time: 3.5918, best_solution: 0,od: 5.7283, eqity: 5.8386,rad: 22.2098
