epoch 0,  actor_loss: 107.2698,  critic_loss: 46.6075, cost_time: 1.0313, best_solution: 0,od: 2.5772, eqity: 4.3108,rad: 15.9031
tensor(100) tensor([76.5514])
epoch 1,  actor_loss: -889.0022,  critic_loss: 1191.0525, cost_time: 1.2886, best_solution: 0,od: 2.2888, eqity: 5.8963,rad: 22.4033
tensor([76.5514]) tensor([75.2830])
epoch 2,  actor_loss: -282.1439,  critic_loss: 80.9508, cost_time: 1.0422, best_solution: 0,od: 2.5029, eqity: 5.0733,rad: 27.4836
epoch 3,  actor_loss: 266.3539,  critic_loss: 175.7297, cost_time: 1.0861, best_solution: 0,od: 1.2394, eqity: 2.9438,rad: 15.5135
epoch 4,  actor_loss: 216.2145,  critic_loss: 104.7620, cost_time: 1.2477, best_solution: 0,od: 2.3855, eqity: 4.2586,rad: 20.9634
epoch 5,  actor_loss: -69.2126,  critic_loss: 34.9430, cost_time: 1.0163, best_solution: 0,od: 1.7062, eqity: 3.3413,rad: 14.9777
epoch 6,  actor_loss: 13.5918,  critic_loss: 29.8962, cost_time: 1.0452, best_solution: 0,od: 1.4407, eqity: 3.5001,rad: 16.5665
epoch 7,  actor_loss: -97.4755,  critic_loss: 20.5309, cost_time: 0.9624, best_solution: 0,od: 0.4864, eqity: 1.9333,rad: 9.6767
epoch 8,  actor_loss: 116.8240,  critic_loss: 57.8883, cost_time: 1.1150, best_solution: 0,od: 2.4592, eqity: 7.0809,rad: 34.0039
tensor([75.2830]) tensor([74.3352])
epoch 9,  actor_loss: -79.0649,  critic_loss: 12.8497, cost_time: 0.9594, best_solution: 0,od: 0.4348, eqity: 2.0811,rad: 12.7054
epoch 10,  actor_loss: -26.4551,  critic_loss: 9.3680, cost_time: 1.1629, best_solution: 0,od: 0.7861, eqity: 2.3886,rad: 10.9231
epoch 11,  actor_loss: 120.0670,  critic_loss: 42.9056, cost_time: 1.4551, best_solution: 0,od: 2.1222, eqity: 4.3656,rad: 23.0867
epoch 12,  actor_loss: 75.7894,  critic_loss: 28.8353, cost_time: 1.1460, best_solution: 0,od: 1.4372, eqity: 3.0543,rad: 18.3378
epoch 13,  actor_loss: 41.0449,  critic_loss: 11.5256, cost_time: 1.5279, best_solution: 0,od: 0.8567, eqity: 3.5139,rad: 14.9777
epoch 14,  actor_loss: -23.4426,  critic_loss: 28.6753, cost_time: 1.7065, best_solution: 0,od: 1.0410, eqity: 4.4026,rad: 16.5665
epoch 15,  actor_loss: -63.4596,  critic_loss: 15.4996, cost_time: 1.2178, best_solution: 0,od: 1.1766, eqity: 4.9893,rad: 15.7086
