epoch 0,  actor_loss: -1.3826,  critic_loss: 6.9289, cost_time: 0.9913, best_solution: 0,od: 1.2013, eqity: 2.8326,rad: 13.0678
tensor(100) tensor([79.0390])
epoch 1,  actor_loss: -1284.0001,  critic_loss: 3139.5071, cost_time: 1.1311, best_solution: 0,od: 1.6402, eqity: 2.1036,rad: 11.1183
tensor([79.0390]) tensor([78.6878])
epoch 2,  actor_loss: -335.3951,  critic_loss: 175.1867, cost_time: 1.1600, best_solution: 0,od: 1.9660, eqity: 3.7897,rad: 16.5393
tensor([78.6878]) tensor([78.4272])
epoch 3,  actor_loss: 476.8840,  critic_loss: 672.5421, cost_time: 1.0390, best_solution: 0,od: 1.2231, eqity: 2.6382,rad: 19.7624
epoch 4,  actor_loss: 487.4370,  critic_loss: 337.5580, cost_time: 1.3425, best_solution: 0,od: 3.3707, eqity: 6.1931,rad: 20.6210
tensor([78.4272]) tensor([77.3034])
epoch 5,  actor_loss: -29.6995,  critic_loss: 25.2284, cost_time: 1.1819, best_solution: 0,od: 2.9300, eqity: 4.3116,rad: 19.0322
epoch 6,  actor_loss: -537.6122,  critic_loss: 165.9355, cost_time: 1.3404, best_solution: 0,od: 4.4311, eqity: 8.5213,rad: 34.7158
tensor([77.3034]) tensor([76.4552])
epoch 7,  actor_loss: -458.2866,  critic_loss: 177.1728, cost_time: 1.4477, best_solution: 0,od: 2.0127, eqity: 4.7644,rad: 13.7312
epoch 8,  actor_loss: -77.3791,  critic_loss: 18.7942, cost_time: 1.2435, best_solution: 0,od: 1.2325, eqity: 2.3623,rad: 19.3746
epoch 9,  actor_loss: 330.1636,  critic_loss: 220.8527, cost_time: 1.1361, best_solution: 0,od: 2.5496, eqity: 5.3151,rad: 23.1072
epoch 10,  actor_loss: 340.8760,  critic_loss: 190.1493, cost_time: 1.3031, best_solution: 0,od: 1.9151, eqity: 3.3276,rad: 12.5120
epoch 11,  actor_loss: 208.4796,  critic_loss: 92.8407, cost_time: 1.1723, best_solution: 0,od: 1.2230, eqity: 2.5274,rad: 14.9777
epoch 12,  actor_loss: 92.0318,  critic_loss: 41.0035, cost_time: 1.6515, best_solution: 0,od: 1.8233, eqity: 3.9806,rad: 20.6210
epoch 13,  actor_loss: -110.0166,  critic_loss: 18.6696, cost_time: 2.3519, best_solution: 0,od: 1.9679, eqity: 4.1538,rad: 14.9777
epoch 14,  actor_loss: -184.2820,  critic_loss: 19.5907, cost_time: 2.2503, best_solution: 0,od: 1.4201, eqity: 5.7462,rad: 13.8667
epoch 15,  actor_loss: -13.9548,  critic_loss: 11.7096, cost_time: 1.7520, best_solution: 0,od: 3.1897, eqity: 4.7279,rad: 10.9231
epoch 16,  actor_loss: 114.0887,  critic_loss: 22.6709, cost_time: 2.1334, best_solution: 0,od: 2.6658, eqity: 4.8442,rad: 13.7312
epoch 17,  actor_loss: 81.4786,  critic_loss: 32.4628, cost_time: 1.2751, best_solution: 0,od: 1.6136, eqity: 3.0616,rad: 24.8690
epoch 18,  actor_loss: -9.7518,  critic_loss: 6.5973, cost_time: 1.0781, best_solution: 0,od: 0.7890, eqity: 2.2657,rad: 17.7858
epoch 19,  actor_loss: -65.8842,  critic_loss: 10.4902, cost_time: 1.2324, best_solution: 0,od: 2.4907, eqity: 3.2780,rad: 22.1827
epoch 20,  actor_loss: -147.4559,  critic_loss: 20.4426, cost_time: 1.2101, best_solution: 0,od: 3.3719, eqity: 4.7839,rad: 12.5120
epoch 21,  actor_loss: -286.9361,  critic_loss: 16.0306, cost_time: 1.1095, best_solution: 0,od: 2.0129, eqity: 3.2462,rad: 19.7624
epoch 22,  actor_loss: -249.6521,  critic_loss: 3.9805, cost_time: 1.2318, best_solution: 0,od: 2.5512, eqity: 5.1492,rad: 16.9272
epoch 23,  actor_loss: -178.5731,  critic_loss: 19.0661, cost_time: 1.3936, best_solution: 0,od: 2.0099, eqity: 4.0450,rad: 21.8403
epoch 24,  actor_loss: -147.3021,  critic_loss: 32.0369, cost_time: 1.3055, best_solution: 0,od: 0.9270, eqity: 2.3927,rad: 9.6767
epoch 25,  actor_loss: -148.1043,  critic_loss: 37.6900, cost_time: 1.0934, best_solution: 0,od: 1.0756, eqity: 1.9177,rad: 12.5120
epoch 26,  actor_loss: -190.9077,  critic_loss: 36.9916, cost_time: 1.2940, best_solution: 0,od: 3.2516, eqity: 4.8946,rad: 26.2644
epoch 27,  actor_loss: -284.0531,  critic_loss: 18.7901, cost_time: 1.2481, best_solution: 0,od: 3.7442, eqity: 4.6326,rad: 18.1553
epoch 28,  actor_loss: -384.6931,  critic_loss: 2.5444, cost_time: 1.1887, best_solution: 0,od: 1.1315, eqity: 2.0482,rad: 19.3746
epoch 29,  actor_loss: -511.8300,  critic_loss: 4.2286, cost_time: 1.4844, best_solution: 0,od: 1.7100, eqity: 4.4105,rad: 10.9231
epoch 30,  actor_loss: -371.1017,  critic_loss: 1.7149, cost_time: 1.2921, best_solution: 0,od: 1.2553, eqity: 2.0412,rad: 12.8727
epoch 31,  actor_loss: -481.8784,  critic_loss: 4.6394, cost_time: 1.7624, best_solution: 0,od: 3.0596, eqity: 7.2094,rad: 22.1035
epoch 32,  actor_loss: -323.3169,  critic_loss: 9.5524, cost_time: 1.4183, best_solution: 0,od: 2.7963, eqity: 4.8844,rad: 23.4291
epoch 33,  actor_loss: -442.7401,  critic_loss: 4.0975, cost_time: 1.3774, best_solution: 0,od: 1.9004, eqity: 4.3161,rad: 14.2942
epoch 34,  actor_loss: -402.0282,  critic_loss: 0.6220, cost_time: 1.1744, best_solution: 0,od: 1.6895, eqity: 3.8574,rad: 20.5938
epoch 35,  actor_loss: -565.7337,  critic_loss: 4.1962, cost_time: 1.2604, best_solution: 0,od: 2.0437, eqity: 3.4993,rad: 19.0322
epoch 36,  actor_loss: -734.2904,  critic_loss: 2.7085, cost_time: 1.3387, best_solution: 0,od: 3.5408, eqity: 6.0936,rad: 32.2854
epoch 37,  actor_loss: -625.4142,  critic_loss: 0.0232, cost_time: 1.0962, best_solution: 0,od: 0.4713, eqity: 1.6806,rad: 6.8686
epoch 38,  actor_loss: -702.2049,  critic_loss: 2.1618, cost_time: 1.2375, best_solution: 0,od: 3.2534, eqity: 3.1853,rad: 24.6755
epoch 39,  actor_loss: -905.8343,  critic_loss: 1.9370, cost_time: 1.3338, best_solution: 0,od: 2.1469, eqity: 6.0482,rad: 23.2819
epoch 40,  actor_loss: -923.1637,  critic_loss: 0.3183, cost_time: 1.4040, best_solution: 0,od: 3.7337, eqity: 6.7813,rad: 24.8707
epoch 41,  actor_loss: -861.6280,  critic_loss: 1.5579, cost_time: 1.3109, best_solution: 0,od: 2.6673, eqity: 6.1374,rad: 23.2819
epoch 42,  actor_loss: -667.8248,  critic_loss: 1.5895, cost_time: 1.2786, best_solution: 0,od: 1.6834, eqity: 4.2552,rad: 17.7858
epoch 43,  actor_loss: -566.0490,  critic_loss: 0.2567, cost_time: 1.1779, best_solution: 0,od: 0.9061, eqity: 2.5316,rad: 14.9777
epoch 44,  actor_loss: -563.0952,  critic_loss: 2.4375, cost_time: 1.4521, best_solution: 0,od: 2.1085, eqity: 5.0335,rad: 23.4291
epoch 45,  actor_loss: -544.3134,  critic_loss: 1.7048, cost_time: 1.3544, best_solution: 0,od: 1.8905, eqity: 4.3758,rad: 21.8403
epoch 46,  actor_loss: -393.4251,  critic_loss: 4.9336, cost_time: 1.0743, best_solution: 0,od: 2.9703, eqity: 4.5004,rad: 19.7624
epoch 47,  actor_loss: -484.7095,  critic_loss: 0.4547, cost_time: 1.1998, best_solution: 0,od: 3.1630, eqity: 5.2673,rad: 17.7858
epoch 48,  actor_loss: -630.3369,  critic_loss: 0.8904, cost_time: 1.1216, best_solution: 0,od: 0.8976, eqity: 2.9611,rad: 10.9231
epoch 49,  actor_loss: -811.0443,  critic_loss: 1.0136, cost_time: 1.1786, best_solution: 0,od: 2.0379, eqity: 2.8145,rad: 22.0354
epoch 50,  actor_loss: -1008.6097,  critic_loss: 3.4889, cost_time: 1.2502, best_solution: 0,od: 3.3528, eqity: 6.4665,rad: 27.3364
epoch 51,  actor_loss: -906.5173,  critic_loss: 0.3854, cost_time: 1.1049, best_solution: 0,od: 0.7344, eqity: 2.0195,rad: 6.8686
epoch 52,  actor_loss: -1151.1516,  critic_loss: 0.6857, cost_time: 1.4344, best_solution: 0,od: 1.2506, eqity: 3.3646,rad: 10.9231
