epoch 0,  actor_loss: 165.0232,  critic_loss: 75.0583, cost_time: 2.7627, best_solution: 0,od: 1.8698, eqity: 4.0693,rad: 19.2963
1.8697850732132792 4.069314503669739 19.296339416503905
epoch 1,  actor_loss: -2567.9797,  critic_loss: 8206.2881, cost_time: 2.2264, best_solution: [9.94017219543457],od: 1.0596, eqity: 4.4254,rad: 13.3559
epoch 2,  actor_loss: -983.6496,  critic_loss: 1211.1030, cost_time: 1.8544, best_solution: [9.94017219543457],od: 1.2360, eqity: 4.2685,rad: 24.3578
1.2359724781941623 4.268534398078918 24.35777473449707
epoch 3,  actor_loss: 248.4784,  critic_loss: 115.1925, cost_time: 1.2746, best_solution: [12.000974655151367],od: 0.6689, eqity: 2.5933,rad: 9.1151
epoch 4,  actor_loss: 39.6562,  critic_loss: 3.3845, cost_time: 1.5110, best_solution: [12.000974655151367],od: 1.1508, eqity: 4.1894,rad: 6.8686
epoch 5,  actor_loss: -154.7470,  critic_loss: 127.7091, cost_time: 1.6935, best_solution: [12.000974655151367],od: 2.3058, eqity: 6.3927,rad: 26.6042
2.305781989754178 6.392709481716156 26.604245948791505
epoch 6,  actor_loss: -229.9681,  critic_loss: 114.4178, cost_time: 1.8780, best_solution: [14.068632125854492],od: 1.6284, eqity: 4.0358,rad: 12.4670
epoch 7,  actor_loss: 233.3754,  critic_loss: 98.0489, cost_time: 1.7719, best_solution: [14.068632125854492],od: 2.4334, eqity: 4.5816,rad: 20.4273
epoch 8,  actor_loss: 114.1163,  critic_loss: 58.7879, cost_time: 2.7457, best_solution: [14.068632125854492],od: 2.1147, eqity: 3.8511,rad: 16.5995
epoch 9,  actor_loss: 127.0987,  critic_loss: 52.5883, cost_time: 2.3073, best_solution: [14.068632125854492],od: 2.4346, eqity: 7.0459,rad: 22.2457
epoch 10,  actor_loss: -145.2049,  critic_loss: 118.3511, cost_time: 1.6576, best_solution: [14.068632125854492],od: 1.9043, eqity: 5.6143,rad: 12.8251
epoch 11,  actor_loss: -67.7278,  critic_loss: 106.3609, cost_time: 1.5249, best_solution: [14.068632125854492],od: 1.8987, eqity: 3.8858,rad: 22.3852
epoch 12,  actor_loss: 35.5578,  critic_loss: 57.2924, cost_time: 1.5279, best_solution: [14.068632125854492],od: 2.5621, eqity: 4.3234,rad: 26.0488
epoch 13,  actor_loss: -126.7323,  critic_loss: 48.5012, cost_time: 1.3235, best_solution: [14.068632125854492],od: 0.8665, eqity: 3.1187,rad: 13.7845
epoch 14,  actor_loss: -12.9272,  critic_loss: 41.7490, cost_time: 1.5628, best_solution: [14.068632125854492],od: 2.0239, eqity: 5.0729,rad: 13.3559
epoch 15,  actor_loss: 250.6874,  critic_loss: 109.2557, cost_time: 1.5110, best_solution: [14.068632125854492],od: 1.4777, eqity: 4.9139,rad: 17.8705
epoch 16,  actor_loss: 316.4517,  critic_loss: 159.3554, cost_time: 1.4432, best_solution: [14.068632125854492],od: 2.5930, eqity: 4.2865,rad: 23.3606
epoch 17,  actor_loss: 299.9015,  critic_loss: 143.1068, cost_time: 1.3145, best_solution: [14.068632125854492],od: 2.0601, eqity: 5.6382,rad: 26.3303
epoch 18,  actor_loss: 150.7605,  critic_loss: 68.6430, cost_time: 1.5608, best_solution: [14.068632125854492],od: 1.6084, eqity: 4.9706,rad: 22.0896
epoch 19,  actor_loss: -49.3357,  critic_loss: 74.3459, cost_time: 2.0008, best_solution: [14.068632125854492],od: 3.1092, eqity: 5.7250,rad: 20.1170
epoch 20,  actor_loss: -71.6284,  critic_loss: 80.3380, cost_time: 2.0229, best_solution: [14.068632125854492],od: 1.8607, eqity: 5.3842,rad: 18.1591
epoch 21,  actor_loss: 33.8577,  critic_loss: 54.0714, cost_time: 1.9808, best_solution: [14.068632125854492],od: 3.3927, eqity: 6.8148,rad: 22.5312
epoch 22,  actor_loss: 62.4543,  critic_loss: 82.1733, cost_time: 1.5867, best_solution: [14.068632125854492],od: 2.2576, eqity: 5.7524,rad: 19.2977
epoch 23,  actor_loss: 107.1464,  critic_loss: 82.2493, cost_time: 1.5804, best_solution: [14.068632125854492],od: 1.6494, eqity: 4.4689,rad: 22.3852
epoch 24,  actor_loss: 176.8577,  critic_loss: 54.0933, cost_time: 1.7219, best_solution: [14.068632125854492],od: 3.0478, eqity: 6.4818,rad: 30.1384
3.047836200892925 6.481806755065918 30.13838634490967
epoch 25,  actor_loss: -96.4186,  critic_loss: 86.1372, cost_time: 1.4125, best_solution: [15.601040840148926],od: 1.7520, eqity: 3.8253,rad: 21.1142
epoch 26,  actor_loss: -193.0250,  critic_loss: 103.4813, cost_time: 1.6151, best_solution: [15.601040840148926],od: 1.4339, eqity: 4.0776,rad: 17.8705
epoch 27,  actor_loss: -42.1646,  critic_loss: 86.9514, cost_time: 2.0443, best_solution: [15.601040840148926],od: 2.4827, eqity: 6.2153,rad: 21.2703
epoch 28,  actor_loss: -131.2794,  critic_loss: 65.5504, cost_time: 1.8641, best_solution: [15.601040840148926],od: 1.3952, eqity: 3.5731,rad: 13.5120
epoch 29,  actor_loss: 52.8617,  critic_loss: 66.1602, cost_time: 1.5837, best_solution: [15.601040840148926],od: 1.6261, eqity: 4.4233,rad: 16.5995
epoch 30,  actor_loss: 79.2626,  critic_loss: 29.2774, cost_time: 2.0858, best_solution: [15.601040840148926],od: 1.0242, eqity: 2.8208,rad: 13.3559
epoch 31,  actor_loss: 201.1859,  critic_loss: 70.4468, cost_time: 1.6007, best_solution: [15.601040840148926],od: 1.8696, eqity: 6.2659,rad: 12.9565
epoch 32,  actor_loss: 336.7218,  critic_loss: 121.3940, cost_time: 1.7573, best_solution: [15.601040840148926],od: 2.2605, eqity: 7.9964,rad: 20.1170
epoch 33,  actor_loss: 150.2428,  critic_loss: 64.1299, cost_time: 1.7977, best_solution: [15.601040840148926],od: 1.3191, eqity: 3.4629,rad: 16.5995
epoch 34,  actor_loss: 419.6343,  critic_loss: 176.2683, cost_time: 1.5738, best_solution: [15.601040840148926],od: 3.1822, eqity: 7.4873,rad: 29.7301
3.182150786370039 7.487285548448563 29.730083465576172
epoch 35,  actor_loss: 201.4218,  critic_loss: 82.9121, cost_time: 1.6057, best_solution: [15.953890800476074],od: 2.5402, eqity: 5.0894,rad: 23.0867
epoch 36,  actor_loss: 5.7370,  critic_loss: 48.8112, cost_time: 1.6217, best_solution: [15.953890800476074],od: 1.6386, eqity: 4.0216,rad: 20.2453
epoch 37,  actor_loss: -40.1079,  critic_loss: 52.9048, cost_time: 1.5150, best_solution: [15.953890800476074],od: 1.9104, eqity: 6.7021,rad: 18.3152
epoch 38,  actor_loss: 54.3597,  critic_loss: 105.4200, cost_time: 1.6506, best_solution: [15.953890800476074],od: 2.3359, eqity: 7.1687,rad: 21.3881
epoch 39,  actor_loss: -25.8846,  critic_loss: 52.2361, cost_time: 1.5100, best_solution: [15.953890800476074],od: 1.4804, eqity: 4.7810,rad: 19.2876
epoch 40,  actor_loss: -72.0885,  critic_loss: 44.2580, cost_time: 3.0853, best_solution: [15.953890800476074],od: 1.7241, eqity: 4.6770,rad: 13.6298
epoch 41,  actor_loss: 51.1748,  critic_loss: 56.2017, cost_time: 1.5389, best_solution: [15.953890800476074],od: 1.7194, eqity: 4.9095,rad: 13.9401
epoch 42,  actor_loss: 178.6538,  critic_loss: 62.6665, cost_time: 1.7284, best_solution: [15.953890800476074],od: 2.7123, eqity: 8.5866,rad: 16.2001
epoch 43,  actor_loss: 89.1664,  critic_loss: 54.0049, cost_time: 1.4671, best_solution: [15.953890800476074],od: 1.3667, eqity: 3.5780,rad: 16.5995
epoch 44,  actor_loss: 142.4469,  critic_loss: 84.5115, cost_time: 1.5489, best_solution: [15.953890800476074],od: 1.8386, eqity: 3.9875,rad: 23.3606
epoch 45,  actor_loss: -2.3785,  critic_loss: 48.2569, cost_time: 1.7982, best_solution: [15.953890800476074],od: 1.2864, eqity: 3.2005,rad: 15.6023
